REGION	YEAR	RESILIENCE
上海	2007	0.492164
上海	2008	0.495281
上海	2009	0.499526
上海	2010	0.510163
上海	2011	0.542074
上海	2012	0.526176
上海	2013	0.53572
上海	2014	0.550337
上海	2015	0.568463
上海	2016	0.592469
上海	2017	0.625288
上海	2018	0.632914
上海	2019	0.634019
上海	2020	0.602457
上海	2021	0.640041
上海	2022	0.633972
上海	2023	0.661968
上海	2024	0.667788
云南	2007	0.281703
云南	2008	0.325324
云南	2009	0.329405
云南	2010	0.341853
云南	2011	0.347744
云南	2012	0.347748
云南	2013	0.366942
云南	2014	0.397287
云南	2015	0.404807
云南	2016	0.435511
云南	2017	0.443124
云南	2018	0.446277
云南	2019	0.463685
云南	2020	0.451505
云南	2021	0.467638
云南	2022	0.464937
云南	2023	0.492741
云南	2024	0.498039
内蒙古	2007	0.379536
内蒙古	2008	0.385044
内蒙古	2009	0.398484
内蒙古	2010	0.412029
内蒙古	2011	0.419323
内蒙古	2012	0.448772
内蒙古	2013	0.473423
内蒙古	2014	0.506722
内蒙古	2015	0.525806
内蒙古	2016	0.528557
内蒙古	2017	0.528268
内蒙古	2018	0.536834
内蒙古	2019	0.537024
内蒙古	2020	0.539244
内蒙古	2021	0.555138
内蒙古	2022	0.548347
内蒙古	2023	0.555041
内蒙古	2024	0.562382
北京	2007	0.594626
北京	2008	0.608347
北京	2009	0.641868
北京	2010	0.644481
北京	2011	0.668854
北京	2012	0.658791
北京	2013	0.674361
北京	2014	0.712985
北京	2015	0.728648
北京	2016	0.744284
北京	2017	0.773938
北京	2018	0.749653
北京	2019	0.735102
北京	2020	0.678455
北京	2021	0.682845
北京	2022	0.671017
北京	2023	0.680596
北京	2024	0.683889
吉林	2007	0.351074
吉林	2008	0.369655
吉林	2009	0.366573
吉林	2010	0.409344
吉林	2011	0.449072
吉林	2012	0.466449
吉林	2013	0.481171
吉林	2014	0.51361
吉林	2015	0.479282
吉林	2016	0.485851
吉林	2017	0.480768
吉林	2018	0.490411
吉林	2019	0.51554
吉林	2020	0.514003
吉林	2021	0.529619
吉林	2022	0.519728
吉林	2023	0.551096
吉林	2024	0.557938
四川	2007	0.332237
四川	2008	0.29181
四川	2009	0.321027
四川	2010	0.335661
四川	2011	0.359166
四川	2012	0.39246
四川	2013	0.408049
四川	2014	0.415194
四川	2015	0.43096
四川	2016	0.439908
四川	2017	0.462113
四川	2018	0.491918
四川	2019	0.519097
四川	2020	0.522168
四川	2021	0.52662
四川	2022	0.530748
四川	2023	0.553599
四川	2024	0.556586
天津	2007	0.460004
天津	2008	0.475049
天津	2009	0.469221
天津	2010	0.506912
天津	2011	0.535635
天津	2012	0.534562
天津	2013	0.552631
天津	2014	0.556882
天津	2015	0.563292
天津	2016	0.551093
天津	2017	0.59329
天津	2018	0.544526
天津	2019	0.652388
天津	2020	0.549141
天津	2021	0.55256
天津	2022	0.545438
天津	2023	0.548104
天津	2024	0.547834
宁夏	2007	0.344211
宁夏	2008	0.348018
宁夏	2009	0.378931
宁夏	2010	0.408939
宁夏	2011	0.412697
宁夏	2012	0.407541
宁夏	2013	0.434026
宁夏	2014	0.461013
宁夏	2015	0.480593
宁夏	2016	0.478129
宁夏	2017	0.51035
宁夏	2018	0.544898
宁夏	2019	0.538119
宁夏	2020	0.529011
宁夏	2021	0.526465
宁夏	2022	0.538799
宁夏	2023	0.555274
宁夏	2024	0.562876
安徽	2007	0.338756
安徽	2008	0.363299
安徽	2009	0.357104
安徽	2010	0.375761
安徽	2011	0.396273
安徽	2012	0.41698
安徽	2013	0.450552
安徽	2014	0.465249
安徽	2015	0.486341
安徽	2016	0.507492
安徽	2017	0.540702
安徽	2018	0.558274
安徽	2019	0.591981
安徽	2020	0.570763
安徽	2021	0.590829
安徽	2022	0.595247
安徽	2023	0.602285
安徽	2024	0.606839
山东	2007	0.433115
山东	2008	0.444896
山东	2009	0.465555
山东	2010	0.489658
山东	2011	0.505092
山东	2012	0.534039
山东	2013	0.566115
山东	2014	0.560009
山东	2015	0.563983
山东	2016	0.571436
山东	2017	0.579711
山东	2018	0.589928
山东	2019	0.596554
山东	2020	0.598762
山东	2021	0.616817
山东	2022	0.607962
山东	2023	0.617723
山东	2024	0.619918
山西	2007	0.390598
山西	2008	0.417941
山西	2009	0.405067
山西	2010	0.421848
山西	2011	0.422136
山西	2012	0.441759
山西	2013	0.47114
山西	2014	0.475816
山西	2015	0.472558
山西	2016	0.497376
山西	2017	0.513252
山西	2018	0.547753
山西	2019	0.584477
山西	2020	0.592089
山西	2021	0.606568
山西	2022	0.605052
山西	2023	0.594087
山西	2024	0.606527
广东	2007	0.413715
广东	2008	0.456763
广东	2009	0.493153
广东	2010	0.550129
广东	2011	0.541859
广东	2012	0.545192
广东	2013	0.568732
广东	2014	0.564603
广东	2015	0.553823
广东	2016	0.561725
广东	2017	0.58098
广东	2018	0.608917
广东	2019	0.631258
广东	2020	0.592478
广东	2021	0.60541
广东	2022	0.598961
广东	2023	0.606018
广东	2024	0.610713
广西	2007	0.247748
广西	2008	0.272804
广西	2009	0.323496
广西	2010	0.341683
广西	2011	0.348186
广西	2012	0.375472
广西	2013	0.4026
广西	2014	0.424883
广西	2015	0.444676
广西	2016	0.451133
广西	2017	0.472798
广西	2018	0.481223
广西	2019	0.498959
广西	2020	0.505758
广西	2021	0.519195
广西	2022	0.531084
广西	2023	0.532261
广西	2024	0.533602
新疆	2007	0.362631
新疆	2008	0.354718
新疆	2009	0.368908
新疆	2010	0.407548
新疆	2011	0.411859
