row_id,year,id,年末城镇人口比重,年末人口数,年末城镇人口数,年末农村人口数,城镇居民人均可支配收入（元）,农村居民人均可支配收入（元）,城-总收入,农-总收入,总收入,城总收/总,农总收/总,城总人/总,农总人/总,x1,x2,泰尔指数
1,2000,北京,0.7754,1363.6,1057.4,306.2,10349.69,4604.55,10943762.206,1409913.21,12353675.416,0.885870952366618,0.114129047633382,0.7754,0.22455265473746,1.14246963163092,0.508250716371258,0.040750852249817
2,2000,天津,0.7199,1001.0,721.0,280.0,8140.5,3622.39,5869300.5,1014269.2,6883569.7,0.852653602098342,0.147346397901658,0.7199,0.27972027972028,1.18440561480531,0.526763372498429,0.0498543907747921
3,2000,河北,0.2608,6744.0,1759.0,4985.0,5661.16,2478.86,9957980.44,12357117.1,22315097.54,0.446244092016637,0.553755907983363,0.2608,0.73917556346382,1.71105863503312,0.749153428974884,0.0797521159062569
4,2000,山西,0.3491,3297.0,1151.0,2146.0,4724.11,1905.61,5437450.61,4089439.06,9526889.67,0.570747725474604,0.429252274525396,0.3491,0.650894752805581,1.63491184610313,0.659480311794143,0.101874160095183
5,2000,内蒙古,0.4268,2376.0,1014.0,1362.0,5129.05,2038.21,5200856.7,2776042.02,7976898.72,0.65198981240168,0.34801018759832,0.4268,0.573232323232323,1.52762374039756,0.607101472638479,0.102579099951338
6,2000,辽宁,0.5424,4238.0,2299.0,1939.0,5357.79,2355.58,12317559.21,4567469.62,16885028.83,0.729495894500051,0.270504105499949,0.5424,0.457527135441246,1.34494080844405,0.591230737033927,0.0740229704431369
7,2000,吉林,0.4968,2728.0,1355.0,1373.0,4810.0,2022.5,6517550.0,2776892.5,9294442.5,0.701230869952663,0.298769130047337,0.4968,0.503299120234604,1.41149530988861,0.593621403327849,0.0858668270850132
8,2000,黑龙江,0.5154,3689.0,1901.0,1788.0,4912.88,2148.22,9339384.88,3841017.36,13180402.24,0.70858117301282,0.29141882698718,0.5154,0.484684196259149,1.37481795307105,0.601255063062476,0.0773012385083199
9,2000,上海,0.8831,1674.0,1478.0,196.0,11718.01,5596.37,17319218.78,1096888.52,18416107.3,0.940438633304444,0.0595613666955557,0.8831,0.117084826762246,1.06492881135143,0.508702693103879,0.0189040460135621
10,2000,江苏,0.4149,7438.0,3086.0,4352.0,6800.23,3595.09,20985509.78,15645831.68,36631341.46,0.572884009801152,0.427115990198848,0.4149,0.585103522452272,1.38077611424717,0.729983624792975,0.0504110143361141
11,2000,浙江,0.4867,4677.0,2277.0,2400.0,9279.16,4253.67,21128647.32,10208808.0,31337455.32,0.674229834689717,0.325770165310283,0.4867,0.513149454778704,1.38530888574012,0.634844609648413,0.0717252776257092
12,2000,安徽,0.28,6093.0,1665.0,4428.0,5293.55,1934.57,8813760.75,8566275.96,17380036.71,0.507119800554207,0.492880199445793,0.28,0.726735598227474,1.81114214483645,0.678211168749597,0.109823996486844
13,2000,福建,0.4157,3471.0,1443.0,2028.0,7432.26,3230.49,10724751.18,6551433.72,17276184.9,0.620782380026507,0.379217619973493,0.4157,0.584269662921348,1.49334226612102,0.649045541877709,0.0850264025318697
14,2000,江西,0.2767,4140.0,1146.0,2994.0,5103.58,2135.3,5848702.68,6393088.2,12241790.88,0.477765282656095,0.522234717343906,0.2767,0.723188405797101,1.72665443677663,0.722128166267124,0.0909336669449035
15,2000,山东,0.38,9079.0,3450.0,5629.0,6489.97,2659.2,22390396.5,14968636.8,37359033.3,0.599330189306585,0.400669810693415,0.38,0.62000220288578,1.57718470870154,0.646239334035445,0.098153090535881
16,2000,河南,0.232,9256.0,2147.0,7109.0,4766.26,1985.82,10233160.22,14117194.38,24350354.6,0.420246866548711,0.579753133451289,0.232,0.768042350907519,1.81140890753755,0.754845267017179,0.0866195235144027
17,2000,湖北,0.4022,6028.0,2424.0,3604.0,5524.54,2268.59,13391484.96,8175998.36,21567483.32,0.620910875938028,0.379089124061972,0.4022,0.597876575978766,1.54378636483846,0.634059167548715,0.0969052100749641
18,2000,湖南,0.2975,6440.0,1916.0,4524.0,6218.73,2197.16,11915086.68,9939951.84,21855038.52,0.545187173616567,0.454812826383433,0.2975,0.702484472049689,1.83256192812291,0.647434704223985,0.132503905480627
19,2000,广东,0.55,8642.0,4753.0,3889.0,9761.57,3654.48,46396742.21,14212272.72,60609014.93,0.765508930702563,0.234491069297437,0.55,0.45001157139551,1.39183441945921,0.521077865998572,0.100240193470957
20,2000,广西,0.2815,4489.0,1264.0,3225.0,5834.43,1864.51,7374719.52,6013044.75,13387764.27,0.550855196675793,0.449144803324207,0.2815,0.718422811316552,1.95685682655699,0.625181712286005,0.158841744284771
21,2000,海南,0.4011,787.0,316.0,471.0,5358.32,2182.26,1693229.12,1027844.46,2721073.58,0.622265098762967,0.377734901237033,0.4011,0.598475222363405,1.55139640678875,0.631162138585021,0.0994403324127116
22,2000,重庆,0.3309,3090.0,1023.0,2067.0,6275.98,1892.44,6420327.54,3911673.48,10332001.02,0.621402139582832,0.378597860417168,0.3309,0.668932038834951,1.87791519970635,0.565973579433503,0.176083269019436
23,2000,四川,0.2669,8329.0,2223.0,6106.0,5894.27,1903.6,13102962.21,11623381.6,24726343.81,0.52991911423236,0.47008088576764,0.2669,0.733101212630568,1.98545940139513,0.641222354660772,0.154551124484094
24,2000,贵州,0.2387,3525.0,841.0,2684.0,5122.21,1374.16,4307778.61,3688245.44,7996024.05,0.538740076700995,0.461259923299005,0.2387,0.761418439716312,2.25697560410974,0.605790324004841,0.207354939276141
25,2000,云南,0.2336,4288.0,1002.0,3286.0,6324.64,1478.6,6337289.28,4858679.6,11195968.88,0.566033127451851,0.433966872548149,0.2336,0.766324626865672,2.42308701820142,0.566296393635564,0.254193378828268
26,2000,西藏,0.1893,262.0,50.0,212.0,7426.32,1330.81,371316.0,282131.72,653447.72,0.568241327707135,0.431758672292865,0.1893,0.809160305343511,3.00180310463357,0.533588547833635,0.353417654470962
27,2000,陕西,0.3226,3605.0,1163.0,2442.0,5124.24,1443.86,5959491.12,3525906.12,9485397.24,0.628280605357125,0.371719394642875,0.3226,0.677392510402219,1.94755302342568,0.548750375793434,0.195722211592915
28,2000,甘肃,0.2401,2562.0,615.0,1947.0,4916.25,1428.68,3023493.75,2781639.96,5805133.71,0.520831026646585,0.479168973353415,0.2401,0.759953161592506,2.16922543376337,0.630524350144555,0.182321596393628
29,2000,青海,0.3476,518.0,180.0,338.0,5169.96,1490.49,930592.8,503785.62,1434378.42,0.64877774722796,0.35122225277204,0.3476,0.652509652509653,1.86644921527031,0.538263689159518,0.18731242467095
30,2000,宁夏,0.3243,562.0,182.0,380.0,4912.4,1724.3,894056.8,655234.0,1549290.8,0.577074878389519,0.422925121610481,0.3243,0.676156583629893,1.7794476669427,0.625483995644975,0.134121034732253
31,2000,新疆,0.3382,1925.0,651.0,1274.0,5644.86,1618.08,3674803.86,2061433.92,5736237.78,0.640629625363961,0.359370374636039,0.3382,0.661818181818182,1.89423307322283,0.543004686950059,0.189798237761779
32,2001,北京,0.738539407086045,1385.1,1081.2,303.9,11577.78,5025.50396975425,12517895.736,1527250.65640832,14045146.3924083,0.891261321616852,0.108738678383148,0.738539407086045,0.219406541043968,1.20678912061495,0.495603630893379,0.0911920945152347
33,2001,天津,0.614342629482072,1004.0,616.8,387.2,8958.7,3947.72,5525726.16,1528557.184,7054283.344,0.783315028691028,0.216684971308972,0.614342629482072,0.385657370517928,1.27504586382262,0.561858758249504,0.0654116476512779
34,2001,河北,0.196059113300493,6699.0,1313.4,5385.6,5984.82,2603.60002350038,7860462.588,14021948.2865636,21882410.8745636,0.359213737145256,0.640786262854744,0.196059113300493,0.803940886699507,1.83217056885645,0.797056442153879,0.072154999079936
35,2001,山西,0.289731051344743,3272.0,948.0,2324.0,5391.05,1956.04660238751,5110715.4,4545852.30394857,9656567.70394857,0.529247612266026,0.470752387733974,0.289731051344743,0.710268948655257,1.82668585161861,0.662780470165905,0.125247589148974
36,2001,内蒙古,0.422423222549432,2377.0,1004.1,1372.9,5535.89,1973.36828183239,5558587.149,2709237.31412769,8267824.46312769,0.672315573920302,0.327684426079699,0.422423222549432,0.577576777450568,1.59156868758944,0.567343492454981,0.126710206948602
37,2001,辽宁,0.447162613257034,4194.0,1875.4,2318.6,5797.01,2557.92758158248,10871712.554,5930810.89065714,16802523.4446571,0.647028560311694,0.352971439688306,0.447162613257034,0.552837386742966,1.44696479788165,0.638472448051735,0.080686345227084
38,2001,吉林,0.467484206614641,2691.0,1258.0,1433.0,5340.46,2182.21855703607,6718298.68,3127119.19223269,9845417.87223269,0.682378215651751,0.317621784348249,0.467484206614641,0.532515793385359,1.45968185875903,0.596455144229685,0.0939566194930233
39,2001,黑龙江,0.507320913146156,3811.0,1933.4,1877.6,5425.87,2280.27861217837,10490377.058,4281451.12222611,14771828.1802261,0.710161053189249,0.289838946810751,0.507320913146156,0.492679086853844,1.39982609584371,0.588291556399538,0.0850922453316169
40,2001,上海,0.774659231722429,1614.0,1250.3,363.7,12883.46,5870.86734177215,16108190.038,2135234.45220253,18243424.4902025,0.882958681723969,0.117041318276031,0.774659231722429,0.225340768277571,1.13980269719466,0.519396996693742,0.0388674944172407
41,2001,江苏,0.285152957171992,7355.0,2097.3,5257.7,7375.1,3784.70693600568,15467797.23,19898853.6574371,35366650.8874371,0.43735544197357,0.56264455802643,0.285152957171992,0.714847042828008,1.53375734311525,0.787083843559806,0.0523572486482373
42,2001,浙江,0.212811619336657,4613.0,981.7,3631.3,10464.67,4582.3407354589,10273166.539,16639853.9126719,26913020.4516719,0.381717338544281,0.618282661455719,0.212811619336657,0.787188380663343,1.79368654650583,0.785431640816025,0.0736983710489345
43,2001,安徽,0.193078381795196,6128.0,1221.8,4906.2,5668.8,2020.04482357503,6926139.84,9910743.91342381,16836883.7534238,0.411367087961961,0.588632912038039,0.193078381795196,0.800620104438642,2.13057041465321,0.735221247598774,0.130099893871479
44,2001,福建,0.217267441860465,3440.0,747.4,2692.6,8313.08,3380.72332849796,6213195.992,9102935.63431361,15316131.6263136,0.405663528075557,0.594336471924443,0.217267441860465,0.782732558139535,1.86711605108365,0.75930976135337,0.0896464339486999
45,2001,江西,0.233779264214047,4186.0,978.6,3207.4,5506.02,2231.59701767305,5388191.172,7157624.27448454,12545815.4464845,0.429481144129999,0.570518855870001,0.233779264214047,0.766220735785953,1.83712249062761,0.74458811831135,0.0929508938772738
46,2001,山东,0.222088264572503,9041.0,2007.9,7033.1,7101.08,2804.50705124115,14258258.532,19724378.5420841,33982637.0740841,0.419574811128288,0.580425188871712,0.222088264572503,0.777911735427497,1.88922549300804,0.746132449785891,0.0969408659003494
47,2001,河南,0.176807953950811,9555.0,1689.4,7865.6,5267.42,2097.85998963313,8898779.348,16500927.5344584,25399706.8824584,0.350349686678696,0.649650313321304,0.176807953950811,0.823192046049189,1.98152672914345,0.789184390737523,0.0857846632315515
48,2001,湖北,0.340702928870293,5975.0,2035.7,3939.3,5855.98,2352.16063750927,11921018.486,9265866.39934027,21186884.8853403,0.562660275472986,0.437339724527014,0.340702928870293,0.659297071129707,1.65146885393284,0.663342434962787,0.102754845341754
49,2001,湖南,0.179229836264403,6596.0,1182.2,5413.8,6780.56,2299.45572057206,8015978.032,12448793.380033,20464771.412033,0.391696436310386,0.608303563689614,0.179229836264403,0.820770163735597,2.1854421366125,0.741137520059236,0.124006445460491
50,2001,广东,0.205319285622511,7783.0,1598.0,6185.0,10415.19,3769.79237482774,16643473.62,23316165.8383096,39959639.4583096,0.41650710180617,0.58349289819383,0.205319285622511,0.794680714377489,2.02858246142517,0.734248217727175,0.114365286081835
51,2001,广西,0.157309941520468,4788.0,753.2,4034.8,6665.73,1944.33101642896,5020627.836,7844986.78508757,12865614.6210876,0.39023614369506,0.609763856304939,0.157309941520468,0.842690058479532,2.48068329263402,0.723592084858741,0.157267467414268
52,2001,海南,0.36608040201005,796.0,291.4,504.6,5838.84,2226.47054032039,1701437.976,1123477.03464567,2824915.01064567,0.602297049499948,0.397702950500052,0.36608040201005,0.63391959798995,1.64525892725449,0.627371281407137,0.114466580155562
53,2001,重庆,0.212528253148208,3097.0,658.2,2438.8,6721.09,1971.18017607772,4423821.438,4807314.21341834,9231135.65141834,0.479228299209349,0.520771700790651,0.212528253148208,0.787471746851792,2.25489219485165,0.661321124056358,0.174314271400502
54,2001,四川,0.198391203703704,8640.0,1714.1,6925.9,6360.47,1986.99452438559,10902481.627,13761725.3764422,24664207.0034422,0.442036576545049,0.557963423454951,0.198391203703704,0.801608796296296,2.22810572390713,0.696054516907662,0.151973010456139
55,2001,贵州,0.168044222163727,3799.0,638.4,3160.6,5451.91,1411.72724547907,3480499.344,4461905.13206115,7942404.47606115,0.438217337645095,0.561782662354905,0.168044222163727,0.831955777836273,2.60775010293502,0.675255437032932,0.199434021619389
56,2001,云南,0.192045719617448,4287.0,823.3,3463.7,6797.71,1533.74364917486,5596554.643,5312427.87764696,10908982.520647,0.513022606132849,0.486977393867151,0.192045719617448,0.807954280382552,2.67135662880059,0.602728899012177,0.257538359302573
57,2001,西藏,0.168821292775665,263.0,44.4,218.6,7869.16,1404.01,349390.704,306916.586,656307.29,0.532358407903712,0.467641592096288,0.168821292775665,0.831178707224335,3.15338426303326,0.562624605312551,0.342440361475939
58,2001,陕西,0.242607269745832,3659.0,887.7,2771.3,5483.73,1490.79805427547,4867907.121,4131448.64781361,8999355.76881361,0.540917288531837,0.459082711468163,0.242607269745832,0.757392730254168,2.22960049424129,0.606135619118107,0.203879149541982
