row_id,year,id,GDP（亿元）,第一产业增加值（亿元）,第二产业增加值（亿元）,第三产业增加值（亿元）,第一产业占比,第二产业占比,第三产业占比,自2014年开始统计年鉴采用 一二三产业增加值
1,2001,北京,2845.65,93.08,1030.6,1721.97,0.0327095742624708,0.36216681601743,0.605123609720099,
2,2001,天津,1840.1,78.55,904.64,856.91,0.0426878973968806,0.491625455138308,0.465686647464812,
3,2001,河北,5577.78,913.9,2767.41,1896.47,0.163846548268307,0.496149005518324,0.340004446213368,
4,2001,山西,1779.97,171.09,917.98,690.9,0.0961195975213065,0.515727793165053,0.38815260931364,
5,2001,内蒙古,1545.79,358.89,626.47,560.43,0.232172546076763,0.405274972667697,0.362552481255539,
6,2001,辽宁,5033.08,544.44,2440.55,2048.09,0.108172331852464,0.484901889101703,0.406925779045833,
7,2001,吉林,2032.48,409.1,880.84,742.54,0.201281193418877,0.433381878296465,0.365336928284657,
8,2001,黑龙江,3561.0,409.3,1998.74,1152.96,0.114939623701208,0.561286155574277,0.323774220724516,
9,2001,上海,4950.84,85.5,2355.53,2509.81,0.0172697966405701,0.475783907377334,0.506946295982096,
10,2001,江苏,9511.91,1082.43,4907.46,3522.02,0.113797334079065,0.515927926147325,0.37027473977361,
11,2001,浙江,6748.15,695.15,3459.75,2593.25,0.103013418492476,0.512696072256841,0.384290509250684,
12,2001,安徽,3290.13,750.07,1415.32,1124.74,0.227975794269527,0.430171452191859,0.341852753538614,
13,2001,福建,4253.68,651.11,1904.21,1698.36,0.153069812491772,0.447661789321247,0.399268398186982,
14,2001,江西,2175.68,506.0,788.12,881.56,0.232570966318576,0.362240770701574,0.40518826297985,
15,2001,山东,9438.31,1359.49,4654.51,3424.31,0.144039557929333,0.493150786528521,0.362809655542147,
16,2001,河南,5640.11,1234.34,2659.04,1746.73,0.218850341571352,0.471451797925927,0.309697860502721,
17,2001,湖北,4662.28,692.17,2313.66,1656.45,0.148461696852184,0.49625076143003,0.355287541717786,
18,2001,湖南,3983.0,825.73,1573.0,1584.27,0.207313582726588,0.394928445895054,0.397757971378358,
19,2001,广东,10647.7106391774,1004.35,5341.60858654793,4301.75205262944,0.0943254408421445,0.501667331838819,0.404007227319034,
20,2001,广西,2231.19,562.52,791.85,876.82,0.252116583527176,0.354900299839996,0.392983116632828,
21,2001,海南,545.96,201.79,111.25,232.92,0.369605831929079,0.203769506923584,0.426624661147337,
22,2001,重庆,1749.77,293.03,727.66,729.08,0.167467724329483,0.415860370220086,0.416671905450431,
23,2001,四川,4421.76,981.68,1756.86,1683.22,0.222011144883485,0.397321428571429,0.380667426545086,
24,2001,贵州,1084.9,274.17,419.74,390.99,0.252714535901926,0.386892801179832,0.360392662918241,
25,2001,云南,2074.71,450.54,881.49,742.68,0.21715806064462,0.424873837789378,0.357968101566002,
26,2001,西藏,138.73,37.47,32.18,69.08,0.270092986376415,0.231961363800187,0.497945649823398,
