row_id,省份代码,地区,年份,年末常住人口/万人,城镇人口/万人,乡村人口/万人,城镇化率
1,11.0,北京市,2005.0,1538.0,1286.08,251.92,0.836202860858257
2,11.0,北京市,2006.0,1601.0,1350.12,250.88,0.843297938788257
3,11.0,北京市,2007.0,1676.0,1416.22,259.78,0.845
4,11.0,北京市,2008.0,1771.0,1503.58,267.42,0.849000564652739
5,11.0,北京市,2009.0,1860.0,1581.0,279.0,0.85
6,11.0,北京市,2010.0,1961.9,1686.44,275.46,0.859595290279831
7,11.0,北京市,2011.0,2024.0,1740.03,278.57,0.85969861660079
8,11.0,北京市,2012.0,2078.0,1783.74,285.56,0.858392685274302
9,11.0,北京市,2013.0,2125.0,1825.07,289.73,0.858856470588235
10,11.0,北京市,2014.0,2171.0,1857.91,293.69,0.855785352372179
11,11.0,北京市,2015.0,2188.0,1877.48,293.02,0.858080438756856
12,11.0,北京市,2016.0,2195.0,1879.64,293.36,0.856328018223235
13,11.0,北京市,2017.0,2194.0,1877.66,293.04,0.855815861440292
14,11.0,北京市,2018.0,2192.0,1863.21,290.79,0.850004562043796
15,11.0,北京市,2019.0,2190.0,1865.0,289.0,0.851598173515982
16,11.0,北京市,2020.0,2189.0,1916.64,272.67,0.875577889447236
17,11.0,北京市,2021.0,2189.0,1916.0,273.0,0.875285518501599
18,11.0,北京市,2022.0,2184.0,1913.0,271.0,0.875915750915751
19,11.0,北京市,2023.0,2186.0,1920.0,266.0,0.878316559926807
20,12.0,天津市,2005.0,1042.53,783.04,259.49,0.751095891724938
21,12.0,天津市,2006.0,1075.0,814.1,260.9,0.757302325581395
22,12.0,天津市,2007.0,1115.0,850.86,264.14,0.763103139013453
23,12.0,天津市,2008.0,1176.0,908.22,267.78,0.772295918367347
24,12.0,天津市,2009.0,1228.16,958.09,270.07,0.780101941115164
25,12.0,天津市,2010.0,1299.29,1033.59,265.7,0.795503698173618
26,12.0,天津市,2011.0,1341.0,1090.44,264.14,0.813154362416107
27,12.0,天津市,2012.0,1378.0,1152.42,260.73,0.836298984034833
28,12.0,天津市,2013.0,1410.0,1207.36,264.85,0.856283687943262
29,12.0,天津市,2014.0,1429.0,1247.88,268.93,0.873254023792862
30,12.0,天津市,2015.0,1439.0,1278.4,268.55,0.888394718554552
31,12.0,天津市,2016.0,1443.0,1295.37,266.63,0.897692307692308
32,12.0,天津市,2017.0,1410.0,1291.22,265.78,0.915758865248227
33,12.0,天津市,2018.0,1383.0,1297.14,262.86,0.937917570498915
34,12.0,天津市,2019.0,1385.0,1304.0,258.0,0.941516245487365
35,12.0,天津市,2020.0,1386.84,1174.65,212.19,0.846997490698278
36,12.0,天津市,2021.0,1373.0,1165.0,208.0,0.848506919155135
37,12.0,天津市,2022.0,1363.0,1160.0,203.0,0.851063829787234
38,12.0,天津市,2023.0,1364.0,1166.0,198.0,0.854838709677419
39,13.0,河北省,2005.0,6850.83,2582.16,4268.67,0.376911994605033
40,13.0,河北省,2006.0,6897.86,2673.97,4223.89,0.387652112394279
41,13.0,河北省,2007.0,6943.19,2794.71,4148.48,0.402510949577932
42,13.0,河北省,2008.0,6988.82,2928.43,4060.39,0.419016371862489
43,13.0,河北省,2009.0,7034.4,3077.17,3957.23,0.437445979756625
44,13.0,河北省,2010.0,7193.6,3200.82,3992.78,0.444953847864769
45,13.0,河北省,2011.0,7232.0,3301.67,3938.84,0.456536227876106
46,13.0,河北省,2012.0,7262.0,3410.55,3876.96,0.469643348939686
47,13.0,河北省,2013.0,7288.0,3528.45,3804.16,0.4841451701427
48,13.0,河北省,2014.0,7323.0,3642.4,3741.35,0.497391779325413
49,13.0,河北省,2015.0,7345.0,3811.21,3613.71,0.518884955752212
50,13.0,河北省,2016.0,7375.0,3983.0,3487.0,0.540067796610169
