row_id,province,year,地方财政一般预算收入(亿元)
1,安徽省,2010年,1149.4
2,安徽省,2011年,1463.56
3,安徽省,2012年,1792.72
4,安徽省,2013年,2075.08
5,安徽省,2014年,2218.44
6,安徽省,2015年,2454.3
7,安徽省,2016年,2672.79
8,安徽省,2017年,2812.45
9,安徽省,2018年,3048.67
10,安徽省,2019年,3182.71
11,安徽省,2020年,3216.01
12,安徽省,2021年,3498.19
13,安徽省,2022年,3589.14
14,安徽省,2023年,3939.16
15,北京市,2010年,2353.93
16,北京市,2011年,3006.28
17,北京市,2012年,3314.93
18,北京市,2013年,3661.11
19,北京市,2014年,4027.16
20,北京市,2015年,4723.86
21,北京市,2016年,5081.26
22,北京市,2017年,5430.79
23,北京市,2018年,5785.92
24,北京市,2019年,5817.1
25,北京市,2020年,5483.89
26,北京市,2021年,5932.31
27,北京市,2022年,5714.36
28,北京市,2023年,6181.1
29,福建省,2010年,1151.49
30,福建省,2011年,1501.51
31,福建省,2012年,1776.17
32,福建省,2013年,2119.45
33,福建省,2014年,2362.21
34,福建省,2015年,2544.24
35,福建省,2016年,2654.83
36,福建省,2017年,2809.03
37,福建省,2018年,3007.41
38,福建省,2019年,3052.93
39,福建省,2020年,3079.04
40,福建省,2021年,3383.4
41,福建省,2022年,3339.21
42,福建省,2023年,3592.04
43,甘肃省,2010年,353.58
44,甘肃省,2011年,450.12
45,甘肃省,2012年,520.4
46,甘肃省,2013年,607.27
47,甘肃省,2014年,672.67
48,甘肃省,2015年,743.86
49,甘肃省,2016年,786.97
50,甘肃省,2017年,815.73
51,甘肃省,2018年,871.05
52,甘肃省,2019年,850.49
53,甘肃省,2020年,874.55
54,甘肃省,2021年,1001.86
55,甘肃省,2022年,907.65
56,甘肃省,2023年,1003.58
57,广东省,2010年,4517.04
58,广东省,2011年,5514.84
59,广东省,2012年,6229.18
60,广东省,2013年,7081.47
61,广东省,2014年,8065.08
62,广东省,2015年,9366.78
63,广东省,2016年,10390.35
64,广东省,2017年,11320.35
65,广东省,2018年,12105.26
66,广东省,2019年,12654.53
67,广东省,2020年,12923.85
68,广东省,2021年,14105.04
69,广东省,2022年,13260.88
70,广东省,2023年,13850.78
71,广西壮族自治区,2010年,771.99
72,广西壮族自治区,2011年,947.72
73,广西壮族自治区,2012年,1166.06
74,广西壮族自治区,2013年,1317.6
75,广西壮族自治区,2014年,1422.28
76,广西壮族自治区,2015年,1515.16
77,广西壮族自治区,2016年,1556.27
78,广西壮族自治区,2017年,1615.13
79,广西壮族自治区,2018年,1681.45
80,广西壮族自治区,2019年,1811.89
81,广西壮族自治区,2020年,1716.94
82,广西壮族自治区,2021年,1800.15
83,广西壮族自治区,2022年,1687.72
84,广西壮族自治区,2023年,1783.8
85,贵州省,2010年,533.73
86,贵州省,2011年,773.08
87,贵州省,2012年,1014.05
88,贵州省,2013年,1206.41
89,贵州省,2014年,1366.67
90,贵州省,2015年,1503.38
