row_id,平均值项:人均国内生产总值(现价)(元/人),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,根据你的研究年份，在此表格计算人均GDP，然后复制到前面黄色区域，矩阵就构建好了！！,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1,地区,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
2,北京市,25014,28097,32231,36583,42402,47182,53438,63629,68541,71059,78307,86246,92758,100569,106732,113692,123391,136172,150962,161776,164158,187526,190313,93946.8695652174
3,天津市,16236,17523,19161,22371,25761,30567,33411,37976,45242,47497,54053,61458,66517,71345,74960,75868,79647,87280,95689,101557,101068,113660,119235,60786.1739130435
4,河北省,6966,7572,8216,9380,11178,12845,14609,17561,20385,21831,25308,29647,31844,33346,34507,35994,38688,41451,43808,47036,48302,54181,56995,28332.6086956522
5,山西省,5722,6226,7082,8639,10515,12195,14008,17542,21234,20906,25434,30534,32864,33848,34248,33593,33972,41242,45517,48469,51051,65625,73675,29310.4782608696
6,内蒙古自治区,6502,7210,8146,10015,12315,14695,17275,21334,25620,28982,33262,38276,42441,46320,49585,52972,56560,61196,66491,71170,71640,88137,96474,40287.7391304348
7,辽宁省,11177,12015,13000,14041,15355,17210,19760,24022,28185,29611,31888,37353,40778,43956,45915,46482,47069,50221,54657,58019,58629,64992,68775,36222.1739130435
8,吉林省,6646,7076,7581,7925,9073,10237,11864,14966,17696,19858,23370,28270,32005,35139,37539,38128,40259,42890,44925,47554,50561,55148,55347,28002.4782608696
9,黑龙江省,7515,7990,8507,9464,10836,12456,13947,16023,18654,18871,21694,26093,29352,32068,33464,32759,34025,35887,38199,41156,42432,47199,51096,25638.5652173913
10,上海市,30307,32089,34277,39117,44998,49377,54996,63951,69154,72363,79396,85897,89613,95746,102827,109186,121369,133489,145767,153299,156803,175420,179907,92145.5652173913
11,江苏省,11765,12879,14369,16743,19790,23984,27868,33798,39967,44272,52787,61464,66533,72768,78711,85871,92658,102202,110508,116650,121333,138255,144390,64763.6956521739
12,浙江省,13467,14726,16918,20249,23476,26277,30415,36454,41061,43543,51110,57828,61097,65105,68569,73276,78384,85612,93230,98770,100738,113839,118496,57940.8695652174
13,安徽省,5147,5732,6238,7001,8279,9193,10630,12989,15535,17715,21923,27303,30697,34404,37580,39692,43686,49092,56063,60561,62411,69676,73603,30658.6956521739
14,福建省,11194,11883,12910,14330,16248,18107,20915,25915,30153,33999,40773,47928,52959,58255,63709,67649,74024,83758,94719,102722,105106,118750,126829,53601.5217391304
15,江西省,4851,5221,5829,6636,7960,9172,10859,13270,15816,17277,21099,25928,28624,31952,34988,37436,40950,44878,50347,54640,57065,66020,70923,28771.347826087
16,山东省,9260,10063,11120,11977,14540,17308,20443,24329,28861,31282,35599,40581,44348,48673,51933,56205,59239,62993,66284,69901,71825,81510,86003,41490.3043478261
17,河南省,5450,5959,6487,7376,9047,10978,12761,15811,18879,20280,23984,27901,30497,33114,35982,38338,41326,45723,50714,54356,54691,58587,62106,29145.5217391304
18,湖北省,6121,6866,7437,8378,9746,11342,13210,16593,20153,23081,28359,34719,39149,43835,48635,52021,56844,63169,71097,76712,73687,86551,92059,38685.3913043478
19,湖南省,5590,6120,6734,7589,9004,10200,11733,14626,17758,19979,24005,28766,32203,35702,39181,43155,46606,51030,54763,60104,62537,68913,73598,31734.6086956522
20,广东省,12817,13952,15478,17950,20647,23997,27861,33236,37543,39418,44669,50076,52308,56029,59909,64516,69671,76218,81625,86956,88521,98561,101905,51037.5217391304
21,广西壮族自治区,4652,5058,5559,6120,7182,8069,9421,11542,13471,14708,18070,22234,24181,26416,28603,30890,33340,36441,39837,42778,44237,50137,52164,23265.652173913
22,海南省,6798,7315,8041,8849,9859,10753,12350,14683,17357,18860,23323,28014,30993,34053,37166,39704,43009,46631,50263,53929,55438,63991,66602,29912.2173913043
23,重庆市,6383,7096,8079,9311,10934,12335,13915,16966,20865,23346,28084,34864,39180,43527,48311,52480,58327,64171,68460,74337,78294,87450,90663,39016.4347826087
24,四川省,4956,5376,5890,6565,7751,8828,10371,12963,15685,17387,21230,26136,29627,32750,35563,37150,40297,45835,51658,55619,58009,64610,67777,28784.0434782609
25,贵州省,2759,3000,3257,3708,4244,5218,6103,7778,9697,10814,12882,16024,18947,22089,25101,28547,31589,35988,40271,43727,46355,50476,52321,20908.4782608696
26,云南省,4814,5063,5472,6048,7136,7890,9158,11287,13286,14427,16866,20653,23992,27665,30217,32117,35051,39458,44446,49323,52047,57717,61716,25036.9130434783
27,西藏自治区,4572,5318,6094,6883,7946,8733,10112,11991,13703,15154,17209,20083,22762,26209,29275,31847,35015,39158,44051,47491,52280,56831,58438,24832.8260869565
28,陕西省,4968,5511,6161,7057,8545,10357,12439,15342,19331,21485,26388,32467,37453,41906,45610,46654,49341,55216,61115,65506,65867,76171,82864,34684.9565217391
29,甘肃省,4163,4467,4875,5525,6512,7332,8653,10501,12048,12802,15421,18846,21141,23647,25724,25946,27396,29103,32178,34707,35848,40976,44968,19686.0434782609
30,青海省,5138,5774,6478,7248,8275,9233,10728,13100,16220,16907,20418,24233,26839,30005,32218,34883,38968,42211,46854,49976,50845,57036,60724,26709.1739130435
31,宁夏回族自治区,5376,6039,6647,7686,8904,9796,11389,14458,18554,20382,24984,30161,32609,35135,36815,37876,40339,45718,49614,52537,55021,63461,69781,29707.9130434783
32,新疆维吾尔自治区,7372,7945,8457,9842,11139,12687,14567,16887,19605,19755,24700,29624,33103,36988,40193,39520,40020,45476,51238,53542,53606,62991,68552,30774.3043478261
