row_id,Unnamed: 0,RESILIENCE,URB,GOV,INNO,EDU,OPENPC,FIN,DIG,PRI,INC,SOC
1,RESILIENCE,,0.0,0.0,0.0,0.828622,0.0,0.0,0.0,0.0,0.0,0.111303
2,URB,0.0,,0.0,0.0,0.001443,0.0,0.0,0.0,0.0,0.0,0.000187
3,GOV,0.0,0.0,,0.0,0.0,0.0,0.30869,0.036631,5.5e-05,1e-06,0.000591
4,INNO,0.0,0.0,0.0,,7e-06,0.0,0.0,0.0,0.0,0.0,0.0
5,EDU,0.828622,0.001443,0.0,7e-06,,0.57006,0.0,6.8e-05,0.004259,0.033525,0.0
6,OPENPC,0.0,0.0,0.0,0.0,0.57006,,0.0,0.0,0.0,0.0,1e-06
7,FIN,0.0,0.0,0.30869,0.0,0.0,0.0,,0.0,0.0,0.0,0.279892
8,DIG,0.0,0.0,0.036631,0.0,6.8e-05,0.0,0.0,,0.0,0.0,0.290259
9,PRI,0.0,0.0,5.5e-05,0.0,0.004259,0.0,0.0,0.0,,0.0,0.805257
10,INC,0.0,0.0,1e-06,0.0,0.033525,0.0,0.0,0.0,0.0,,0.00592
11,SOC,0.111303,0.000187,0.000591,0.0,0.0,1e-06,0.279892,0.290259,0.805257,0.00592,
