row_id,地区,id,year,年末就业人数（万人）,固定资本存量,能源消耗总量(万吨标准煤),地区GDP（亿元）,工业废水（万吨）,工业二氧化硫（万吨）,一般工业固体废弃物（万吨）,id.1,year.1,规模报酬可变+全局,规模报酬可变+非全局,规模报酬不变+全局,规模报酬不变+非全局,id.2,year.2,规模报酬可变+全局.1,规模报酬可变+非全局.1,规模报酬不变+全局.1,规模报酬不变+非全局.1
1,北京市,1,2011,1069.7,24467.8477949572,6995.0,16251.93,8633.0,6.1299,1126.0,1,2011,1.0,1.0,1.0,1.0,1,2011,1.0,1.0,1.0,1.0
2,天津市,2,2011,763.16,21753.6007137972,7598.0,11307.28,19795.0,22.1897,1752.0,2,2011,1.0,1.0,1.0,1.0,2,2011,1.0,1.0,1.0,1.0
3,河北省,3,2011,4087.0,41583.2725408158,29498.0,24515.76,118505.0,131.7099,45129.0,3,2011,1.0,1.0,1.0,1.0,3,2011,1.0,1.0,1.0,1.0
4,山西省,4,2011,1817.0,19115.8437599927,18315.0,11237.55,39665.0,129.4321,27556.0,4,2011,1.0,1.0,1.0,1.0,4,2011,1.0,1.0,1.0,1.0
5,内蒙古自治区,5,2011,1388.0,27656.7119616698,18737.0,14359.88,39409.0,125.018,23584.0,5,2011,1.0,1.0,1.0,1.0,5,2011,1.0,1.0,1.0,1.0
6,辽宁省,6,2011,2364.9,39297.1672560364,22712.0,22226.7,90457.0,104.8914,28270.0,6,2011,1.0,1.0,1.0,1.0,6,2011,1.0,1.0,1.0,1.0
7,吉林省,7,2011,1524.99,25085.3078899471,9103.0,10568.83,41884.0,36.3443,5379.0,7,2011,1.0,1.0,1.0,1.0,7,2011,1.0,1.0,1.0,1.0
8,黑龙江省,8,2011,1977.39,19763.785386481,12119.0,12582.0,44072.0,41.5209,6017.0,8,2011,1.0,1.0,1.0,1.0,8,2011,1.0,1.0,1.0,1.0
9,上海市,9,2011,1104.33,30116.6395628508,11270.0,19195.69,44626.0,21.0092,2442.0,9,2011,1.0,1.0,1.0,1.0,9,2011,1.0,1.0,1.0,1.0
10,江苏省,10,2011,4749.23,71324.7846251775,27589.0,49110.27,246298.0,102.5013,10475.0,10,2011,1.0,1.0,1.0,1.0,10,2011,1.0,1.0,1.0,1.0
