row_id,Target,Dataset,R2,MAE,RMSE,MAPE(%)
1,Spearman-CRITIC,Train,0.9988172728866159,0.002706163023127556,0.003412304750961336,0.5830273389417415
2,Spearman-CRITIC,Test,0.9451112217576288,0.0178047407257417,0.02329339515040357,3.994223800330481
3,Spearman-CRITIC,All,0.9880096387283303,0.005736701916842222,0.01087253933196908,1.267711933342349
4,EWM,Train,0.999518651316902,0.003145061788657694,0.003945809982500114,54115.816098102
5,EWM,Test,0.9729484596441884,0.022514059144224,0.03051532035835127,8.042040906535767
6,EWM,All,0.993916171320533,0.007032745845688924,0.01411909499740846,43255.47435185489
7,CV,Train,0.9994022617982674,0.003369763768614828,0.004236215632565928,61869.3447931014
8,CV,Test,0.9691844791998495,0.02323799599476156,0.03136157866414997,7.251697877059692
9,CV,All,0.9930363441639763,0.00735765267422134,0.01455191843598106,49452.5805876083
10,DM,Train,0.999328069570721,0.003593871247712484,0.004514224015694794,69925.55332101698
11,DM,Test,0.9673425884951179,0.02405160434603034,0.03258760724830728,6.747596901384208
12,DM,All,0.9925469171405972,0.007700082909023595,0.01514726549519538,55891.67116850633
13,PCA,Train,0.9991136802996148,0.004081179639227459,0.005106826681048004,61694.62065252609
14,PCA,Test,0.9549999005876033,0.02624163938738905,0.03846439443329731,5.494187002861444
15,PCA,All,0.9894562630120984,0.008529157223087853,0.01782715782452482,49312.57376338881
16,Factor,Train,0.9989883807734238,0.004706886045336003,0.005985639197038178,137529.5055791718
17,Factor,Test,0.9425114074798827,0.03392482501752245,0.04885327166132813,26.92765922801017
18,Factor,All,0.9861445976365235,0.01057141859889314,0.02253166445703465,109930.421838968
