row_id,MODEL,PARAMS_JSON,max_depth,min_samples_leaf,min_samples_split,n_estimators,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
1,RF,"{""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",,2,2,500,0.9839385693223072,0.00931097625344972,0.01244762717359461,2.178938549692767,0.3441310596562113,0.03123452125835779,0.0399552841720907,5.379020604276959,0.4654703892611872,0.02689016527594379,0.04007659992381618,4.938777082418349
2,RF,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",12.0,2,5,500,0.9822211219845262,0.009816948310668965,0.01309624024132511,2.298503974722169,0.3431933557123626,0.03129247856565118,0.03998383625263916,5.389445414829178,0.4683037236659723,0.02697357727606658,0.03997024353222225,4.955789624905673
3,RF,"{""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",,2,5,500,0.9822746247962431,0.00979537134169975,0.01307651982866817,2.294314906308951,0.3414238865008364,0.03131296405621185,0.04003765923144093,5.392738936492374,0.4634551503462304,0.02702430948384706,0.04015207557842135,4.963162486624307
4,RF,"{""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",,2,2,300,0.983487010968514,0.009409095663837908,0.01262139342421073,2.204415059021915,0.340383880725894,0.03127139144015418,0.04006925996063122,5.382116394625497,0.4656648528217644,0.02695682399701835,0.04006930926385202,4.955535349549756
5,RF,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",,1,2,300,0.9883222805988247,0.008015863862696438,0.01061386296082827,1.876841210008373,0.3400534865626241,0.0310837651612901,0.04007929382114022,5.350399595101737,0.4621068674007288,0.02660459301075254,0.04020249297747917,4.884660326668867
6,RF,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",12.0,2,2,500,0.9839111393137927,0.009322970099554228,0.01245825178331336,2.18192361911589,0.3386273108308662,0.03132663548223482,0.04012257707737594,5.393293612229741,0.4591666328867117,0.02703179936159066,0.04031222078152726,4.960715910296906
7,RF,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",,1,2,500,0.9887569618808107,0.007884119995037263,0.0104144490534381,1.844386368792369,0.3376473799891844,0.03122331432258036,0.04015229012600328,5.378068651737451,0.4585273653260717,0.02656314182795672,0.04033603836190838,4.874802289029444
8,RF,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",12.0,2,5,300,0.9817832705973577,0.009913222118864673,0.01325652398221469,2.323331860599481,0.3369193640364233,0.03136076336424985,0.04017435049001907,5.397555649706936,0.4648678856031001,0.0270795573619543,0.04009918005519029,4.979683545908873
9,RF,"{""max_depth"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",,2,5,300,0.9818340226323226,0.009893341422099772,0.01323804468189981,2.319174431838432,0.3360753321874845,0.03137573021899353,0.04019991121814299,5.400309120971947,0.4558312118998723,0.02717642521234519,0.04043633623454391,4.994652626286089
10,RF,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",,1,5,500,0.9848560678438383,0.009158983325086531,0.01208686818559491,2.141589288071368,0.3324011327959647,0.03163981505387006,0.040310992121854,5.447191387803355,0.4722442242101104,0.02677433477251927,0.03982185461130082,4.912436356462116
11,RF,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",12.0,1,5,500,0.9847712461458713,0.009196566011753112,0.01212067040726731,2.150161738588082,0.3299806859727231,0.0316593490125776,0.04038400178345844,5.448080480645286,0.4676097586822825,0.02682417544386742,0.03999631941963121,4.916484638217761
12,RF,"{""max_depth"": 12, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",12.0,2,2,300,0.9834700634713777,0.009427374263701346,0.0126278685140413,2.208123153548883,0.3289950529364464,0.03142881485539724,0.04041369434444498,5.406536329423375,0.4558515994947134,0.02713864525935225,0.04043557874221815,4.98414053023751
13,RF,"{""max_depth"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",,1,5,300,0.9843268819517376,0.009288333048800992,0.01229623516839774,2.174473041689274,0.3285848739928328,0.03160841564060248,0.04042604471084921,5.440375524526556,0.4631973770446099,0.02690956292012393,0.04016171959071618,4.940671640795578
14,RF,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 500}",8.0,2,5,500,0.9791009244946052,0.010922930231485,0.01419900773371608,2.547683066564808,0.3269388691739881,0.03167455840156419,0.0404755675242171,5.453436920095648,0.4523131517065542,0.02738038029908463,0.04056683644330651,5.024718544316461
15,RF,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",12.0,1,2,500,0.9886521358299913,0.007937354914777131,0.0104628867035023,1.857984973668004,0.3242598763766419,0.03154081291275434,0.04055604020573653,5.43144535987074,0.4552659386280342,0.02664578876884473,0.04045733307196736,4.886707635291378
16,RF,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 500}",8.0,2,2,500,0.9804366651504278,0.01060636477477198,0.01373775928857348,2.471636345650348,0.3208812747256174,0.03177959584498023,0.04065730092201481,5.472399807601254,0.4528148484813068,0.02729962563420651,0.04054825199672404,5.011330513528114
17,RF,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",12.0,1,5,300,0.9842840635802008,0.009320069606123974,0.01231302013922695,2.182020883360156,0.3202301109468932,0.03184026950264423,0.04067678810265282,5.476227812325825,0.4609876606257997,0.02698260367973039,0.04024429637541915,4.948964933208208
18,RF,"{""max_depth"": 12, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",12.0,1,2,300,0.9881876054228922,0.008062656580207926,0.01067489055286712,1.888855525880289,0.3202204621361503,0.03156810618159827,0.04067707678948907,5.43335890600888,0.4452347570262296,0.02686255455363695,0.04082814109247839,4.928414247260869
19,RF,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 500}",8.0,1,2,500,0.9838775319015023,0.009846003686371294,0.01247125678081154,2.290272640970127,0.3187966142430078,0.03179670732491773,0.04071965505952211,5.478240930948767,0.4512131118174356,0.02698996031995016,0.04060755565471188,4.951824082002807
20,RF,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 300}",8.0,1,2,300,0.9833563469400611,0.00995421061625391,0.01267123033067363,2.317903546350895,0.3165589506278811,0.03175136404212251,0.04078647958531263,5.466867188939895,0.4502632173053929,0.02702003627403317,0.04064268424294985,4.962092348270104
21,RF,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 500}",8.0,1,5,500,0.9808781664740623,0.01061392911108229,0.0135818592237496,2.473226435145772,0.3155440722697498,0.03196397475771765,0.04081675136960371,5.50208459735903,0.458595802090915,0.02716453274304765,0.04033348924398001,4.979199271748741
22,RF,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 2, ""n_estimators"": 300}",8.0,2,2,300,0.9799295088967873,0.01070753973188986,0.01391468751982475,2.496986079156174,0.314074492419179,0.03192646427216628,0.04086054623657567,5.495776316231695,0.4461457644027854,0.02743908194181337,0.04079460436630763,5.04024147418498
23,RF,"{""max_depth"": 8, ""min_samples_leaf"": 2, ""min_samples_split"": 5, ""n_estimators"": 300}",8.0,2,5,300,0.9786357057361162,0.01101708814963376,0.01435617467300902,2.570049765312298,0.3123710274466223,0.03197213449445267,0.04091125243365547,5.502251665658868,0.4410614426459831,0.02760335751981428,0.04098142162495287,5.066494112776454
24,RF,"{""max_depth"": 8, ""min_samples_leaf"": 1, ""min_samples_split"": 5, ""n_estimators"": 300}",8.0,1,5,300,0.9803073146700206,0.01074642662999655,0.01378310069233919,2.504718596693434,0.3062879360148029,0.03217313515805682,0.04109181413308993,5.535722223385072,0.4471537804426498,0.02740833573911764,0.04075746432087454,5.024930481216725
