row_id,MODEL,PARAMS_JSON,colsample_bytree,learning_rate,max_depth,n_estimators,subsample,TRAIN_R2,TRAIN_MAE,TRAIN_RMSE,TRAIN_MAPE(%),VAL_R2,VAL_MAE,VAL_RMSE,VAL_MAPE(%),TEST_R2,TEST_MAE,TEST_RMSE,TEST_MAPE(%)
1,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 1.0}",0.8,0.05,5,500,1.0,0.9998408578914024,0.000914979866378064,0.001239044808163953,0.2066704964547465,0.5308674598867759,0.02975991354674678,0.03379196683590071,5.169542322332377,0.7287080893745252,0.02331492302418781,0.02855113693972417,4.31983251575958
2,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 1.0}",0.8,0.05,5,300,1.0,0.9991134574537235,0.002185825056814377,0.002924450330477256,0.493518618072293,0.5270090870314234,0.02982325261479039,0.03393064302232406,5.18083843536488,0.7239251127344681,0.02346630829402965,0.02880172084129222,4.354825787366575
3,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 1.0}",1.0,0.03,5,500,1.0,0.9990812540497817,0.002176674575081532,0.002977091461183297,0.5017938931012097,0.5054305603617975,0.02989568667867107,0.03469599367430303,5.198137003021047,0.7142741444164892,0.02338742205211681,0.02930081874366106,4.362695513786325
4,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 1.0}",1.0,0.05,5,500,1.0,0.9998312467804463,0.000946662190671593,0.001275911323822079,0.2139212986334064,0.5036003124806236,0.03029730469789813,0.0347601339362536,5.26509343340688,0.7179327491400391,0.02317059584500713,0.02911262175321236,4.318375932989802
5,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 1.0}",1.0,0.05,5,300,1.0,0.9990381845872865,0.002280011418662057,0.003046073120665376,0.5243804086192345,0.4990845312582326,0.03030483651385769,0.03491788361752714,5.263574750762253,0.7174038893779613,0.02321116417624361,0.02913990121234997,4.326356063637314
6,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 1.0}",1.0,0.03,5,300,1.0,0.9969230280357283,0.004018986509659154,0.005448239967718213,0.9290053564565346,0.4988131723370673,0.03013869673815081,0.03492734029925816,5.238361420788461,0.7120185659572988,0.02361590193346496,0.02941624472634007,4.406351679776548
7,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 500, ""subsample"": 0.8}",1.0,0.03,3,500,0.8,0.9889845060376787,0.00814136185363741,0.01030852305612866,1.887858278663964,0.4717580082657162,0.0297895290459356,0.03585767712399987,5.201459777245468,0.6896895735445698,0.0242215488587041,0.03053536875425924,4.456655863147779
8,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",1.0,0.03,5,500,0.8,0.9994011690968321,0.001842998102446051,0.002403513470141751,0.4220398838955065,0.4706748595872132,0.03053899095744472,0.03589442099030907,5.286307895366329,0.7134812957427434,0.0240109496210365,0.02934144338680452,4.45516194579201
9,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 0.8}",1.0,0.05,5,500,0.8,0.9999175531440584,0.0006848637300614378,0.0008918288299876463,0.1570575643393499,0.4703902530312116,0.03023799221294157,0.03590406951625797,5.235721911359302,0.7199720203807916,0.02385336286569411,0.02900719259326335,4.411640440300089
10,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",1.0,0.05,5,300,0.8,0.9993146085284755,0.001963992897159113,0.002571365462084092,0.4493453626123132,0.4685769912862198,0.03024823084886612,0.0359654806274407,5.233228843947285,0.7183772780800647,0.02387018675447279,0.02908967242875063,4.411597434655162
11,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 500, ""subsample"": 1.0}",0.8,0.03,5,500,1.0,0.9990373393207878,0.002227726722563465,0.003047411307852524,0.5090834389053486,0.4684659616857922,0.03065771619959801,0.03596923754455209,5.30245678304435,0.7305908014376717,0.02311671545149691,0.02845189484547876,4.272998676624341
12,XGBOOST,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",1.0,0.03,5,300,0.8,0.9972312378341796,0.003969382095171263,0.005168175871408939,0.9067338559158145,0.4673690524663681,0.03057202298635052,0.0360063326795044,5.289834179393768,0.7145011402494825,0.02395898494580998,0.029289177365811,4.447740405636628
13,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 1.0}",0.8,0.03,5,300,1.0,0.9971804145373631,0.003925650178587464,0.005215393598438414,0.9039765768102451,0.466702654172898,0.03086765433351455,0.03602885020152316,5.335251398454439,0.7337099793670736,0.02300123984139966,0.02828670951742729,4.254817163301038
14,XGBOOST,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""n_estimators"": 300, ""subsample"": 0.8}",0.8,0.05,5,300,0.8,0.9992260029085835,0.002090331348149416,0.0027325248649333,0.4789644045188168,0.4664783007628973,0.03046000640312318,0.03603642791169853,5.289251155241613,0.7308399064812379,0.02274947910561101,0.02843873800146613,4.209745645217176
