row_id,INDICATOR,MEAN,STD,CV,WEIGHT
1,REPC,0.041388,0.101255,2.446491,0.292679
2,PCGDP,0.21267,0.156586,0.736286,0.088083
3,PCRS,0.276482,0.200408,0.724853,0.086716
4,RUUR,0.380139,0.195163,0.513398,0.061419
5,EPES,0.344315,0.17487,0.507878,0.060759
6,HBTP,0.466864,0.231204,0.495228,0.059245
7,TIG,0.344942,0.169844,0.492385,0.058905
8,IPR,0.472469,0.231498,0.489974,0.058617
9,FSR,0.467415,0.226478,0.484533,0.057966
10,PCURA,0.499854,0.221157,0.442443,0.05293
11,URIR,0.651784,0.185721,0.284942,0.034088
12,GCR,0.667385,0.140363,0.210318,0.025161
13,UGPR,0.893767,0.135519,0.151627,0.018139
14,SDEI,0.919149,0.120626,0.131236,0.0157
15,UWPR,0.913738,0.119155,0.130404,0.015601
16,WEI,0.868061,0.10153,0.116962,0.013992
