row_id,ADMINCODE,REGION,ZONE,YEAR,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC,SCORE_ENTROPY,SCORE_CV,SCORE_DM,SCORE_PCA,SCORE_FACTOR
1,310000,上海,东部,2007,63951,18765.988372093,95.0863554691797,55.1437645103931,4.2,69.98,64,2.406725,37.6,17.596030655268,0.0038652969632028,0.918558175351106,100.0,100.0,4.5,7368.240343,0.343257,0.410864,0.587573,0.596081,0.728732
2,310000,上海,东部,2008,69154,21378.7949556282,90.9337990377498,56.4914115113951,4.2,69.98,64,2.418133,37.8,15.3919336309667,0.0030680543994937,0.966876387860844,100.0,100.0,4.63,7297.131148,0.350581,0.419116,0.595177,0.61804,0.71506
3,310000,上海,东部,2009,72363,23408.1447963801,84.9698125198602,59.9991106819799,4.3,72.19,64,2.403802,38.0,14.6431293830674,0.0024068756987498,1.13591892027495,100.0,100.0,4.48,7611.111111,0.36285,0.431909,0.603567,0.636238,0.705947
4,310000,上海,东部,2010,79396,26863.2218844985,87.0019891670628,57.8613929915045,4.4,74.4,64,2.378047,38.2,13.8567935965706,0.0019988389876865,1.43238194429727,100.0,100.0,4.04,7946.341463,0.381449,0.450154,0.620004,0.64741,0.703725
5,310000,上海,东部,2011,85897,30500.0,87.6100927742357,58.541107562832,3.5,75.48,66,2.356167,38.2,10.7025592587595,0.0011999180397507,1.31855893411803,99.87,100.0,4.04,8106.349206,0.420754,0.495167,0.676605,0.704731,0.72745
6,310000,上海,东部,2012,89613,32681.9508128387,89.4763887361915,61.0266784319616,3.1,46.12,68,2.35675,38.3,10.2904400720937,0.001071079903875,1.31882734786163,100.0,100.0,4.08,8131.51751,0.410852,0.483736,0.644837,0.689501,0.808035
7,310000,上海,东部,2013,95746,34955.0653594771,90.745504691285,63.7214974939774,4.0,47.33,71,2.336422,38.4,9.60877603526963,0.0009300080589206,1.24607771479549,100.0,100.0,4.11,34289.411765,0.759803,0.766816,0.656215,0.668712,0.910081
8,310000,上海,东部,2014,102827,37711.7957032833,93.1371155127309,65.3131405867874,4.1,48.44,71,2.30469,38.4,8.75194896675083,0.0007443667935638,1.57044667955738,100.0,100.0,4.11,33546.969697,0.767477,0.778597,0.678374,0.68553,0.932101
9,310000,上海,东部,2015,109186,47216.0292921074,89.1455465181634,68.2590099304497,4.0,50.85,73,2.282353,38.5,8.33663108565478,0.0006352512366571,1.68535877872459,100.0,100.0,4.27,32595.390071,0.789015,0.80447,0.716519,0.723662,0.937061
10,310000,上海,东部,2016,121369,51026.3477908391,92.5883155512261,70.9418810854218,4.1,53.37,74,2.260658,38.6,7.38645564961354,0.0002174858634188,1.94263861227298,100.0,100.0,4.37,36281.180812,0.866268,0.875964,0.75533,0.74949,0.987259
