row_id,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
1,0.254881,0.246808,1.0,0.456994,0.117647,0.719237,0.758621,0.737346,0.615142,0.767589,0.920007,0.012262,1.0,1.0,0.019199,0.177983
2,0.278489,0.286122,0.953177,0.481287,0.117647,0.719237,0.758621,0.732684,0.621451,0.809037,0.936517,0.020357,1.0,1.0,0.024624,0.176259
3,0.29305,0.316656,0.885929,0.544516,0.088235,0.75142,0.758621,0.73854,0.62776,0.823118,0.950209,0.048679,1.0,1.0,0.018364,0.183871
4,0.324962,0.368643,0.908843,0.505982,0.058824,0.783603,0.758621,0.749063,0.634069,0.837905,0.958659,0.098348,1.0,1.0,0.0,0.191999
5,0.35446,0.423364,0.9157,0.518234,0.323529,0.79933,0.793103,0.758002,0.634069,0.897221,0.975203,0.079278,0.998148,1.0,0.0,0.195878
6,0.371321,0.456194,0.936743,0.563039,0.441176,0.371778,0.827586,0.757764,0.637224,0.90497,0.977871,0.079323,1.0,1.0,0.001669,0.196488
7,0.399149,0.490397,0.951054,0.611616,0.176471,0.389399,0.87931,0.76607,0.640379,0.917789,0.980793,0.067135,1.0,1.0,0.002922,0.830647
8,0.431278,0.531876,0.978021,0.640307,0.147059,0.405563,0.87931,0.779034,0.640379,0.933902,0.984637,0.121479,1.0,1.0,0.002922,0.812648
9,0.460132,0.674881,0.933013,0.693409,0.176471,0.440658,0.913793,0.788161,0.643533,0.941712,0.986897,0.140732,1.0,1.0,0.009599,0.789578
10,0.515411,0.732212,0.971833,0.74177,0.147059,0.477355,0.931034,0.797025,0.646688,0.95958,0.995548,0.183836,1.0,1.0,0.013773,0.878935
11,0.570405,0.80033,0.920149,0.737975,0.205882,0.510849,0.931034,0.80153,0.662461,0.95958,0.999184,0.35706,1.0,1.0,0.019616,0.912494
12,0.626116,0.868742,0.88753,0.741712,0.323529,0.535459,0.931034,0.805546,0.570978,0.95958,0.999414,0.326569,1.0,1.0,0.022538,0.948742
13,0.660292,0.902591,0.915593,0.776779,0.294118,0.578564,0.931034,0.814596,0.589905,0.95958,0.999643,0.235405,1.0,1.0,0.028381,1.0
14,0.676191,0.88303,0.908467,0.785989,0.264706,0.591379,0.931034,0.826106,0.605678,0.95958,0.999765,0.234468,1.0,1.0,0.03005,0.00863
15,0.760664,0.981143,0.96726,0.79223,0.558824,0.638416,0.931034,0.846386,0.618297,0.95958,0.999777,0.174931,1.0,1.0,0.032137,0.009669
16,0.783878,0.87138,0.841126,0.802659,0.558824,0.67322,0.931034,0.856464,0.630915,0.95958,0.999742,0.221896,1.0,1.0,0.040067,0.004944
17,0.828276,0.955794,0.90028,0.81857,0.558824,0.724625,0.931034,0.870248,0.621451,0.95958,0.999771,0.301564,1.0,1.0,0.039232,0.010844
18,0.949966,0.927438,0.884049,0.87323,0.558824,0.724625,0.931034,0.887348,0.621451,0.95958,0.999771,0.301564,1.0,1.0,0.039232,0.010844
19,0.015922,0.011863,0.411263,0.233518,0.117647,0.120722,0.034483,0.09825,0.40694,0.788267,0.782377,0.321484,0.68053,0.858464,0.218698,0.003157
20,0.024992,0.022894,0.398766,0.22355,0.117647,0.120722,0.034483,0.149344,0.438486,0.836361,0.827268,0.524542,0.659593,0.852606,0.335977,0.003369
21,0.030169,0.031963,0.331105,0.263401,0.088235,0.163099,0.034483,0.160477,0.574132,0.847943,0.842778,0.563421,0.682097,0.88375,0.248748,0.003724
22,0.041236,0.04801,0.3576,0.250005,0.117647,0.205475,0.034483,0.254449,0.605678,0.874844,0.866006,0.491738,0.663866,0.892075,0.286311,0.004327
23,0.058419,0.0656,0.355506,0.279766,0.147059,0.253677,0.086207,0.301646,0.649842,0.807173,0.849746,0.406577,0.632673,0.848597,0.330968,0.004877
24,0.07357,0.081345,0.350167,0.274918,0.176471,0.308577,0.137931,0.317118,0.66877,0.837506,0.874614,0.332569,0.52229,0.824854,0.328881,0.00563
