row_id,ADMINCODE,REGION,ZONE,YEAR,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,HESP,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,PTVP
1,110000,北京,东部,2007,63629,22883.054892601427,90.49045165201576,75.89851805668793,1.8,,,3449.8806682577565,36.2,10.341662270394703,0.0014550860869982,1.7932706880872993,100.0,100.0,5.6,21.56
2,110000,北京,东部,2008,68541,26230.942970073404,93.77478576423093,77.66885914789513,1.8,69.91,,6750.0,37.2,9.587576504050588,0.0010412169540594,1.810349667481588,100.0,100.0,6.21,24.67
3,110000,北京,东部,2009,71059,28547.84946236559,87.38622988139021,77.88371353936547,1.4,71.7,,6410.0,47.7,10.914974924230092,0.0009208659860939,2.330374196441275,100.0,100.0,6.15,24.75
4,110000,北京,东部,2010,78307,32315.49439347605,86.62689708977962,77.57350975674953,1.4,73.5,69.0,6196.0,46.7,9.116212242715852,0.0007691793638064,2.239338760249069,100.0,100.0,5.57,14.24
5,110000,北京,东部,2011,86246,35682.80632411067,92.63688552121113,78.48715442613795,1.4,73.96,70.0,5613.0,45.6,8.463010797728755,0.0005695569207856,2.912274322621201,100.0,100.0,5.26,22.38
6,110000,北京,东部,2012,92758,39092.87776708374,89.94982782995189,78.95157348079076,1.3,48.41,72.0,5534.0,46.2,7.373256871330428,0.0004930432542957,3.080880577210601,100.0,100.0,7.57,23.43
7,110000,北京,东部,2013,100569,41751.05882352941,87.7194117393367,79.5212589781685,1.2,49.18,75.0,5469.0,47.1,6.84091489784524,0.0004116472514265,3.310523617160957,100.0,100.0,7.61,24.39
8,110000,北京,东部,2014,106732,44394.28834638416,89.00450198578017,79.96990316671028,1.3,51.03,75.0,5429.0,49.1,6.5739335252551685,0.000344150745878,4.715482013052886,100.0,100.0,7.44,24.84
9,110000,北京,东部,2015,113692,56087.29433272395,82.330201997316,81.59658744667887,1.4,51.4,76.0,5218.0,48.4,6.123426597414757,0.0002873389267568,5.285393101765515,100.0,100.0,7.62,24.58
10,110000,北京,东部,2016,123391,59840.09111617312,79.31079155331001,82.26594973595847,1.4,53.86,78.0,5028.0,48.4,6.154275697824061,5.547091105424315e-05,5.6718127855377976,100.0,100.0,7.62,24.31
