row_id,CRITERION,INDICATOR,GLOBAL_WEIGHT,USED_WEIGHT
1,ER,PCGDP,0.036888,0.036888
2,ER,PCRS,0.050342,0.050342
3,ER,FSR,0.103673,0.103673
4,ER,TIG,0.058513,0.058513
5,SDR,RUUR,0.081873,0.081873
6,SDR,HBTP,0.079892,0.079892
7,SDR,IPR,0.066238,0.066238
8,SDR,HESP,0.052067,0.052067
9,EER,GCR,0.048639,0.048639
10,EER,WEI,0.033205,0.033205
11,EER,SDEI,0.033958,0.033958
12,EER,EPES,0.123002,0.123002
13,IR,UGPR,0.038623,0.038623
14,IR,UWPR,0.037808,0.037808
15,IR,PCURA,0.096463,0.096463
16,IR,PTVP,0.058816,0.058816
