row_id,Unnamed: 0,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,HESP,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,PTVP
1,PCGDP,1.0,0.94592,0.434469,0.649024,0.401085,0.675379,0.838578,0.751968,0.633049,0.712179,0.827898,-0.241804,0.779318,0.702106,0.399634,0.507005
2,PCRS,0.94592,1.0,0.478402,0.645726,0.36645,0.628653,0.774172,0.747517,0.606341,0.711782,0.807655,-0.223089,0.721175,0.630809,0.323415,0.454086
3,FSR,0.434469,0.478402,1.0,0.04806,0.105988,-0.130273,0.526522,0.370427,0.356339,0.130619,0.175436,-0.19986,0.625913,0.442562,-0.137007,0.144287
4,TIG,0.649024,0.645726,0.04806,1.0,0.373966,0.551065,0.585788,0.502991,0.264834,0.657661,0.750718,-0.190998,0.450302,0.45252,0.156099,0.350993
5,RUUR,0.401085,0.36645,0.105988,0.373966,1.0,0.28092,0.403643,0.220814,0.3612,0.363929,0.481926,-0.107229,0.34911,0.294476,0.247031,0.200136
6,HBTP,0.675379,0.628653,-0.130273,0.551065,0.28092,1.0,0.482266,0.605064,0.400436,0.566822,0.623734,-0.153741,0.411748,0.400709,0.437256,0.44226
7,IPR,0.838578,0.774172,0.526522,0.585788,0.403643,0.482266,1.0,0.580398,0.44843,0.549633,0.630394,-0.202725,0.75741,0.676594,0.191828,0.48875
8,HESP,0.751968,0.747517,0.370427,0.502991,0.220814,0.605064,0.580398,1.0,0.522306,0.507636,0.649662,-0.180088,0.677612,0.509669,0.219935,0.396897
9,GCR,0.633049,0.606341,0.356339,0.264834,0.3612,0.400436,0.44843,0.522306,1.0,0.35296,0.595662,-0.126741,0.556298,0.430633,0.479347,0.316501
10,WEI,0.712179,0.711782,0.130619,0.657661,0.363929,0.566822,0.549633,0.507636,0.35296,1.0,0.715337,-0.193368,0.45322,0.435413,0.342733,0.385806
11,SDEI,0.827898,0.807655,0.175436,0.750718,0.481926,0.623734,0.630394,0.649662,0.595662,0.715337,1.0,-0.295796,0.595318,0.510521,0.391909,0.388627
12,EPES,-0.241804,-0.223089,-0.19986,-0.190998,-0.107229,-0.153741,-0.202725,-0.180088,-0.126741,-0.193368,-0.295796,1.0,-0.285612,-0.256607,-0.141131,-0.068902
13,UGPR,0.779318,0.721175,0.625913,0.450302,0.34911,0.411748,0.75741,0.677612,0.556298,0.45322,0.595318,-0.285612,1.0,0.836702,0.336689,0.495231
14,UWPR,0.702106,0.630809,0.442562,0.45252,0.294476,0.400709,0.676594,0.509669,0.430633,0.435413,0.510521,-0.256607,0.836702,1.0,0.349414,0.524354
15,PCURA,0.399634,0.323415,-0.137007,0.156099,0.247031,0.437256,0.191828,0.219935,0.479347,0.342733,0.391909,-0.141131,0.336689,0.349414,1.0,0.323083
16,PTVP,0.507005,0.454086,0.144287,0.350993,0.200136,0.44226,0.48875,0.396897,0.316501,0.385806,0.388627,-0.068902,0.495231,0.524354,0.323083,1.0
