row_id,Unnamed: 0,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,URIR,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,REPC
1,PCGDP,1.0,0.94592,0.434469,0.649024,0.401085,0.675379,0.838578,0.678516,0.633049,0.712179,0.827898,-0.241804,0.779318,0.702106,0.399634,0.755712
2,PCRS,0.94592,1.0,0.478402,0.645726,0.36645,0.628653,0.774172,0.656577,0.606341,0.711782,0.807655,-0.223089,0.721175,0.630809,0.323415,0.692375
3,FSR,0.434469,0.478402,1.0,0.04806,0.105988,-0.130273,0.526522,0.375498,0.356339,0.130619,0.175436,-0.19986,0.625913,0.442562,-0.137007,0.631688
4,TIG,0.649024,0.645726,0.04806,1.0,0.373966,0.551065,0.585788,0.360252,0.264834,0.657661,0.750718,-0.190998,0.450302,0.45252,0.156099,0.315313
5,RUUR,0.401085,0.36645,0.105988,0.373966,1.0,0.28092,0.403643,0.210858,0.3612,0.363929,0.481926,-0.107229,0.34911,0.294476,0.247031,0.230867
6,HBTP,0.675379,0.628653,-0.130273,0.551065,0.28092,1.0,0.482266,0.434992,0.400436,0.566822,0.623734,-0.153741,0.411748,0.400709,0.437256,0.394853
7,IPR,0.838578,0.774172,0.526522,0.585788,0.403643,0.482266,1.0,0.569458,0.44843,0.549633,0.630394,-0.202725,0.75741,0.676594,0.191828,0.771028
8,URIR,0.678516,0.656577,0.375498,0.360252,0.210858,0.434992,0.569458,1.0,0.447862,0.356976,0.626609,-0.291969,0.668589,0.553498,0.352814,0.613023
9,GCR,0.633049,0.606341,0.356339,0.264834,0.3612,0.400436,0.44843,0.447862,1.0,0.35296,0.595662,-0.126741,0.556298,0.430633,0.479347,0.537877
10,WEI,0.712179,0.711782,0.130619,0.657661,0.363929,0.566822,0.549633,0.356976,0.35296,1.0,0.715337,-0.193368,0.45322,0.435413,0.342733,0.376999
11,SDEI,0.827898,0.807655,0.175436,0.750718,0.481926,0.623734,0.630394,0.626609,0.595662,0.715337,1.0,-0.295796,0.595318,0.510521,0.391909,0.486416
12,EPES,-0.241804,-0.223089,-0.19986,-0.190998,-0.107229,-0.153741,-0.202725,-0.291969,-0.126741,-0.193368,-0.295796,1.0,-0.285612,-0.256607,-0.141131,-0.274763
13,UGPR,0.779318,0.721175,0.625913,0.450302,0.34911,0.411748,0.75741,0.668589,0.556298,0.45322,0.595318,-0.285612,1.0,0.836702,0.336689,0.79653
14,UWPR,0.702106,0.630809,0.442562,0.45252,0.294476,0.400709,0.676594,0.553498,0.430633,0.435413,0.510521,-0.256607,0.836702,1.0,0.349414,0.699513
15,PCURA,0.399634,0.323415,-0.137007,0.156099,0.247031,0.437256,0.191828,0.352814,0.479347,0.342733,0.391909,-0.141131,0.336689,0.349414,1.0,0.302004
16,REPC,0.755712,0.692375,0.631688,0.315313,0.230867,0.394853,0.771028,0.613023,0.537877,0.376999,0.486416,-0.274763,0.79653,0.699513,0.302004,1.0
