row_id,INDICATOR,STD,CONFLICT,C_VALUE,WEIGHT
1,EPES,0.17487,18.185434,3.180089,0.128662
2,FSR,0.226478,11.135644,2.521975,0.102036
3,PCURA,0.221157,10.967965,2.425639,0.098138
4,HBTP,0.231204,8.99518,2.079722,0.084143
5,RUUR,0.195163,10.63578,2.075706,0.08398
6,IPR,0.231498,6.996982,1.619784,0.065534
7,URIR,0.185721,8.386446,1.557536,0.063016
8,TIG,0.169844,8.92967,1.516653,0.061362
9,PCRS,0.200408,6.233637,1.249274,0.050544
10,GCR,0.140363,8.655472,1.214906,0.049153
11,UGPR,0.135519,6.94729,0.941492,0.038091
12,UWPR,0.119155,7.841138,0.934313,0.037801
13,PCGDP,0.156586,5.808937,0.909599,0.036801
14,WEI,0.10153,8.467106,0.859669,0.034781
15,SDEI,0.120626,7.076266,0.85358,0.034535
16,REPC,0.101255,7.670566,0.77668,0.031423
