row_id,ADMINCODE,REGION,ZONE,YEAR,FULL_INDEX,INDEX_WITHOUT_URIR,INDEX_WITHOUT_REPC,INDEX_WITHOUT_BOTH,FULL_RANK,RANK_WITHOUT_URIR,RANK_WITHOUT_REPC,RANK_WITHOUT_BOTH,RANK_CHANGE_WITHOUT_URIR,RANK_CHANGE_WITHOUT_REPC,RANK_CHANGE_WITHOUT_BOTH
1,310000,上海,东部,2007,0.4921637253419437,0.4770667754659481,0.5062621438846414,0.4919650126095486,2,2,2,2,0,0,0
2,530000,云南,西部,2007,0.2817031196451077,0.2942565918894429,0.290971010808294,0.3049441303516681,28,26,28,26,2,0,2
3,150000,内蒙古,西部,2007,0.3795356979513706,0.3731249224274804,0.3910784494556071,0.3852785418530859,12,13,12,13,1,0,1
4,110000,北京,东部,2007,0.5946260006934001,0.5919176463811952,0.6145535575551792,0.6135400653922807,1,1,1,1,0,0,0
5,220000,吉林,中部,2007,0.3510739564108147,0.3296469119370853,0.3624958198441729,0.3410350964366695,17,19,18,19,2,1,2
6,510000,四川,西部,2007,0.332237145785178,0.3207383286139043,0.3432242976136474,0.3321441224878822,22,22,22,21,0,0,1
7,120000,天津,东部,2007,0.4600044288700808,0.4368145180258666,0.4765286027352589,0.4538982180023631,5,5,5,5,0,0,0
8,640000,宁夏,西部,2007,0.3442112734219109,0.3377584728247017,0.3550166588557229,0.3491575171694725,19,17,19,17,2,0,2
9,340000,安徽,中部,2007,0.3387563375056253,0.328126081664924,0.3500726586320864,0.3399494381594849,20,20,20,20,0,0,0
10,370000,山东,东部,2007,0.4331150035867249,0.4227529986962275,0.4486505477671559,0.4393026721907586,6,6,6,6,0,0,0
11,140000,山西,中部,2007,0.3905977364893036,0.380273134965562,0.4037013496418601,0.3940340133252858,9,10,9,10,1,0,1
12,440000,广东,东部,2007,0.413715121933651,0.4089452162518842,0.427589003692663,0.4239643714599885,7,7,7,7,0,0,0
13,450000,广西,西部,2007,0.2477478782656277,0.2412650324094247,0.2571492475001115,0.2512936001648118,30,30,30,30,0,0,0
14,650000,新疆,西部,2007,0.3626308509302361,0.3598082837032524,0.3748842029103777,0.3730401546732595,16,16,16,16,0,0,0
15,320000,江苏,东部,2007,0.4886512452347144,0.4741917945897929,0.5046996655109799,0.4911455136931029,3,3,3,3,0,0,0
16,360000,江西,中部,2007,0.3033464622287538,0.2849454745177618,0.3141261059276536,0.2958613718173724,26,28,26,28,2,0,2
17,130000,河北,东部,2007,0.3872406722961144,0.3714580186298823,0.400382290482077,0.3850809542755765,10,14,10,14,4,0,4
18,410000,河南,中部,2007,0.3335876471861246,0.316902254444911,0.3444610628940815,0.3279250112007063,21,23,21,23,2,0,2
19,330000,浙江,东部,2007,0.4829424745763454,0.4639809629462773,0.4995962216556934,0.4814135671541516,4,4,4,4,0,0,0
20,460000,海南,东部,2007,0.3295094426539734,0.3112680058660824,0.3404579242740695,0.3223075015170426,23,24,23,24,1,0,1
21,420000,湖北,中部,2007,0.3505728037231713,0.332354632839115,0.3632632717369473,0.3453912604513795,18,18,17,18,0,1,0
22,430000,湖南,中部,2007,0.3073344586895751,0.2970908382366508,0.3182872663079255,0.3085925011492012,25,25,25,25,0,0,0
23,620000,甘肃,西部,2007,0.3029521645530108,0.3211982424939607,0.3112137546476821,0.330908385404812,27,21,27,22,6,0,5
24,350000,福建,东部,2007,0.3910660492906894,0.3745625756819778,0.4063705666885455,0.3906638666280417,8,11,8,11,3,0,3
25,540000,西藏,西部,2007,0.2614961155261475,0.2748341900742647,0.2684324057046893,0.2829014346395407,29,29,29,29,0,0,0
26,520000,贵州,西部,2007,0.2077635623441071,0.221117454670266,0.2142087222996991,0.228705669741448,31,31,31,31,0,0,0
27,210000,辽宁,东部,2007,0.3746836193731272,0.3602120966025684,0.3880894668648135,0.3742711856631213,13,15,13,15,2,0,2
28,500000,重庆,西部,2007,0.3731438558244895,0.3732423021007404,0.3858035452228279,0.3870375042903824,14,12,14,12,2,0,2
29,610000,陕西,西部,2007,0.3724131623199058,0.3845790500498628,0.384385789634197,0.3981681807403182,15,9,15,9,6,0,6
30,630000,青海,西部,2007,0.3801462301140143,0.3945153298110126,0.3911412962096066,0.4070178987401269,11,8,11,8,3,0,3
31,230000,黑龙江,中部,2007,0.3112204857609438,0.2894686502782631,0.3214297897402856,0.2995323099170715,24,27,24,27,3,0,3
32,310000,上海,东部,2008,0.4952805973207485,0.4806552451294299,0.5093500598292002,0.4955304063106545,3,3,4,3,0,1,0
33,530000,云南,西部,2008,0.3253239005281692,0.3371460620118784,0.3354524463844943,0.3486869745659188,24,21,24,21,3,0,3
34,150000,内蒙古,西部,2008,0.3850440225544378,0.3781035567801076,0.3967744896105636,0.3904440300166547,13,14,13,14,1,0,1
35,110000,北京,东部,2008,0.6083471030219862,0.6072408890822771,0.6287456042906103,0.6294556342749188,1,1,1,1,0,0,0
36,220000,吉林,中部,2008,0.3696545179954858,0.3467482701278275,0.3815877019638884,0.3586157984448493,15,18,15,18,3,0,3
37,510000,四川,西部,2008,0.2918097424011385,0.2758188637171686,0.3017317595641298,0.2858874518927849,28,28,28,28,0,0,0
38,120000,天津,东部,2008,0.4750485783858279,0.4555825446180295,0.4919604083763131,0.4732433391711987,5,5,5,5,0,0,0
39,640000,宁夏,西部,2008,0.3480181706057024,0.3434496040250701,0.3586256459198625,0.3547010664390029,20,19,20,20,1,0,0
40,340000,安徽,中部,2008,0.3632990967410576,0.3501341341252402,0.3752966977454777,0.3625659919449145,17,17,16,17,0,1,0
41,370000,山东,东部,2008,0.4448958098781653,0.4358082846368675,0.4607504895359413,0.4527641696359142,7,7,7,7,0,0,0
42,140000,山西,中部,2008,0.4179406695935049,0.4098885562411405,0.4317068932291738,0.4244634422806591,8,8,8,8,0,0,0
43,440000,广东,东部,2008,0.4567633543246518,0.4530068971186763,0.4723118971271336,0.4699185253196559,6,6,6,6,0,0,0
44,450000,广西,西部,2008,0.2728041674095123,0.2678094987141796,0.2826513940286084,0.2783635752442151,29,29,29,29,0,0,0
45,650000,新疆,西部,2008,0.3547180110175508,0.3517599336436587,0.3663227174440847,0.3642514439627222,19,16,19,16,3,0,3
46,320000,江苏,东部,2008,0.515005460363118,0.5031496478211988,0.5312307402183667,0.5203810523408374,2,2,2,2,0,0,0
47,360000,江西,中部,2008,0.3437178084441314,0.3251879090681833,0.3554166514789109,0.3370588321122833,21,23,21,22,2,0,1
48,130000,河北,东部,2008,0.4150887200995654,0.403044889774886,0.4287472157537461,0.4173760471175521,9,9,9,9,0,0,0
49,410000,河南,中部,2008,0.3301575856778296,0.3123982926459424,0.3407626340931428,0.3230657455325789,23,25,23,25,2,0,2
50,330000,浙江,东部,2008,0.4926549217412912,0.4729431404319152,0.5093822351182118,0.4904086165618722,4,4,3,4,0,1,0
51,460000,海南,东部,2008,0.3329668352080927,0.3139143424397038,0.3443384028060395,0.325402954764141,22,24,22,24,2,0,2
52,420000,湖北,中部,2008,0.3610151242232655,0.3416088410136282,0.3738504631703268,0.3547325144902273,18,20,18,19,2,0,1
