row_id,Specification,Indicator,Standard_Deviation,Information_Conflict,Information_Content,Weight
1,Complete index,PCGDP,0.1565861278830807,5.808937388340316,0.9095990127554653,0.0368011110595811
2,Complete index,PCRS,0.2004084884668927,6.233637223701367,1.249273813652948,0.05054388111174028
3,Complete index,FSR,0.2264777104002426,11.1356443762623,2.521975242167223,0.1020356109395439
4,Complete index,TIG,0.1698442236621119,8.929670400485147,1.516652936728939,0.06136166858220478
5,Complete index,HBTP,0.2312040402458713,8.99518029944755,2.07972202797234,0.08414266094310628
6,Complete index,IPR,0.231497582754074,6.996981931154592,1.61978440363622,0.06553422430639695
7,Complete index,GCR,0.1403627778957034,8.65547192237955,1.214906083023458,0.0491534105263224
8,Complete index,EPES,0.1748701195373752,18.18543417139689,3.180089047391243,0.1286619802476247
9,Complete index,UGPR,0.1355193418544441,6.947289795976564,0.9414921408228389,0.03809146266681223
10,Complete index,UWPR,0.1191552705147496,7.841138459941175,0.9343129743378976,0.03780100357503376
11,Complete index,PCURA,0.2211567243882567,10.96796467441275,2.425639140599236,0.09813798624653683
12,Complete index,REPC,0.1012545624351564,7.670565507857797,0.7766797541283442,0.03142338270884804
13,Complete index,RUUR,0.1951625865461607,10.63578040895672,2.075706414548977,0.08398019480858634
14,Complete index,URIR,0.185720684305881,8.38644552735128,1.557536402233675,0.06301575673911972
15,Complete index,WEI,0.101530464530195,8.46710553633532,0.8596691583303107,0.03478101858792973
16,Complete index,SDEI,0.1206257215777927,7.076265936165639,0.8535796846263352,0.03453464695061283
17,Excluding URIR,PCGDP,0.1565861278830807,5.487453481940433,0.8592590926755809,0.03957653039652359
18,Excluding URIR,PCRS,0.2004084884668927,5.890213914483647,1.180448867348327,0.05437017877190113
19,Excluding URIR,FSR,0.2264777104002426,10.51114258032582,2.380539505282688,0.1096450359315738
20,Excluding URIR,TIG,0.1698442236621119,8.289922630370405,1.407995473374234,0.06485072561367913
21,Excluding URIR,HBTP,0.2312040402458713,8.430172486320892,1.949089938806973,0.0897729426040261
22,Excluding URIR,IPR,0.231497582754074,6.566439705444244,1.520114919110716,0.07001482418424451
23,Excluding URIR,GCR,0.1403627778957034,8.10333440368884,1.137406527119589,0.05238769583873153
24,Excluding URIR,EPES,0.1748701195373752,16.89346494495396,2.954162234324557,0.1360654690297821
25,Excluding URIR,UGPR,0.1355193418544441,6.615879142084224,0.896579587123798,0.04129547139526705
26,Excluding URIR,UWPR,0.1191552705147496,7.394636559521363,0.8811099196080251,0.04058295549420662
27,Excluding URIR,PCURA,0.2211567243882567,10.3207789412659,2.282509663785667,0.1051298890627841
28,Excluding URIR,REPC,0.1012545624351564,7.283588861122731,0.737496603090561,0.03396828381374655
29,Excluding URIR,RUUR,0.1951625865461607,9.846638557285779,1.921695449625049,0.08851118250972242
30,Excluding URIR,WEI,0.101530464530195,7.824081501657324,0.7943826293853735,0.03658839172762824
31,Excluding URIR,SDEI,0.1206257215777927,6.702874794996833,0.8085391087920926,0.03724042362618309
32,Excluding REPC,PCGDP,0.1565861278830807,5.564649196886851,0.8713468707682065,0.03856420918792537
33,Excluding REPC,PCRS,0.2004084884668927,5.926011799592572,1.187623067393318,0.05256201168999783
34,Excluding REPC,FSR,0.2264777104002426,10.76733208658797,2.438560718089509,0.1079262103356746
35,Excluding REPC,TIG,0.1698442236621119,8.244983066773099,1.400362748083335,0.06197747850801631
36,Excluding REPC,HBTP,0.2312040402458713,8.390033753052599,1.939809701504992,0.0858524080629947
37,Excluding REPC,IPR,0.231497582754074,6.768009919282941,1.566777936369596,0.0693427085311199
38,Excluding REPC,GCR,0.1403627778957034,8.19334914810441,1.15004124669733,0.05089870945801139
39,Excluding REPC,EPES,0.1748701195373752,16.91067156700319,2.95717115837914,0.1308789541594275
40,Excluding REPC,UGPR,0.1355193418544441,6.743819333994812,0.9139179577282522,0.04044832716431424
41,Excluding REPC,UWPR,0.1191552705147496,7.540651160604261,0.8985083288991611,0.03976632534665758
42,Excluding REPC,PCURA,0.2211567243882567,10.26996849401639,2.271272591707262,0.1005223456786829
43,Excluding REPC,RUUR,0.1951625865461607,9.866647558722951,1.925600458099733,0.08522353309544083
44,Excluding REPC,URIR,0.185720684305881,7.999468880616213,1.485666834591643,0.06575288041402301
45,Excluding REPC,WEI,0.101530464530195,7.844104152895063,0.7964155384666672,0.03524788629683736
46,Excluding REPC,SDEI,0.1206257215777927,6.562682426316045,0.7916283031602726,0.03503601207087628
47,Excluding both,PCGDP,0.1565861278830807,5.243165290486967,0.821006950688322,0.04167449083676782
48,Excluding both,PCRS,0.2004084884668927,5.582588490374851,1.118798121088696,0.05679043521667364
49,Excluding both,FSR,0.2264777104002426,10.14283029065148,2.297124981204974,0.1166025621340685
50,Excluding both,TIG,0.1698442236621119,7.605235296658355,1.291705284728629,0.06556724033468468
51,Excluding both,HBTP,0.2312040402458713,7.825025939925943,1.809177612339625,0.09183424788830549
52,Excluding both,IPR,0.231497582754074,6.337467693572595,1.467108451844092,0.07447074313032477
53,Excluding both,GCR,0.1403627778957034,7.641211629413703,1.072541690793462,0.05444244878505553
54,Excluding both,EPES,0.1748701195373752,15.61870234056026,2.731244345312455,0.1386385551867373
55,Excluding both,UGPR,0.1355193418544441,6.412408680102472,0.8690054040292113,0.04411090273590812
56,Excluding both,UWPR,0.1191552705147496,7.094149260184448,0.8453052741692886,0.04290787900529355
57,Excluding both,PCURA,0.2211567243882567,9.622782760869542,2.128143114893694,0.1080250059595863
58,Excluding both,RUUR,0.1951625865461607,9.077505707052007,1.771589493175805,0.08992626680927733
59,Excluding both,WEI,0.101530464530195,7.201080118217068,0.7311290095217303,0.03711226705482005
60,Excluding both,SDEI,0.1206257215777927,6.189291285147239,0.7465877273260298,0.03789695492249686
