row_id,ADMINCODE,REGION,ZONE,YEAR,URIR,REPC
1,310000,上海,东部,2007,2.406725,7368.240343
2,310000,上海,东部,2008,2.418133,7297.131148
3,310000,上海,东部,2009,2.403802,7611.111111
4,310000,上海,东部,2010,2.378047,7946.341463
5,310000,上海,东部,2011,2.356167,8106.349206
6,310000,上海,东部,2012,2.35675,8131.51751
7,310000,上海,东部,2013,2.336422,34289.411765
8,310000,上海,东部,2014,2.30469,33546.969697
9,310000,上海,东部,2015,2.282353,32595.390071
10,310000,上海,东部,2016,2.260658,36281.180812
11,310000,上海,东部,2017,2.249632,37665.427509
12,310000,上海,东部,2018,2.239802,39160.594796
13,310000,上海,东部,2019,2.217653,41274.906367
14,310000,上海,东部,2020,2.189482,382.706767
15,310000,上海,东部,2021,2.139846,425.56391
16,310000,上海,东部,2022,2.11518,230.681818
17,310000,上海,东部,2023,2.081441,474.045802
18,310000,上海,东部,2024,2.039589,
19,530000,云南,西部,2007,3.970932,156.962435
20,530000,云南,西部,2008,3.845878,165.703022
21,530000,云南,西部,2009,3.818629,180.344713
22,530000,云南,西部,2010,3.58863,205.224626
23,530000,云南,西部,2011,3.473114,227.918089
24,530000,云南,西部,2012,3.435245,258.968059
25,530000,云南,西部,2013,3.340274,295.763016
26,530000,云南,西部,2014,3.258986,318.537477
27,530000,云南,西部,2015,3.19983,343.667794
28,530000,云南,西部,2016,3.171951,367.94129
29,530000,云南,西部,2017,3.142973,405.95002
30,530000,云南,西部,2018,3.109955,424.514563
31,530000,云南,西部,2019,3.044698,497.603306
32,530000,云南,西部,2020,2.920106,695.125053
33,530000,云南,西部,2021,2.881243,756.750871
34,530000,云南,西部,2022,2.783918,731.421006
35,530000,云南,西部,2023,2.662612,931.045455
36,530000,云南,西部,2024,2.596676,
37,150000,内蒙古,西部,2007,3.073123,281.585467
38,150000,内蒙古,西部,2008,3.035995,309.322034
39,150000,内蒙古,西部,2009,3.138246,359.075044
40,150000,内蒙古,西部,2010,3.122837,440.090909
41,150000,内蒙古,西部,2011,2.998127,492.931197
42,150000,内蒙古,西部,2012,2.967697,538.04878
43,150000,内蒙古,西部,2013,2.894157,604.056795
44,150000,内蒙古,西部,2014,2.84182,660.251046
45,150000,内蒙古,西部,2015,2.839087,781.189189
46,150000,内蒙古,西部,2016,2.840469,796.973094
47,150000,内蒙古,西部,2017,2.834552,916.376307
48,150000,内蒙古,西部,2018,2.775121,1024.071856
49,150000,内蒙古,西部,2019,2.668455,1125.432099
50,150000,内蒙古,西部,2020,2.496107,1382.330346
51,150000,内蒙古,西部,2021,2.42008,1569.986894
52,150000,内蒙古,西部,2022,2.357059,1369.893899
53,150000,内蒙古,西部,2023,2.293766,2443.621399
54,150000,内蒙古,西部,2024,2.257375,
55,110000,北京,东部,2007,2.654448,1581.538462
56,110000,北京,东部,2008,2.677875,1600.749064
57,110000,北京,东部,2009,2.680406,1573.835125
58,110000,北京,东部,2010,2.597995,1613.818182
59,110000,北京,东部,2011,2.646267,1627.240143
60,110000,北京,东部,2012,2.623235,1660.0
61,110000,北京,东部,2013,2.605929,1679.238754
62,110000,北京,东部,2014,2.572322,1725.59727
63,110000,北京,东部,2015,2.569838,1775.601375
64,110000,北京,东部,2016,2.567234,1880.068729
65,110000,北京,东部,2017,2.574505,2143.205575
66,110000,北京,东部,2018,2.566629,2301.766784
67,110000,北京,东部,2019,2.552855,2446.570397
68,110000,北京,东部,2020,2.509527,2391.208791
69,110000,北京,东部,2021,2.447767,2449.81685
70,110000,北京,东部,2022,2.41765,2237.269373
71,110000,北京,东部,2023,2.372986,2745.864662
72,110000,北京,东部,2024,2.319952,
73,220000,吉林,中部,2007,2.572102,255.121188
74,220000,吉林,中部,2008,2.472905,271.149335
75,220000,吉林,中部,2009,2.517209,293.119625
76,220000,吉林,中部,2010,2.327551,308.352849
77,220000,吉林,中部,2011,2.232512,334.724409
78,220000,吉林,中部,2012,2.213934,375.876121
79,220000,吉林,中部,2013,2.180861,408.382727
80,220000,吉林,中部,2014,2.153803,427.256792
81,220000,吉林,中部,2015,2.19857,448.057814
82,220000,吉林,中部,2016,2.188402,482.813975
83,220000,吉林,中部,2017,2.186795,520.235756
84,220000,吉林,中部,2018,2.194646,564.300412
85,220000,吉林,中部,2019,2.162493,584.451544
86,220000,吉林,中部,2020,2.078546,770.982143
87,220000,吉林,中部,2021,2.020519,831.149425
88,220000,吉林,中部,2022,1.956049,689.788732
89,220000,吉林,中部,2023,1.925996,1055.151515
90,220000,吉林,中部,2024,1.891277,
91,510000,四川,西部,2007,2.976287,235.594192
92,510000,四川,西部,2008,2.899631,251.629368
93,510000,四川,西部,2009,2.918753,266.633446
94,510000,四川,西部,2010,2.845185,294.389027
95,510000,四川,西部,2011,2.734358,316.847942
96,510000,四川,西部,2012,2.715285,340.524017
97,510000,四川,西部,2013,2.652189,366.367914
98,510000,四川,西部,2014,2.592426,389.45797
99,510000,四川,西部,2015,2.557334,412.287736
100,510000,四川,西部,2016,2.529233,443.722734
101,510000,四川,西部,2017,2.513045,471.45359
102,510000,四川,西部,2018,2.491636,513.362626
103,510000,四川,西部,2019,2.464485,552.038627
104,510000,四川,西部,2020,2.401469,708.337935
105,510000,四川,西部,2021,2.358122,773.57689
106,510000,四川,西部,2022,2.315392,841.886468
107,510000,四川,西部,2023,2.26384,968.289086
108,510000,四川,西部,2024,2.222034,
109,120000,天津,东部,2007,2.200438,1989.393939
110,120000,天津,东部,2008,2.300584,1708.58209
111,120000,天津,东部,2009,2.29487,1903.333333
112,120000,天津,东部,2010,2.232692,1916.917293
113,120000,天津,东部,2011,2.023114,1958.015267
114,120000,天津,东部,2012,1.95586,2032.283465
115,120000,天津,东部,2013,1.887579,2768.8
116,120000,天津,东部,2014,1.851769,4379.116466
117,120000,天津,东部,2015,1.845093,4164.227642
118,120000,天津,东部,2016,1.848476,3825.311203
119,120000,天津,东部,2017,1.851522,1737.931034
120,120000,天津,东部,2018,1.863256,1662.612613
121,120000,天津,东部,2019,1.859337,1808.294931
122,120000,天津,东部,2020,1.855085,2716.981132
123,120000,天津,东部,2021,1.841746,2982.692308
124,120000,天津,东部,2022,1.826556,2584.729064
125,120000,天津,东部,2023,1.794269,3580.808081
126,120000,天津,东部,2024,1.76387,
127,640000,宁夏,西部,2007,3.143653,310.818713
128,640000,宁夏,西部,2008,3.20538,322.058824
129,640000,宁夏,西部,2009,3.135755,300.0
130,640000,宁夏,西部,2010,2.944976,332.121212
131,640000,宁夏,西部,2011,2.91536,371.826625
132,640000,宁夏,西部,2012,2.878837,395.962733
133,640000,宁夏,西部,2013,2.826161,440.764331
134,640000,宁夏,西部,2014,2.768728,443.137255
135,640000,宁夏,西部,2015,2.761926,469.047619
136,640000,宁夏,西部,2016,2.75609,493.379791
137,640000,宁夏,西部,2017,2.744645,532.0
138,640000,宁夏,西部,2018,2.724206,559.479554
139,640000,宁夏,西部,2019,2.669778,617.624521
140,640000,宁夏,西部,2020,2.571819,1426.086957
141,640000,宁夏,西部,2021,2.496642,1651.626016
142,640000,宁夏,西部,2022,2.446379,1361.22449
143,640000,宁夏,西部,2023,2.385494,2175.210084
144,640000,宁夏,西部,2024,2.337576,
145,340000,安徽,中部,2007,2.983701,218.56
146,340000,安徽,中部,2008,2.83418,246.328767
147,340000,安徽,中部,2009,2.844895,276.084507
148,340000,安徽,中部,2010,2.694945,316.377025
149,340000,安徽,中部,2011,2.693437,355.717319
150,340000,安徽,中部,2012,2.648735,401.246106
151,340000,安徽,中部,2013,2.575028,443.273543
152,340000,安徽,中部,2014,2.504942,485.296053
153,340000,安徽,中部,2015,2.489234,531.896844
154,340000,安徽,中部,2016,2.487713,565.50035
