row_id,ADMINCODE,REGION,ZONE,YEAR,PCGDP,PCRS,FSR,TIG,RUUR,HBTP,IPR,HESP,GCR,WEI,SDEI,EPES,UGPR,UWPR,PCURA,PTVP,RESILIENCE_SCORE
1,310000,上海,东部,2007,63951,18765.98837209302,95.08635546917972,55.14376451039313,4.2,69.98,64,2349.321705426356,37.6,17.596030655268,0.0038652969632028,0.9185581753511056,100.0,100.0,4.5,12.41,0.469494
2,310000,上海,东部,2008,69154,21378.79495562821,90.9337990377498,56.49141151139514,4.2,69.98,64,4371.0,37.8,15.39193363096671,0.0030680543994937,0.9668763878608438,100.0,100.0,4.63,12.51,0.490255
3,310000,上海,东部,2009,72363,23408.14479638009,84.96981251986018,59.99911068197987,4.3,72.19,64,4393.0,38.0,14.64312938306739,0.0024068756987498,1.135918920274949,100.0,100.0,4.48,12.76,0.49423
4,310000,上海,东部,2010,79396,26863.22188449848,87.00198916706279,57.86139299150451,4.4,74.4,64,4300.0,38.2,13.85679359657055,0.0019988389876865,1.432381944297267,100.0,100.0,4.04,8.82,0.491858
5,310000,上海,东部,2011,85897,30500.0,87.61009277423574,58.54110756283202,3.5,75.48,66,3556.0,38.2,10.7025592587595,0.0011999180397507,1.318558934118031,99.87,100.0,4.04,11.79,0.52444
6,310000,上海,东部,2012,89613,32681.95081283868,89.47638873619151,61.02667843196156,3.1,46.12,68,3481.0,38.3,10.29044007209372,0.001071079903875,1.318827347861626,100.0,100.0,4.08,11.91,0.509711
7,310000,上海,东部,2013,95746,34955.06535947712,90.74550469128498,63.72149749397737,4.0,47.33,71,3421.0,38.4,9.60877603526963,0.0009300080589206,1.246077714795489,100.0,100.0,4.11,12.11,0.499295
8,310000,上海,东部,2014,102827,37711.79570328334,93.13711551273094,65.31314058678738,4.1,48.44,71,3348.0,38.4,8.751948966750826,0.0007443667935638,1.570446679557383,100.0,100.0,4.11,11.97,0.512259
9,310000,上海,东部,2015,109186,47216.02929210741,89.14554651816343,68.25900993044965,4.0,50.85,73,3330.0,38.5,8.336631085654778,0.0006352512366571,1.685358778724587,100.0,100.0,4.27,12.36,0.530903
10,310000,上海,东部,2016,121369,51026.34779083908,92.58831555122606,70.94188108542177,4.1,53.37,74,3327.0,38.6,7.386455649613544,0.0002174858634188,1.942638612272978,100.0,100.0,4.37,12.7,0.552024
