row_id,年度,地区,地区编号,人均国内生产总值(现价)(元/人),2000-2020年人均GDP（万元）
1,2000,北京市,1,22459.6565940289,8.07559547087986
2,2000,天津市,2,17993.1950389639,7.00520858104725
3,2000,河北省,3,7662.75771100229,2.84530651005488
4,2000,山西省,4,5137.05072955177,2.54392150004365
5,2000,内蒙古自治区,5,5871.79379715004,4.27315250749414
6,2000,辽宁省,6,11226.4005770618,3.90719568157907
7,2000,吉林省,7,6847.40269506106,3.15424370746676
8,2000,黑龙江省,8,8561.65284905909,2.6824684277149
9,2000,上海市,9,34546.9796110462,8.42685826481529
10,2000,江苏省,10,11772.9659268607,5.90957773279552
11,2000,浙江省,11,13460.9329355044,5.47871631651732
12,2000,安徽省,12,4867.40767382249,2.48644343810527
13,2000,福建省,13,11601.2725658479,4.71871968206808
14,2000,江西省,14,4851.25830412912,2.45990302024444
15,2000,山东省,15,9555.23789499762,4.21751619118074
16,2000,河南省,16,5443.87814569536,2.67590948431165
17,2000,湖北省,17,7188.27638837993,3.34241323769808
18,2000,湖南省,18,5639.01494265339,2.79581682246655
19,2000,广东省,19,12885.3957877414,4.79249102585372
20,2000,广西壮族自治区,20,4318.81188118812,2.22528319692003
21,2000,海南省,21,6893.94745239868,2.71898909379949
22,2000,重庆市,22,5157.3147463105,3.32999237587743
23,2000,四川省,23,4783.76579379318,2.49727045664446
24,2000,贵州省,24,2661.55713133792,1.84398767483154
25,2000,云南省,25,4636.65038182422,2.00724175116922
26,2000,西藏自治区,26,4558.69911126635,2.18296513862508
27,2000,陕西省,27,4549.21939194741,3.08306478213604
28,2000,甘肃省,28,3838.25136612022,1.74445616283952
29,2000,青海省,29,5087.13692946058,2.59867121616487
30,2000,宁夏回族自治区,30,4839.10349854227,2.80621471883819
31,2000,新疆维吾尔自治区,31,7469.80563920066,2.76005861033457
32,2001,北京市,1,25523.0,
33,2001,天津市,2,20154.4359255203,
34,2001,河北省,3,8362.0,
35,2001,山西省,4,5460.0,
36,2001,内蒙古自治区,5,6462.5218965438,
37,2001,辽宁省,6,12040.8612440191,
38,2001,吉林省,7,7640.01187831493,
39,2001,黑龙江省,8,9348.91047519034,
40,2001,上海市,9,37382.0,
41,2001,江苏省,10,12922.0,
42,2001,浙江省,11,14655.0,
43,2001,安徽省,12,5220.77118375119,
44,2001,福建省,13,12362.0,
45,2001,江西省,14,5221.0,
46,2001,山东省,15,10465.0,
47,2001,河南省,16,5923.55196135063,
48,2001,湖北省,17,7813.07,
49,2001,湖南省,18,6054.0,
50,2001,广东省,19,13729.9285750652,
51,2001,广西壮族自治区,20,4668.0,
52,2001,海南省,21,7135.0,
53,2001,重庆市,22,5654.0,
54,2001,四川省,23,5250.0,
55,2001,贵州省,24,2895.29024957834,
56,2001,云南省,25,4866.0,
57,2001,西藏自治区,26,5307.0,
58,2001,陕西省,27,5024.0,
59,2001,甘肃省,28,4163.35736218348,
60,2001,青海省,29,5734.56554878049,
61,2001,宁夏回族自治区,30,5340.0,
62,2001,新疆维吾尔自治区,31,7913.0,
63,2002,北京市,1,28449.0,
64,2002,天津市,2,22379.8716885611,
65,2002,河北省,3,9115.0,
66,2002,山西省,4,6146.0,
67,2002,内蒙古自治区,5,7241.25252730643,
68,2002,辽宁省,6,12986.4858434452,
69,2002,吉林省,7,8334.09,
70,2002,黑龙江省,8,10184.0,
71,2002,上海市,9,40646.0,
72,2002,江苏省,10,14391.0,
73,2002,浙江省,11,16838.0,
74,2002,安徽省,12,5817.0,
75,2002,福建省,13,13497.0,
76,2002,江西省,14,5829.0,
77,2002,山东省,15,11645.0,
78,2002,河南省,16,6436.0,
79,2002,湖北省,17,8318.81,
80,2002,湖南省,18,6565.0,
81,2002,广东省,19,15029.6655297978,
82,2002,广西壮族自治区,20,5099.0,
83,2002,海南省,21,7803.0,
84,2002,重庆市,22,6347.0,
85,2002,四川省,23,5766.0,
86,2002,贵州省,24,3153.0,
87,2002,云南省,25,5179.0,
88,2002,西藏自治区,26,6093.0,
89,2002,陕西省,27,5523.0,
90,2002,甘肃省,28,4493.0,
91,2002,青海省,29,6426.0,
92,2002,宁夏回族自治区,30,5804.0,
93,2002,新疆维吾尔自治区,31,8382.0,
94,2003,北京市,1,32061.0,
95,2003,天津市,2,26532.036898529,
96,2003,河北省,3,10513.2390010693,
97,2003,山西省,4,7435.0,
98,2003,内蒙古自治区,5,8974.64587100084,
99,2003,辽宁省,6,14257.8147268409,
100,2003,吉林省,7,9338.0,
101,2003,黑龙江省,8,11615.1,
102,2003,上海市,9,46718.0,
103,2003,江苏省,10,16809.0,
104,2003,浙江省,11,20147.0,
105,2003,安徽省,12,6455.0,
106,2003,福建省,13,14979.0,
107,2003,江西省,14,6678.0,
108,2003,山东省,15,13661.0,
109,2003,河南省,16,7570.17506175491,
110,2003,湖北省,17,9010.7,
111,2003,湖南省,18,7554.0,
112,2003,广东省,19,17213.0698938297,
113,2003,广西壮族自治区,20,5969.0,
114,2003,海南省,21,8316.0,
115,2003,重庆市,22,7209.0,
116,2003,四川省,23,6418.0,
117,2003,贵州省,24,3603.0,
118,2003,云南省,25,5662.0,
119,2003,西藏自治区,26,6871.0,
120,2003,陕西省,27,6480.0,
121,2003,甘肃省,28,5021.63235769604,
122,2003,青海省,29,7277.0,
123,2003,宁夏回族自治区,30,6691.0,
124,2003,新疆维吾尔自治区,31,9700.0,
125,2004,北京市,1,37058.0,
126,2004,天津市,2,31550.0,
127,2004,河北省,3,12918.0,
128,2004,山西省,4,9150.0,
129,2004,内蒙古自治区,5,11305.0,
130,2004,辽宁省,6,16297.0,
131,2004,吉林省,7,10932.0,
132,2004,黑龙江省,8,13897.0,
133,2004,上海市,9,55307.0,
134,2004,江苏省,10,20705.0,
135,2004,浙江省,11,23942.0,
136,2004,安徽省,12,7768.0,
137,2004,福建省,13,17218.0,
138,2004,江西省,14,8189.0,
139,2004,山东省,15,16925.0,
140,2004,河南省,16,9470.0,
141,2004,湖北省,17,10500.0,
142,2004,湖南省,18,9117.0,
143,2004,广东省,19,19707.0,
144,2004,广西壮族自治区,20,7196.0,
145,2004,海南省,21,9450.0,
146,2004,重庆市,22,9608.0,
147,2004,四川省,23,8113.0,
148,2004,贵州省,24,4215.0,
149,2004,云南省,25,6733.0,
150,2004,西藏自治区,26,7779.0,
151,2004,陕西省,27,7757.0,
152,2004,甘肃省,28,5970.0,
153,2004,青海省,29,8606.0,
154,2004,宁夏回族自治区,30,7880.0,
155,2004,新疆维吾尔自治区,31,11199.0,
156,2005,北京市,1,45443.6928762332,
157,2005,天津市,2,35783.1884955581,
158,2005,河北省,3,14782.2597175939,
159,2005,山西省,4,12495.0,
160,2005,内蒙古自治区,5,16330.8186701069,
161,2005,辽宁省,6,18983.2012563673,
162,2005,吉林省,7,13348.0,
163,2005,黑龙江省,8,14434.0561491724,
164,2005,上海市,9,51474.0,
165,2005,江苏省,10,24560.0,
166,2005,浙江省,11,27702.6846512652,
167,2005,安徽省,12,8675.14475153894,
168,2005,福建省,13,18645.8416122623,
169,2005,江西省,14,9440.0,
170,2005,山东省,15,20096.4547387589,
171,2005,河南省,16,11346.4979839415,
172,2005,湖北省,17,11431.0,
173,2005,湖南省,18,10426.0,
174,2005,广东省,19,24435.0156428462,
175,2005,广西壮族自治区,20,8787.72899005432,
176,2005,海南省,21,10871.0,
177,2005,重庆市,22,10982.0,
178,2005,四川省,23,9060.0,
179,2005,贵州省,24,5051.96,
180,2005,云南省,25,7835.0,
181,2005,西藏自治区,26,9114.0,
182,2005,陕西省,27,9899.0,
183,2005,甘肃省,28,7476.52929271843,
184,2005,青海省,29,10044.7403440201,
185,2005,宁夏回族自治区,30,10239.0,
186,2005,新疆维吾尔自治区,31,13108.0,
187,2006,北京市,1,50467.0,
188,2006,天津市,2,41163.0,
189,2006,河北省,3,16962.0,
190,2006,山西省,4,14123.0,
191,2006,内蒙古自治区,5,20053.0,
192,2006,辽宁省,6,21788.0,
193,2006,吉林省,7,15720.0,
194,2006,黑龙江省,8,16195.0,
195,2006,上海市,9,57695.0,
196,2006,江苏省,10,28814.0,
197,2006,浙江省,11,31874.0,
198,2006,安徽省,12,10055.0,
199,2006,福建省,13,21471.0,
200,2006,江西省,14,10798.0,
201,2006,山东省,15,23794.0,
202,2006,河南省,16,13313.0,
203,2006,湖北省,17,13296.0,
204,2006,湖南省,18,11950.0,
205,2006,广东省,19,28332.0,
206,2006,广西壮族自治区,20,10296.0,
207,2006,海南省,21,12654.0,
208,2006,重庆市,22,12457.0,
209,2006,四川省,23,10546.0,
210,2006,贵州省,24,5787.0,
211,2006,云南省,25,8970.0,
212,2006,西藏自治区,26,10430.0,
213,2006,陕西省,27,12138.0,
214,2006,甘肃省,28,8757.0,
215,2006,青海省,29,11762.0,
216,2006,宁夏回族自治区,30,11847.0,
217,2006,新疆维吾尔自治区,31,15000.0,
218,2007,北京市,1,58204.0,
219,2007,天津市,2,46122.0,
220,2007,河北省,3,19877.0,
221,2007,山西省,4,16945.0,
222,2007,内蒙古自治区,5,25393.0,
223,2007,辽宁省,6,25729.0,
224,2007,吉林省,7,19383.0,
225,2007,黑龙江省,8,18478.0,
226,2007,上海市,9,66367.0,
227,2007,江苏省,10,33928.0,
228,2007,浙江省,11,37411.0,
229,2007,安徽省,12,12045.0,
230,2007,福建省,13,25908.0,
231,2007,江西省,14,12633.0,
232,2007,山东省,15,27807.0,
233,2007,河南省,16,16012.0,
234,2007,湖北省,17,16206.0,
235,2007,湖南省,18,14492.0,
236,2007,广东省,19,33151.0,
237,2007,广西壮族自治区,20,12555.0,
238,2007,海南省,21,14555.0,
239,2007,重庆市,22,14660.0,
240,2007,四川省,23,12893.0,
241,2007,贵州省,24,6915.0,
242,2007,云南省,25,10540.0,
243,2007,西藏自治区,26,12109.0,
244,2007,陕西省,27,14607.0,
245,2007,甘肃省,28,10346.0,
246,2007,青海省,29,14257.0,
247,2007,宁夏回族自治区,30,14649.0,
248,2007,新疆维吾尔自治区,31,16999.0,
249,2008,北京市,1,63029.0,
250,2008,天津市,2,55473.0,
251,2008,河北省,3,23239.0,
252,2008,山西省,4,20398.0,
253,2008,内蒙古自治区,5,32214.0,
254,2008,辽宁省,6,31259.0,
255,2008,吉林省,7,23514.0,
256,2008,黑龙江省,8,21727.0,
257,2008,上海市,9,73124.0,
258,2008,江苏省,10,39622.0,
259,2008,浙江省,11,42214.0,
260,2008,安徽省,12,14485.0,
261,2008,福建省,13,30123.0,
262,2008,江西省,14,14781.0,
263,2008,山东省,15,33083.0,
264,2008,河南省,16,19593.0,
265,2008,湖北省,17,19860.0,
266,2008,湖南省,18,17521.0,
267,2008,广东省,19,37589.0,
268,2008,广西壮族自治区,20,14966.0,
269,2008,海南省,21,17175.0,
270,2008,重庆市,22,18025.0,
271,2008,四川省,23,15378.0,
272,2008,贵州省,24,8824.0,
273,2008,云南省,25,12587.0,
274,2008,西藏自治区,26,13861.0,
275,2008,陕西省,27,18246.0,
276,2008,甘肃省,28,12110.0,
277,2008,青海省,29,17389.0,
278,2008,宁夏回族自治区,30,17892.0,
279,2008,新疆维吾尔自治区,31,19893.0,
280,2009,北京市,1,70452.0,
281,2009,天津市,2,62574.0,
282,2009,河北省,3,24581.0,
283,2009,山西省,4,21522.0,
284,2009,内蒙古自治区,5,40282.0,
285,2009,辽宁省,6,35239.0,
286,2009,吉林省,7,26595.0,
287,2009,黑龙江省,8,22447.0,
288,2009,上海市,9,78989.0,
289,2009,江苏省,10,44744.0,
290,2009,浙江省,11,44641.0,
291,2009,安徽省,12,16407.66,
292,2009,福建省,13,33840.0,
293,2009,江西省,14,17335.0,
294,2009,山东省,15,35894.0,
295,2009,河南省,16,20597.0,
296,2009,湖北省,17,22677.0,
297,2009,湖南省,18,20428.0,
298,2009,广东省,19,41166.0,
299,2009,广西壮族自治区,20,16045.0,
300,2009,海南省,21,19254.0,
301,2009,重庆市,22,22920.0,
302,2009,四川省,23,17339.0,
303,2009,贵州省,24,10309.0,
304,2009,云南省,25,13539.0,
305,2009,西藏自治区,26,15295.0,
306,2009,陕西省,27,21688.0,
307,2009,甘肃省,28,12872.0,
308,2009,青海省,29,19454.0,
309,2009,宁夏回族自治区,30,21777.0,
310,2009,新疆维吾尔自治区,31,19942.0,
311,2010,北京市,1,75943.0,
312,2010,天津市,2,72994.0,
313,2010,河北省,3,28668.0,
314,2010,山西省,4,26283.0,
315,2010,内蒙古自治区,5,47347.0,
316,2010,辽宁省,6,42355.0,
317,2010,吉林省,7,31599.0,
318,2010,黑龙江省,8,27076.0,
319,2010,上海市,9,76074.49,
320,2010,江苏省,10,52840.0,
321,2010,浙江省,11,51711.0,
322,2010,安徽省,12,20888.0,
323,2010,福建省,13,40025.0,
324,2010,江西省,14,21253.0,
325,2010,山东省,15,41106.0,
326,2010,河南省,16,24446.0,
327,2010,湖北省,17,27906.0,
328,2010,湖南省,18,24719.0,
329,2010,广东省,19,44736.0,
330,2010,广西壮族自治区,20,20219.0,
331,2010,海南省,21,23831.0,
332,2010,重庆市,22,27596.0,
333,2010,四川省,23,21182.0,
334,2010,贵州省,24,13119.0,
335,2010,云南省,25,15752.0,
336,2010,西藏自治区,26,17319.0,
337,2010,陕西省,27,27133.0,
338,2010,甘肃省,28,16113.0,
339,2010,青海省,29,24115.0,
340,2010,宁夏回族自治区,30,26860.0,
341,2010,新疆维吾尔自治区,31,25034.0,
342,2011,北京市,1,81658.0,
343,2011,天津市,2,85213.0,
344,2011,河北省,3,33969.0,
345,2011,山西省,4,31357.0,
346,2011,内蒙古自治区,5,57974.0,
347,2011,辽宁省,6,50760.0,
348,2011,吉林省,7,38460.0,
349,2011,黑龙江省,8,32819.0,
350,2011,上海市,9,82560.0,
