row_id,年份,电力生产量(亿千瓦小时),水电生产电力量(亿千瓦小时),火电生产电力量(亿千瓦小时),核电生产电力量(亿千瓦小时),风电生产电力量(亿千瓦小时),电力的生产和供应业总投入(万元),能源消费弹性系数(-),电力消费弹性系数(-),能源消费总量(万吨标准煤),煤炭占能源消费总量的比重(%),石油占能源消费总量的比重(%),天然气占能源消费总量的比重(%),一次电力及其他能源占能源总量的比重(%),电力可供量(亿千瓦小时),电力生产量(亿千瓦小时).1,水电生产电力量(亿千瓦小时).1,火电生产电力量(亿千瓦小时).1,核电生产电力量(亿千瓦小时).1,风电生产电力量(亿千瓦小时).1,通电所需时间（天数）,就业人口的人均 GDP（2011 年不变价购买力平价美元）,人口密度（每公里土地面积人数）,二氧化碳排放量（千吨）,可再生能源发电量，不包括水电（千瓦时）,耕地（占土地面积的百分比）,劳动力，总数,甲烷排放量（千吨二氧化碳当量）,城镇人口（占总人口比例）,人口，总数,人均 GDP（2015年不变价美元）,高科技出口（现价美元）,人口超过100万的城市群中的人口。
1,2000,13556.0,2224.1,11141.9,167.4,,85232150.48,0.53,1.12,146964.0,68.5,22.0,2.2,7.3,13472.7,13556.0,2224.1,11141.9,167.4,,,6154.54833653882,134.492481002789,3346525.8,3174000000.0,12.6797199043056,731993935.0,807417.2368,35.877,1262645000.0,2193.89686642786,,216252544.0
2,2001,14808.0,2774.3,11834.3,174.7,,,0.7,1.12,155547.0,68.0,21.2,2.4,8.4,14724.1,14808.0,2774.3,11834.3,174.7,,,6638.20165303331,135.473048750848,3529081.3,3334000000.0,12.742981982665,739359562.0,800529.1555,37.093,1271850000.0,2359.57238508918,,226290339.0
3,2002,16540.0,2879.7,13381.4,251.3,,84781571.09,0.99,1.3,169577.0,68.5,21.0,2.3,8.2,16466.0,16540.0,2879.7,13381.4,251.3,,,7197.88335391218,136.383779609948,3796157.1,3467000000.0,12.7849342939932,747567965.0,793448.8666,38.425,1280400000.0,2557.8916119735,,234270258.0
4,2003,19105.8,2836.8,15803.6,433.4,,,1.62,1.56,197083.0,70.2,20.1,2.3,7.4,19032.2,19105.8,2836.8,15803.6,433.4,,,7867.58906479297,137.235919250104,4424412.6,3640000000.0,12.8055826110544,755273046.0,818239.3002,39.776,1288400000.0,2797.17665915912,,242580168.0
5,2004,22033.1,3535.4,17955.9,504.7,,,1.66,1.52,230281.0,70.2,19.9,2.3,7.6,21972.3,22033.1,3535.4,17955.9,504.7,,,8575.93449394856,138.053436689892,5113216.6,3936000000.0,12.8262305311048,762251057.0,864479.5989,41.144,1296075000.0,3061.83317270117,,251247617.0
6,2005,25002.6,3970.2,20473.4,530.9,,194181865.02,1.18,1.18,261369.0,72.4,17.8,2.4,7.4,24940.8,25002.6,3970.2,20473.4,530.9,,,9467.67556477963,138.867766063821,5824625.1,7434000000.0,12.8522049534502,769371812.0,901769.085,42.522,1303720000.0,3390.71615949399,,260252253.0
7,2006,28657.3,4357.9,23696.0,548.4,,,0.76,1.15,286467.0,72.4,17.5,2.7,7.4,28588.4,28657.3,4357.9,23696.0,548.4,,,10594.2881263849,139.645342881819,6437470.3,11096000000.0,12.8888306349812,774287037.0,940300.2025,43.868,1311020000.0,3800.76579592557,,269647598.0
8,2007,32815.5,4852.6,27229.3,621.3,,326648146.1,0.61,1.01,311442.0,72.5,17.0,3.0,7.5,32712.4,32815.5,4852.6,27229.3,621.3,,,12064.3935366397,140.376588050196,6993182.8,15647000000.0,12.8828499568842,776045127.0,969728.9275,45.199,1317885000.0,4319.03139754429,342573982177.0,279417210.0
9,2008,34668.8,5851.9,27900.8,683.9,,,0.3,0.58,320611.0,71.5,16.7,3.4,8.4,34540.8,34668.8,5851.9,27900.8,683.9,,,13256.2993902008,141.097705219827,7199604.7,29803000000.0,12.9088234363038,776378230.0,987719.575,46.539,1324655000.0,4711.64344920235,390966877665.0,289614409.0
10,2009,37146.5,6156.4,29827.8,701.3,,,0.51,0.77,336126.0,71.6,16.4,3.5,8.5,37032.7,37146.5,6156.4,29827.8,701.3,,,14536.6441425058,141.801244134798,7719071.4,48011000000.0,12.9294708011995,775599063.0,1017352.598,47.88,1331260000.0,5128.9041276874,359238436559.0,300215888.0
