row_id,province,id,year,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
1,安徽省,1.0,2013,65.65,7561.9,1124.6,129682.75,21.16,348.0,33.1,64,4.7,86000,2477246,0.33018323255036613,1308300.0000000002,0.0048372949863972016,0.0658326855810338,0.051059075009716286,3244687,43790809
2,安徽省,1.0,2014,69.31,7561.94,1175.7,155013.43,35.6,386.34,35.9,64,8.9,95287,2847303,0.3901451147997217,1698300.0000000002,0.006453224066039956,0.09362469304653259,0.06115090343121799,3685185,52808808
3,安徽省,1.0,2015,68.17,8407.84,2211.5,245359.6,48.9,507.41,39.1,65,12.3,96791,3221422,0.4378920128075793,1904700.0,0.00862660671724462,0.10256722280036255,0.08064218335627245,3804434,58822307
4,安徽省,1.0,2016,70.1,8407.84,2527.3,220360.09,74.54,585.21,41.2,67,12.7,99451,3709224,0.4683979032355245,2173700.0,0.00988420120344994,0.11003242396712748,0.07479559216503152,4432081,73210508
5,安徽省,1.0,2017,78.09,8563.2,2872.2,206187.63,72.15,550.85,39.1,67,11.5,103598,4361175,0.46099478418625744,2495700.0,0.011494860864935537,0.11118337253421934,0.06574965797507767,5117102,88430765
6,安徽省,1.0,2018,87.54,8224.3,3374.0,319693.7,90.47,589.7,37.1,62,11.8,106744,4973027,0.46248851508940564,3213100.0,0.01340895771649677,0.14302473618751635,0.061838998673954516,5711342,95323850
7,安徽省,1.0,2019,91.8,8224.3,3481.3,351206.52,151.36,587.7,36.4,60,14.4,124491,5765371,0.41381484149855907,4496100.0,0.01817772428111981,0.15116092874299442,0.06055827713017872,6192560,96985530
8,安徽省,1.0,2020,98.74,8224.3,3543.7,275910.12,154.83,618.03,36.6,57,13.3,139988,6394211,0.4061820417835236,6595700.000000001,0.020610896575279484,0.1650250252880207,0.0718416247389094,7494349,120543819
9,山西省,2.0,2013,85.55,5255.8,881.7,412507.79,8.18,344.65,38.9,43,1.8,34024,1237698,0.3554987212276215,527700.0,0.002315734283235451,0.026303056593699945,0.024684663641217294,991958,10272735
10,山西省,2.0,2014,91.35,5021.16,996.8,453314.01,13.19,367.97,39.2,47,3.7,35775,1247027,0.3762439127673089,484600.0,0.0018799441077496752,0.041910919659024194,0.032493571564404244,1004459,9246772
11,山西省,2.0,2015,88.46,5021.16,1345.9,217518.1,21.5,382.4,39.5,46,6.1,28927,1008950,0.36508826001681144,512000.0,0.0020406593220911764,0.05717109932073942,0.0321381501132101,681688,8333433
