row_id,opponent,seed,hands,quadrants,money,COW,SHEEP,GOOSE,WHEAT,MELON,STRAWBERRY,PASTURE,COOP,WEED
1,ref_A,11,0,1,30.0,3,2,0,7,12,0,0,0,0
2,ref_A,47,0,1,30.0,3,2,0,7,12,0,0,0,0
3,ref_A,101,0,1,30.0,3,2,0,7,12,0,0,0,0
4,ref_A,2029,0,1,30.0,3,2,0,7,12,0,0,0,0
5,ref_A,3137,0,1,30.0,3,2,0,7,12,0,0,0,0
6,ref_A,7717,0,1,30.0,3,2,0,7,12,0,0,0,0
7,ref_A,5,0,1,30.0,3,2,0,7,12,0,0,0,0
8,ref_A,19,0,1,30.0,3,2,0,7,12,0,0,0,0
9,ref_B,11,0,1,10.0,3,2,0,7,12,0,0,0,0
10,ref_B,47,0,1,10.0,3,2,0,7,12,0,0,0,0
11,ref_B,101,0,1,10.0,3,2,0,7,12,0,0,0,0
12,ref_B,2029,0,1,10.0,3,2,0,7,12,0,0,0,0
13,ref_B,3137,0,1,10.0,3,2,0,7,12,0,0,0,0
14,ref_B,7717,0,1,10.0,3,2,0,7,12,0,0,0,0
15,ref_B,5,0,1,10.0,3,2,0,7,12,0,0,0,0
16,ref_B,19,0,1,10.0,3,2,0,7,12,0,0,0,0
17,ref_C,11,0,1,35.0,1,4,0,6,5,3,0,0,0
18,ref_C,47,0,1,33.0,1,4,0,6,5,3,0,0,0
19,ref_C,101,0,1,33.0,1,4,0,6,5,3,0,0,0
20,ref_C,2029,0,1,35.0,1,4,0,6,5,3,0,0,0
21,ref_C,3137,0,1,35.0,1,4,0,6,5,3,0,0,1
22,ref_C,7717,0,1,33.0,1,4,0,6,5,3,0,0,0
23,ref_C,5,0,1,33.0,1,4,0,6,5,3,0,0,0
24,ref_C,19,0,1,33.0,1,4,0,6,5,3,0,0,0
25,ref_D,11,0,1,10.0,3,2,0,7,12,0,0,0,0
26,ref_D,47,0,1,10.0,3,2,0,7,12,0,0,0,0
27,ref_D,101,0,1,10.0,3,2,0,7,12,0,0,0,0
28,ref_D,2029,0,1,10.0,3,2,0,7,12,0,0,0,0
29,ref_D,3137,0,1,10.0,3,2,0,7,12,0,0,0,0
30,ref_D,7717,0,1,10.0,3,2,0,7,12,0,0,0,0
31,ref_D,5,0,1,10.0,3,2,0,7,12,0,0,0,0
32,ref_D,19,0,1,10.0,3,2,0,7,12,0,0,0,0
33,ref_E,11,0,1,35.0,1,4,0,6,5,3,0,0,0
34,ref_E,47,0,1,33.0,1,4,0,6,5,3,0,0,0
35,ref_E,101,0,1,33.0,1,4,0,6,5,3,0,0,0
36,ref_E,2029,0,1,35.0,1,4,0,6,5,3,0,0,0
37,ref_E,3137,0,1,35.0,1,4,0,6,5,3,0,0,1
38,ref_E,7717,0,1,33.0,1,4,0,6,5,3,0,0,0
39,ref_E,5,0,1,33.0,1,4,0,6,5,3,0,0,0
40,ref_E,19,0,1,33.0,1,4,0,6,5,3,0,0,0
41,ref_F,11,0,1,801.0,3,1,0,11,8,0,0,0,0
42,ref_F,47,0,1,801.0,3,1,0,11,8,0,0,0,0
43,ref_F,101,0,1,801.0,3,1,0,11,8,0,0,0,0
44,ref_F,2029,0,1,801.0,3,1,0,11,8,0,0,0,0
45,ref_F,3137,0,1,801.0,3,1,0,11,8,0,0,0,0
46,ref_F,7717,0,1,801.0,3,1,0,11,8,0,0,0,0
47,ref_F,5,0,1,801.0,3,1,0,11,8,0,0,0,0
48,ref_F,19,0,1,801.0,3,1,0,11,8,0,0,0,0
