row_id,field_001,field_002,field_003,field_004,field_005,field_006,field_007,field_008,field_009,field_010,field_011,field_012,field_013,field_014,field_015,field_016,field_017,field_018
1,0.247748,0.272804,0.323496,0.341683,0.348186,0.375472,0.4026,0.424883,0.444676,0.451133,0.472798,0.481223,0.498959,0.505758,0.519195,0.531084,0.532261,0.533602
2,0.207764,0.243802,0.258266,0.274046,0.275602,0.311746,0.348803,0.370628,0.39838,0.434704,0.442363,0.457073,0.484633,0.489773,0.496526,0.501224,0.506443,0.514397
3,0.379536,0.385044,0.398484,0.412029,0.419323,0.448772,0.473423,0.506722,0.525806,0.528557,0.528268,0.536834,0.537024,0.539244,0.555138,0.548347,0.555041,0.562382
4,0.344211,0.348018,0.378931,0.408939,0.412697,0.407541,0.434026,0.461013,0.480593,0.478129,0.51035,0.544898,0.538119,0.529011,0.526465,0.538799,0.555274,0.562876
5,0.380146,0.363917,0.378346,0.364591,0.373904,0.391152,0.443683,0.439271,0.475795,0.465196,0.474588,0.488336,0.522431,0.532763,0.548271,0.561964,0.592211,0.595509
6,0.372413,0.374167,0.387359,0.395029,0.414403,0.435487,0.45056,0.461902,0.488546,0.48222,0.504228,0.514207,0.545181,0.516455,0.532567,0.553634,0.562036,0.571548
7,0.332237,0.29181,0.321027,0.335661,0.359166,0.39246,0.408049,0.415194,0.43096,0.439908,0.462113,0.491918,0.519097,0.522168,0.52662,0.530748,0.553599,0.556586
8,0.261496,0.254929,0.289273,0.289991,0.317919,0.318495,0.323733,0.397168,0.499595,0.369127,0.417682,0.391744,0.410796,0.450169,0.45503,0.465791,0.502713,0.507827
9,0.362631,0.354718,0.368908,0.407548,0.411859,0.422863,0.446691,0.462427,0.478019,0.489036,0.493587,0.521332,0.545591,0.538861,0.546508,0.551347,0.567854,0.576105
10,0.281703,0.325324,0.329405,0.341853,0.347744,0.347748,0.366942,0.397287,0.404807,0.435511,0.443124,0.446277,0.463685,0.451505,0.467638,0.464937,0.492741,0.498039
11,0.373144,0.400176,0.380043,0.41106,0.442678,0.477662,0.482145,0.484962,0.511394,0.519104,0.539043,0.559405,0.577607,0.531393,0.587532,0.602723,0.614021,0.620696
