row_id,id,field_002,year,energy_consumption,population,field_006,energy_consumption_2,energy_consumption_3
1,1,北京,2000,4144.0,1382.0,2478.76,2.99855282199711,1.67180364375736
2,2,天津,2000,2794.0,1001.0,1639.36,2.79120879120879,1.70432363849307
3,3,河北,2000,11196.0,6744.0,5088.96,1.66014234875445,2.20005659309564
4,4,山西,2000,6728.0,3297.0,1643.81,2.04064300879587,4.09293044816615
5,5,内蒙古,2000,3549.0,2376.0,1401.01,1.49368686868687,2.53317249698432
6,6,辽宁,2000,10656.0,4238.0,4669.06,2.51439358187824,2.28225809906062
7,7,吉林,2000,3766.0,2728.0,1821.19,1.38049853372434,2.06787869469962
8,8,黑龙江,2000,6166.0,3689.0,3253.0,1.67145567904581,1.89548109437442
9,9,上海,2000,5499.0,1674.0,4551.15,3.28494623655914,1.20826604264856
10,10,江苏,2000,8612.0,7438.0,8582.72762741037,1.15783812852917,1.00341061418472
11,11,浙江,2000,6560.0,4677.0,6036.34,1.40260850972846,1.08675124330306
12,12,安徽,2000,4879.0,6093.0,3038.23587574877,0.800754964713606,1.60586610109644
13,13,福建,2000,3463.0,3471.0,3920.07,0.997695188706425,0.883402592300648
14,14,江西,2000,2505.0,4140.0,2003.07,0.605072463768116,1.25058035914871
15,15,山东,2000,11362.0,9079.0,8542.44,1.2514594118295,1.3300649463151
16,16,河南,2000,7919.0,9256.0,5137.66,0.855553154710458,1.54136318868901
17,17,湖北,2000,6269.0,6028.0,4276.32,1.0399800928998,1.46598009503498
18,18,湖南,2000,4071.0,6440.0,3691.88,0.632142857142857,1.10269022828478
19,19,广东,2000,9448.0,8642.0,9662.23,1.09326544781301,0.977828099724391
20,20,广西,2000,2669.0,4489.0,2050.14,0.594564490977946,1.30186231184212
21,21,海南,2000,480.0,787.0,518.48,0.609911054637865,0.925783058170035
22,22,重庆,2000,2428.0,3090.0,1589.34,0.785760517799353,1.52767815571243
23,23,四川,2000,6518.0,8329.0,4010.25,0.782566934806099,1.62533507886042
24,24,贵州,2000,4279.0,3525.0,993.53,1.21390070921986,4.30686541926263
25,25,云南,2000,3468.0,4288.0,1955.09,0.808768656716418,1.77383138372147
26,26,陕西,2000,2731.0,3605.0,1660.92,0.757558945908461,1.64426944103268
27,27,甘肃,2000,3012.0,2562.0,983.36,1.17564402810304,3.0629677839245
28,28,青海,2000,897.0,518.0,263.59,1.73166023166023,3.40301225387913
29,29,宁夏,2000,1179.0,562.0,265.57,2.09786476868327,4.43950747448884
30,30,新疆,2000,3328.0,1925.0,1364.36,1.72883116883117,2.43923891055147
31,1,北京,2001,4313.0,1383.0,2845.65,3.11858279103398,1.51564668880572
32,2,天津,2001,2918.0,1004.0,1840.1,2.90637450199203,1.58578338133797
33,3,河北,2001,10391.0,6699.0,5577.78,1.55112703388565,1.86292754465038
34,4,山西,2001,7968.0,3272.0,1779.97,2.43520782396088,4.47647994067316
35,5,内蒙古,2001,4073.0,2377.0,1545.79,1.71350441733277,2.63489866023198
36,6,辽宁,2001,10656.0,4194.0,5033.08,2.54077253218884,2.11719265340507
37,7,吉林,2001,3863.0,2691.0,2032.48,1.43552582683017,1.90063370857278
38,8,黑龙江,2001,6037.0,3811.0,3561.0,1.58409866176856,1.69531030609379
39,9,上海,2001,5818.0,1614.0,4950.84,3.60470879801735,1.17515411526125
40,10,江苏,2001,8881.0,7355.0,9511.91,1.20747790618627,0.933671575950571
41,11,浙江,2001,6530.0,4613.0,6748.15,1.41556470843269,0.96767262138512
42,12,安徽,2001,5118.0,6128.0,3290.13,0.835182767624021,1.55556163434272
43,13,福建,2001,3163.0,3440.0,4253.68,0.919476744186047,0.743591431419383
44,14,江西,2001,2329.0,4186.0,2175.68,0.556378404204491,1.07046992204736
45,15,山东,2001,9955.0,9041.0,9438.31,1.10109501161376,1.05474391072131
46,16,河南,2001,8244.0,9555.0,5640.11,0.862794348508634,1.46167361984075
47,17,湖北,2001,6052.0,5975.0,4662.28,1.0128870292887,1.29807733555256
48,18,湖南,2001,4622.0,6596.0,3983.0,0.700727713765919,1.16043183530003
49,19,广东,2001,10179.0,7783.0,10647.7106391774,1.3078504432738,0.955980148685407
50,20,广西,2001,2669.0,4788.0,2231.19,0.557435254803676,1.19622264352207
51,21,海南,2001,520.0,796.0,545.96,0.653266331658292,0.952450728991135
52,22,重庆,2001,3016.0,3097.0,1749.77,0.973845657087504,1.72365510895718
53,23,四川,2001,6810.0,8640.0,4421.76,0.788194444444444,1.54011072514112
54,24,贵州,2001,4438.0,3799.0,1084.9,1.16820215846275,4.09069960365011
55,25,云南,2001,3490.0,4287.0,2074.71,0.814089106601353,1.6821628082961
56,26,陕西,2001,3257.0,3659.0,1844.27,0.890133916370593,1.76601039977877
57,27,甘肃,2001,2905.0,2575.0,1072.51,1.12815533980583,2.70859945361815
58,28,青海,2001,930.0,523.0,300.95,1.77820267686424,3.09021432131583
59,29,宁夏,2001,1278.5,563.0,298.38,2.2708703374778,4.28480461156914
60,30,新疆,2001,3496.0,1876.0,1485.48,1.863539445629,2.35344804372997
61,1,北京,2002,4436.0,1423.0,3212.71,3.11735769501054,1.38076577095349
62,2,天津,2002,3022.0,1007.0,2051.16,3.00099304865938,1.4733126621034
63,3,河北,2002,11588.0,6735.0,6122.53,1.72056421677803,1.89268162017989
64,4,山西,2002,9340.0,3294.0,2017.54,2.8354584092289,4.62940016059161
65,5,内蒙古,2002,4560.0,2379.0,1734.3089453,1.91677175283733,2.62928932723184
66,6,辽宁,2002,10602.0,4203.0,5458.22,2.52248394004283,1.94239147560926
67,7,吉林,2002,4531.0,2699.0,2246.12,1.67876991478325,2.01725642441187
68,8,黑龙江,2002,6004.0,3813.0,3882.16,1.57461316548649,1.54656170791518
69,9,上海,2002,6249.0,1625.0,5408.76,3.84553846153846,1.15534799103676
70,10,江苏,2002,9609.0,7381.0,10631.75,1.30185611705731,0.903802290309686
71,11,浙江,2002,8280.0,4647.0,7796.0,1.7817947062621,1.06208311954849
72,12,安徽,2002,5316.0,6144.0,3569.1,0.865234375,1.48945112213163
73,13,福建,2002,3762.0,3466.0,4682.01,1.08540103866128,0.80350106044199
74,14,江西,2002,2933.0,4222.0,2450.48,0.694694457603032,1.19690836081094
75,15,山东,2002,14599.0,9082.0,10552.0563300295,1.60746531600969,1.38352180308719
76,16,河南,2002,9055.0,9613.0,6168.73,0.941953604493915,1.46788723124533
77,17,湖北,2002,6713.0,5988.0,4975.63,1.12107548430194,1.34917588325498
78,18,湖南,2002,5045.0,6629.0,4340.94,0.761049932116458,1.16219067759518
79,19,广东,2002,11355.0,7859.0,11769.7310763847,1.44484031047207,0.964762909730636
80,20,广西,2002,3120.0,4822.0,2455.36,0.647034425549564,1.27068943047048
81,21,海南,2002,602.0,803.0,604.13,0.749688667496887,0.996474268783209
82,22,重庆,2002,2662.0,3107.0,1971.3,0.856775024139041,1.35037792319789
83,23,四川,2002,7510.0,8673.0,4875.12,0.865905684307621,1.54047490113064
84,24,贵州,2002,4470.0,3837.0,1185.04,1.16497263487099,3.77202457301019
85,25,云南,2002,4131.0,4333.0,2232.32,0.953381029309947,1.85054114105505
86,26,陕西,2002,3713.0,3674.0,2035.96,1.01061513336962,1.82370969960117
87,27,甘肃,2002,3174.0,2593.0,1161.43,1.22406478981874,2.73283796698897
88,28,青海,2002,989.0,529.0,341.11,1.8695652173913,2.89935797836475
89,29,宁夏,2002,1378.0,572.0,329.28,2.40909090909091,4.18488824101069
90,30,新疆,2002,3723.0,1905.0,1598.28,1.95433070866142,2.3293790825137
91,1,北京,2003,4648.0,1456.4,5023.77,3.1914309255699,0.925201591633375
92,2,天津,2003,3215.0,1011.3,2578.03,3.17907643627015,1.24707625590082
93,3,河北,2003,13483.0,6769.44,6921.29,1.99174525514666,1.94804725708647
94,4,山西,2003,10386.0,3314.29,2855.23,3.13370284434977,3.63753532990337
95,5,内蒙古,2003,5778.0,2379.61,2388.38,2.42812897911843,2.41921302305328
96,6,辽宁,2003,11253.0,4210.0,6002.54,2.6729216152019,1.87470637430155
97,7,吉林,2003,5174.0,2703.7,2662.08,1.91367385434775,1.94359297992547
98,8,黑龙江,2003,6714.0,3815.0,4057.4,1.75989515072084,1.65475427613743
99,9,上海,2003,6796.0,1711.0,6694.23,3.97194623027469,1.01520264466563
100,10,江苏,2003,11060.0,7405.82,12442.87,1.49342003991455,0.888862456973351
101,11,浙江,2003,9523.0,4679.55,9705.02,2.03502473528438,0.981244757867578
102,12,安徽,2003,5457.0,6163.0,3923.1,0.885445399967548,1.39099181769519
103,13,福建,2003,4121.0,3488.0,4983.67,1.18147935779817,0.82690065754755
104,14,江西,2003,3426.0,4254.23,2807.41,0.805316120661083,1.22034188095077
105,15,山东,2003,16837.0,9125.0,12078.15,1.84515068493151,1.39400487657464
106,16,河南,2003,10595.0,9667.0,6867.7,1.09599668976932,1.54272900679995
107,17,湖北,2003,7708.0,6001.7,4757.45,1.28430278087875,1.62019569307087
108,18,湖南,2003,5562.0,6662.8,4659.99,0.834784174821396,1.1935647930575
109,19,广东,2003,13099.0,7954.22,15844.64,1.6467988061683,0.826714901695463
110,20,广西,2003,3523.0,4857.0,2821.11,0.725344863084208,1.24879923150817
111,21,海南,2003,684.0,810.52,693.2,0.843902679761141,0.986728216964801
112,22,重庆,2003,3009.0,3130.0,2272.82,0.961341853035144,1.32390598463583
113,23,四川,2003,9204.0,8700.4,5333.09,1.05788239621167,1.72582874093631
114,24,贵州,2003,5534.0,3869.66,1426.34,1.43009980204979,3.87986034185398
115,25,云南,2003,4450.0,4375.6,2556.02,1.01700338239327,1.74098794219138
116,26,陕西,2003,4170.0,3689.5,2587.72,1.13023444911235,1.6114571901133
117,27,甘肃,2003,3525.0,2603.34,1399.83,1.35402982322709,2.51816291978312
118,28,青海,2003,1066.0,533.8,390.2,1.99700262270513,2.73193234238852
119,29,宁夏,2003,2015.0,580.3,445.36,3.47234189212476,4.52442967486977
120,30,新疆,2003,4177.0,1933.95,1886.35,2.15982833061868,2.21432926021152
121,1,北京,2004,5140.0,1493.0,6060.28,3.44273275284662,0.848145630234907
122,2,天津,2004,3697.0,1024.0,3110.97,3.6103515625,1.18837532988103
123,3,河北,2004,15782.0,6809.0,8477.63,2.31781465707152,1.86160518918613
124,4,山西,2004,11251.0,3335.0,3571.37,3.3736131934033,3.15033166543931
125,5,内蒙古,2004,7623.0,2384.0,3041.07,3.19756711409396,2.50668350284604
126,6,辽宁,2004,13074.0,4217.0,6672.0,3.10030827602561,1.95953237410072
127,7,吉林,2004,5603.0,2709.0,3122.01,2.06829088224437,1.79467714709434
128,8,黑龙江,2004,7466.0,3817.0,4750.6,1.95598637673566,1.57159095693176
129,9,上海,2004,7406.0,1742.0,8072.83,4.25143513203215,0.917398235810738
130,10,江苏,2004,13652.0,7433.0,15003.6,1.83667429032692,0.909914953744435
131,11,浙江,2004,10825.0,4720.0,11648.7,2.29343220338983,0.929288246757149
132,12,安徽,2004,6017.0,6228.0,4759.32,0.966120745022479,1.26425623828614
133,13,福建,2004,4625.0,3511.0,5763.35,1.31728852178866,0.802484666036246
134,14,江西,2004,3814.0,4284.0,3456.7,0.890289449112978,1.10336448057396
135,15,山东,2004,19624.0,9180.0,15021.84,2.13769063180828,1.30636459980934
136,16,河南,2004,13074.0,9717.0,8553.79,1.34547699907379,1.528445285657
137,17,湖北,2004,9120.0,6016.0,5633.24,1.51595744680851,1.61896173427725
138,18,湖南,2004,7134.0,6698.0,5641.94,1.06509405792774,1.26445867910683
139,19,广东,2004,15210.0,8304.0,18864.62,1.83164739884393,0.806271210339779
140,20,广西,2004,4203.0,4889.0,3433.5,0.859685007158928,1.22411533420708
141,21,海南,2004,742.0,818.0,798.9,0.907090464547677,0.928777068469145
142,22,重庆,2004,3590.0,3122.0,2692.81,1.14990390775144,1.33317983816162
143,23,四川,2004,10700.0,8725.0,6379.63,1.22636103151862,1.67721325531418
144,24,贵州,2004,6282.0,3904.0,1677.8,1.60911885245902,3.74418881869114
145,25,云南,2004,5210.0,4415.0,3081.91,1.18006795016988,1.69051010574611
146,26,陕西,2004,4776.0,3705.0,3175.58,1.28906882591093,1.5039772262075
147,27,甘肃,2004,3908.0,2619.0,1688.49,1.49217258495609,2.31449401536284
148,28,青海,2004,1364.0,539.0,466.1,2.53061224489796,2.92641064149324
149,29,宁夏,2004,2322.0,588.0,537.16,3.94897959183673,4.32273438081763
150,30,新疆,2004,4910.0,1963.0,2209.09,2.50127356087621,2.22263465952044
151,1,北京,2005,5522.0,1538.0,6886.31,3.59037711313394,0.801880833131241
152,2,天津,2005,4085.0,1043.0,3697.62,3.91658676893576,1.104764686474
153,3,河北,2005,19836.0,6851.0,10096.11,2.89534374543862,1.96471710391428
154,4,山西,2005,12750.0,3355.0,4179.52,3.80029806259314,3.05058954138274
155,5,内蒙古,2005,9666.0,2403.0,3895.55,4.02247191011236,2.4812927571203
156,6,辽宁,2005,13611.0,4221.0,7860.85,3.22459132906894,1.73149214143509
157,7,吉林,2005,5315.0,2716.0,3620.27,1.95692194403535,1.46812254334621
158,8,黑龙江,2005,8050.0,3820.0,5511.5,2.10732984293194,1.46058241857933
159,9,上海,2005,8225.0,1890.26,9164.1,4.35125326674637,0.897524034002248
160,10,江苏,2005,17167.0,7588.0,18305.66,2.26238798102267,0.937797380700832
161,11,浙江,2005,12032.0,4990.9,13437.85,2.41078763349296,0.895381329602578
162,12,安徽,2005,6506.0,6120.0,5375.12,1.06307189542484,1.21039158195538
163,13,福建,2005,6142.0,3557.39583333333,6568.93,1.72654387865656,0.935007680094018
164,14,江西,2005,4286.0,4311.0,4056.76,0.994200881466017,1.05650814936057
165,15,山东,2005,24162.0,9248.0,18516.87,2.61267301038062,1.30486415900744
166,16,河南,2005,14625.0,9380.0,10587.42,1.5591684434968,1.38135636444006
167,17,湖北,2005,10082.0,5710.0,6520.14,1.76567425569177,1.54628581594874
168,18,湖南,2005,9709.0,6326.0,6511.34,1.53477711033829,1.4910909275203
169,19,广东,2005,17921.0,9194.0,22366.54,1.9492060039156,0.8012414973438
170,20,广西,2005,4869.0,4660.0,4075.75,1.04484978540773,1.19462675581181
171,21,海南,2005,822.0,828.0,894.57,0.992753623188406,0.918877225929776
172,22,重庆,2005,4943.0,2798.0,3066.92,1.76661901358113,1.61171468443911
173,23,四川,2005,11816.0,8212.0,7385.11,1.43886994641987,1.5999761682629
174,24,贵州,2005,5641.0,3730.0,1979.06,1.51233243967828,2.85034309217507
175,25,云南,2005,6024.0,4450.0,3472.89,1.35370786516854,1.73457840588098
176,26,陕西,2005,5571.0,3690.18747315823,3772.69,1.50967939719119,1.47666519115008
177,27,甘肃,2005,4368.0,2545.1,1933.98,1.71623904758163,2.25855489715509
178,28,青海,2005,1670.0,543.0,543.32,3.07550644567219,3.07369506000147
179,29,宁夏,2005,2536.0,596.0,606.26,4.25503355704698,4.18302378517468
180,30,新疆,2005,5506.0,2010.0,2604.19,2.73930348258706,2.1142850560059
181,1,北京,2006,5904.0,1581.0,7861.04,3.73434535104364,0.75104566316925
182,2,天津,2006,4500.0,1075.0,4344.27,4.18604651162791,1.03584721944078
183,3,河北,2006,21794.0,6898.0,11515.76,3.15946651203247,1.89253683647454
184,4,山西,2006,14098.0,3375.0,4714.99,4.17718518518519,2.99003815490595
185,5,内蒙古,2006,11221.0,2415.05148958154,4841.82,4.64627774952503,2.31751696676043
186,6,辽宁,2006,14987.0,4271.0,9214.21,3.50901428236947,1.62650948914774
187,7,吉林,2006,5908.0,2723.0,4275.12,2.16966580976864,1.3819495125283
188,8,黑龙江,2006,8731.0,3823.0,6201.45,2.28380852733455,1.40789654032525
189,9,上海,2006,8876.0,1964.11,10366.37,4.51909516269455,0.856230290834689
190,10,江苏,2006,19041.0,7656.0,21645.08,2.48706896551724,0.879691828350831
191,11,浙江,2006,13219.0,5071.8,15742.51,2.60637249102883,0.839700911735168
192,12,安徽,2006,7069.0,6110.0,6131.1,1.1569558101473,1.15297418081584
193,13,福建,2006,6828.0,3584.51666666667,7584.36,1.90485932552506,0.900273721184121
194,14,江西,2006,4660.0,4339.1287,4670.53,1.07394832515569,0.997745437883923
195,15,山东,2006,26759.0,9309.0,22077.36,2.87453002470727,1.21205615164132
196,16,河南,2006,16232.0,9392.0,12362.79,1.7282793867121,1.31297223361393
197,17,湖北,2006,11049.0,5693.0,7581.32,1.9408044967504,1.45739792015111
198,18,湖南,2006,10581.0,6342.0,7508.87,1.66840113528855,1.40913346482227
199,19,广东,2006,19971.0,9442.0,26159.52,2.11512391442491,0.763431439108974
200,20,广西,2006,5390.0,4719.0,4828.51,1.14219114219114,1.11628639062568
201,21,海南,2006,920.0,836.0,1031.85,1.10047846889952,0.891602461598101
202,22,重庆,2006,5368.0,2808.0,3452.14,1.91168091168091,1.55497749222222
203,23,四川,2006,12986.0,8169.0,8637.81,1.58966825804872,1.5033903269463
204,24,贵州,2006,6172.0,3690.0,2270.89,1.67262872628726,2.71787713187341
205,25,云南,2006,6621.0,4483.0,3981.31,1.47691278161945,1.6630204631139
206,26,陕西,2006,6129.0,3699.25263807238,4520.07,1.65682114730983,1.3559524520638
207,27,甘肃,2006,4743.0,2546.79,2276.7,1.86234436290389,2.08327842930557
208,28,青海,2006,1903.0,548.0,639.5,3.47262773722628,2.97576231430805
209,29,宁夏,2006,2830.0,604.0,710.76,4.68543046357616,3.98165344138668
210,30,新疆,2006,6047.0,2050.0,3045.26,2.94975609756098,1.98570893782468
211,1,北京,2007,6285.0,1633.0,9353.32,3.84874464176363,0.671953915828818
212,2,天津,2007,4943.0,1115.0,5050.4,4.43318385650224,0.97873435767464
213,3,河北,2007,23585.0,6943.0,13709.5,3.3969465648855,1.72033991028119
214,4,山西,2007,15601.0,3393.0,5733.35,4.59799587385794,2.72109674099785
215,5,内蒙古,2007,12777.0,2428.82796624763,6091.12,5.26056195727175,2.09764378308094
216,6,辽宁,2007,16544.0,4298.0,11023.49,3.84923220102373,1.50079512023869
217,7,吉林,2007,6557.0,2730.0,5284.69,2.4018315018315,1.24075395150898
218,8,黑龙江,2007,9377.0,3824.0,7065.0,2.45214435146443,1.32724699221515
219,9,上海,2007,9670.0,2063.58,12188.85,4.68603107221431,0.793348018886113
220,10,江苏,2007,20948.0,7723.0,25741.15,2.71241745435711,0.813794255501405
221,11,浙江,2007,14524.0,5154.9,18780.44,2.81751343382025,0.773357812703004
222,12,安徽,2007,7739.0,6118.0,7364.18,1.2649558679307,1.05089772384705
223,13,福建,2007,7587.0,3611.6375,9249.13,2.10070916585621,0.820293368133003
224,14,江西,2007,5053.0,4368.0,5500.25,1.15682234432234,0.918685514294805
225,15,山东,2007,29177.0,9367.0,25965.91,3.11487135689121,1.12366560617363
226,16,河南,2007,17838.0,9360.0,15012.46,1.90576923076923,1.18821299107541
227,17,湖北,2007,12143.0,5699.0,9230.68,2.13072468854185,1.31550438320904
228,18,湖南,2007,11629.0,6355.0,9200.0,1.82989771833202,1.26402173913043
229,19,广东,2007,22217.0,9660.0,31084.4,2.29989648033126,0.714731505192315
230,20,广西,2007,5997.0,4768.0,5955.65,1.25776006711409,1.00694298691159
231,21,海南,2007,1057.0,845.0,1223.28,1.2508875739645,0.864070368190439
232,22,重庆,2007,5947.0,2816.0,4122.51,2.11186079545455,1.44256775605153
233,23,四川,2007,14214.0,8127.0,10505.3,1.74898486526394,1.35303132704444
234,24,贵州,2007,6800.0,3632.0,2741.9,1.87224669603524,2.48003209453299
235,25,云南,2007,7133.0,4514.0,4741.31,1.58019494904741,1.50443653758139
236,26,陕西,2007,6775.0,3708.37461761745,5465.79,1.82694595303664,1.23952804626596
237,27,甘肃,2007,5109.0,2548.19,2702.4,2.00495253493656,1.89054174067496
238,28,青海,2007,2095.0,552.0,783.61,3.79528985507246,2.67352381924682
239,29,宁夏,2007,3077.0,610.0,889.2,5.04426229508197,3.4604138551507
240,30,新疆,2007,6576.0,2095.0,3523.16,3.13890214797136,1.86650620465718
241,1,北京,2008,6327.0,1695.0,11115.0,3.73274336283186,0.569230769230769
242,2,天津,2008,5364.0,1176.0,6719.01,4.56122448979592,0.798331897109842
243,3,河北,2008,24322.0,6989.0,16011.97,3.48004006295607,1.51898860664865
244,4,山西,2008,15675.0,3411.0,7315.4,4.59542656112577,2.14273997320721
245,5,内蒙古,2008,14100.0,2444.32650249699,8496.2,5.76846014049114,1.65956545279066
246,6,辽宁,2008,17801.0,4315.0,13668.58,4.12537659327926,1.3023298689403
247,7,吉林,2008,7221.0,2734.0,6426.1,2.64118507681053,1.12369866637618
248,8,黑龙江,2008,9979.0,3825.0,8314.37,2.60888888888889,1.2002112006081
249,9,上海,2008,10207.0,2140.65,14069.86,4.76817788989326,0.725451425955909
250,10,江苏,2008,22232.0,7762.0,30981.98,2.86421025508889,0.717578411709
251,11,浙江,2008,15107.0,5212.4,21462.69,2.89828102217788,0.703872627336089
252,12,安徽,2008,8325.0,6135.0,8851.66,1.35696821515892,0.940501555640411
253,13,福建,2008,8254.0,3638.75833333333,10823.01,2.26835619293211,0.762634424249816
254,14,江西,2008,5383.0,4400.0,6971.05,1.22340909090909,0.772193571987003
255,15,山东,2008,30570.0,9417.0,30933.28,3.24625676967187,0.988256014234507
256,16,河南,2008,18976.0,9429.0,18018.53,2.01251458267048,1.0531380750816
257,17,湖北,2008,12845.0,5711.0,11328.89,2.24916827175626,1.13382687977375
258,18,湖南,2008,12355.0,6380.0,11555.0,1.93652037617555,1.06923409779316
259,19,广东,2008,23476.0,9893.0,36796.71,2.37299100374002,0.637991820464384
260,20,广西,2008,6497.0,4816.0,7021.0,1.34904485049834,0.92536675687224
261,21,海南,2008,1135.0,854.0,1503.06,1.32903981264637,0.755126209199899
262,22,重庆,2008,6472.0,2839.0,5793.66,2.27967594223318,1.11708315641581
263,23,四川,2008,15145.0,8138.0,12601.23,1.86102236421725,1.20186680189156
264,24,贵州,2008,7084.0,3596.0,3561.56,1.96996662958843,1.989016049147
265,25,云南,2008,7511.0,4543.0,5692.12,1.65331278890601,1.31954350927247
266,26,陕西,2008,7417.0,3717.59720167046,7314.58,1.9951058701753,1.0140021710064
267,27,甘肃,2008,5346.0,2550.88,3166.82,2.09574734993414,1.68812878534303
268,28,青海,2008,2279.0,554.0,1018.62,4.11371841155235,2.23734071587049
269,29,宁夏,2008,3229.0,618.0,1203.92,5.22491909385113,2.68207189846501
270,30,新疆,2008,7069.0,2131.0,4183.21,3.31722196152041,1.68985061710983
271,1,北京,2009,6570.0,1755.0,12153.03,3.74358974358974,0.540605922967359
272,2,天津,2009,5874.0,1228.16,7521.85,4.78276446065659,0.780924905442145
273,3,河北,2009,25419.0,7034.4,17235.48,3.61352780620948,1.47480661983304
274,4,山西,2009,15576.0,3427.36,7358.31,4.54460576070211,2.11679040431838
275,5,内蒙古,2009,15344.0,2458.22352333391,9740.25,6.24190593505917,1.57531890865224
276,6,辽宁,2009,19112.0,4341.0,15212.49,4.40267219534669,1.256336076474
277,7,吉林,2009,7698.0,2739.55,7278.75,2.80995053932215,1.05759917568264
278,8,黑龙江,2009,10467.0,3826.0,8587.0,2.73575535807632,1.21893560032607
279,9,上海,2009,10367.0,2210.28,15046.45,4.6903559729989,0.688999730833519
280,10,江苏,2009,23709.0,7810.0,34457.3,3.03572343149808,0.688069001343692
281,11,浙江,2009,15567.0,5275.5,22990.35,2.95081034972988,0.677110178835903
282,12,安徽,2009,8896.0,6131.0,10062.82,1.45098678845213,0.884046420387128
283,13,福建,2009,8916.0,3665.87916666667,12236.53,2.43215872499889,0.728637939023563
284,14,江西,2009,5813.0,4432.1581,7655.18,1.3115506867862,0.759355103341789
285,15,山东,2009,32420.0,9470.3,33896.65,3.42333400209075,0.956436698021781
286,16,河南,2009,19751.0,9487.0,19480.46,2.08190154948877,1.01388776240397
287,17,湖北,2009,13708.0,5720.0,12961.1,2.3965034965035,1.05762628171992
288,18,湖南,2009,13331.0,6406.0,13059.69,2.08101779581642,1.02077461256737
289,19,广东,2009,24654.0,10130.0,39482.56,2.43376110562685,0.624427595373755
290,20,广西,2009,7075.0,4856.0,7759.16,1.45696046128501,0.911825506884766
291,21,海南,2009,1233.0,864.07,1654.21,1.42696772252248,0.745370902122463
292,22,重庆,2009,7030.0,2859.0,6530.01,2.45890171388597,1.07656802975799
293,23,四川,2009,16322.0,8185.0,14151.28,1.99413561392792,1.15339389793715
294,24,贵州,2009,7566.0,3537.0,3912.68,2.13910093299406,1.93371295378104
295,25,云南,2009,8032.0,4571.0,6169.75,1.75716473419383,1.30183556870214
296,26,陕西,2009,8044.0,3726.66784581231,8169.8,2.15849663367212,0.984601826238096
297,27,甘肃,2009,5482.0,2554.91,3387.56,2.14567245030158,1.61827391987153
298,28,青海,2009,2348.0,557.3,1081.27,4.21317064417728,2.17152052678794
299,29,宁夏,2009,3388.0,625.2,1353.31,5.41906589891235,2.50349143950758
300,30,新疆,2009,7526.0,2158.63,4277.05,3.48647058551025,1.75962403993407
301,1,北京,2010,6954.0,1961.9,14113.58,3.54452316631836,0.492716943539485
302,2,天津,2010,6818.0,1299.29,9224.46,5.24748131671913,0.739121856455554
303,3,河北,2010,27531.0,7193.6,20394.26,3.82715191281139,1.34993865921097
304,4,山西,2010,16808.0,3574.1145,9200.86,4.70270328496751,1.82678575698359
305,5,内蒙古,2010,16820.0,2472.1786,11672.0,6.80371555679675,1.44105551747772
306,6,辽宁,2010,20947.0,4374.9,18457.27,4.78799515417495,1.13489156305347
307,7,吉林,2010,8297.0,2746.6021,8667.58,3.02082343853156,0.957245274921028
308,8,黑龙江,2010,11234.0,3833.4024,10368.6,2.93055589467988,1.0834635341319
309,9,上海,2010,11201.0,2302.6608,17165.98,4.86437255543674,0.652511537354698
310,10,江苏,2010,25774.0,7869.34,41425.48,3.27524290474169,0.622177461794046
