row_id,code,year,province,province_2,province_3,field_006,population,population_density
1,1,2000,北京,110000,北京市,1.64,1363.6,831.463414634146
2,2,2000,天津,120000,天津市,1.2,1001.14,834.283333333333
3,3,2000,河北,130000,河北省,18.88,6674.27,353.510063559322
4,4,2000,山西,140000,山西省,15.67,3247.0,207.21123165284
5,5,2000,内蒙古,150000,内蒙古自治区,118.3,2372.0,20.050718512257
6,6,2000,辽宁,210000,辽宁省,14.87,4184.0,281.371889710827
7,7,2000,吉林,220000,吉林省,18.74,2681.7,143.100320170758
8,8,2000,黑龙江,230000,黑龙江省,47.07,3807.0,80.8795411089866
9,9,2000,上海,310000,上海市,0.63,1608.63,2553.38095238095
10,10,2000,江苏,320000,江苏省,10.72,7327.24,683.511194029851
11,11,2000,浙江,330000,浙江省,10.56,4679.91,443.173295454545
12,12,2000,安徽,340000,安徽省,14.01,6093.0,434.903640256959
13,13,2000,福建,350000,福建省,12.4,3409.79,274.983064516129
14,14,2000,江西,360000,江西省,16.69,4149.0,248.591971240264
15,15,2000,山东,370000,山东省,15.81,8998.0,569.133459835547
16,16,2000,河南,410000,河南省,16.7,9488.0,568.14371257485
17,17,2000,湖北,420000,湖北省,18.59,5646.0,303.711672942442
18,18,2000,湖南,430000,湖南省,21.18,6562.0,309.820585457979
19,19,2000,广东,440000,广东省,17.98,8650.03,481.091768631813
20,20,2000,广西,450000,广西壮族自治区,23.76,4751.0,199.957912457912
21,21,2000,海南,460000,海南省,3.51,789.0,224.786324786325
22,22,2000,重庆,500000,重庆市,8.24,2848.82,345.730582524272
23,23,2000,四川,510000,四川省,48.61,8329.0,171.343344990743
24,24,2000,贵州,520000,贵州省,17.62,3755.72,213.150964812713
25,25,2000,云南,530000,云南省,38.32,4240.8,110.668058455115
26,26,2000,西藏,540000,西藏自治区,122.84,258.0,2.10029306414849
27,27,2000,陕西,610000,陕西省,20.56,3644.0,177.237354085603
28,28,2000,甘肃,620000,甘肃省,42.59,2515.31,59.0586992251702
29,29,2000,青海,630000,青海省,72.23,516.5,7.15076837878998
30,30,2000,宁夏,640000,宁夏回族自治区,6.64,554.0,83.433734939759
31,31,2000,新疆,650000,新疆维吾尔自治区,163.15,1849.41,11.3356420471958
32,1,2001,北京,110000,北京市,1.64,1385.1,844.573170731707
33,2,2001,天津,120000,天津市,1.2,1004.06,836.716666666667
34,3,2001,河北,130000,河北省,18.88,6699.13,354.826800847458
35,4,2001,山西,140000,山西省,15.67,3271.63,208.783024888322
36,5,2001,内蒙古,150000,内蒙古自治区,118.3,2381.45,20.1306001690617
37,6,2001,辽宁,210000,辽宁省,14.87,4194.0,282.044384667115
38,7,2001,吉林,220000,吉林省,18.74,2690.8,143.58591248666
39,8,2001,黑龙江,230000,黑龙江省,47.07,3811.0,80.96452092628
40,9,2001,上海,310000,上海市,0.63,1668.33,2648.14285714286
41,10,2001,江苏,320000,江苏省,10.72,7358.52,686.429104477612
42,11,2001,浙江,330000,浙江省,10.56,4728.8,447.80303030303
43,12,2001,安徽,340000,安徽省,14.01,6128.0,437.401855817273
44,13,2001,福建,350000,福建省,12.4,3445.38,277.853225806452
45,14,2001,江西,360000,江西省,16.69,4186.0,250.80886758538
46,15,2001,山东,370000,山东省,15.81,9041.0,571.853257432005
47,16,2001,河南,410000,河南省,16.7,9555.0,572.155688622754
48,17,2001,湖北,420000,湖北省,18.59,5658.0,304.357181280258
49,18,2001,湖南,430000,湖南省,21.18,6595.85,311.418791312559
50,19,2001,广东,440000,广东省,17.98,8733.18,485.716351501668
51,20,2001,广西,450000,广西壮族自治区,23.76,4788.0,201.515151515152
52,21,2001,海南,460000,海南省,3.51,795.55,226.652421652422
53,22,2001,重庆,500000,重庆市,8.24,2829.21,343.35072815534
54,23,2001,四川,510000,四川省,48.61,8143.0,167.516971816499
55,24,2001,贵州,520000,贵州省,17.62,3798.51,215.579455164586
56,25,2001,云南,530000,云南省,38.32,4287.4,111.884133611691
57,26,2001,西藏,540000,西藏自治区,122.84,263.55,2.14547378704005
58,27,2001,陕西,610000,陕西省,20.56,3653.14,177.681906614786
59,28,2001,甘肃,620000,甘肃省,42.59,2523.35,59.2474759333177
60,29,2001,青海,630000,青海省,72.23,523.1,7.2421431538142
61,30,2001,宁夏,640000,宁夏回族自治区,6.64,563.22,84.8222891566265
62,31,2001,新疆,650000,新疆维吾尔自治区,163.15,1876.19,11.4997854734907
63,1,2002,北京,110000,北京市,1.64,1423.2,867.804878048781
64,2,2002,天津,120000,天津市,1.2,1007.18,839.316666666667
65,3,2002,河北,130000,河北省,18.88,6735.0,356.726694915254
66,4,2002,山西,140000,山西省,15.67,3293.71,210.192086790045
67,5,2002,内蒙古,150000,内蒙古自治区,118.3,2384.05,20.1525781910397
68,6,2002,辽宁,210000,辽宁省,14.87,4203.0,282.649630127774
69,7,2002,吉林,220000,吉林省,18.74,2699.4,144.044823906083
70,8,2002,黑龙江,230000,黑龙江省,47.07,3813.0,81.0070108349267
71,9,2002,上海,310000,上海市,0.63,1712.97,2719.0
72,10,2002,江苏,320000,江苏省,10.72,7405.5,690.811567164179
73,11,2002,浙江,330000,浙江省,10.56,4776.4,452.310606060606
74,12,2002,安徽,340000,安徽省,14.01,6144.0,438.543897216274
75,13,2002,福建,350000,福建省,12.4,3476.03,280.325
76,14,2002,江西,360000,江西省,16.69,4222.0,252.965847813062
77,15,2002,山东,370000,山东省,15.81,9082.0,574.446552814674
78,16,2002,河南,410000,河南省,16.7,9613.0,575.62874251497
79,17,2002,湖北,420000,湖北省,18.59,5672.0,305.110274341044
80,18,2002,湖南,430000,湖南省,21.18,6629.0,312.983947119924
81,19,2002,广东,440000,广东省,17.98,8842.08,491.773081201335
