row_id,region,year,ols,fe,re,dgmm,sgmm,sfa1,sfa2,sfa3,sfa3d,tfe,field_013
1,上海市,1990,3.972,3.81316,2.947383,4.177074,4.387273,2.913343,3.003706,4.09537,4.577492,4.0004,3.408294
2,上海市,1991,3.23682,3.834852,3.137383,3.250057,3.807663,3.612257,2.954632,3.700168,3.849256,3.675925,3.482557
3,上海市,1992,3.29708,2.595958,2.623357,3.064836,3.649607,3.124217,3.330614,2.403936,2.517488,3.177168,2.380032
4,上海市,1993,2.96192,3.435979,3.226926,2.718068,2.796292,3.102348,2.420039,2.310567,2.76457,2.160397,2.817559
5,上海市,1994,2.73857,1.962268,2.988247,2.484979,2.467781,3.092613,2.075152,2.138441,3.058217,2.805529,2.483774
6,上海市,1995,2.53633,2.592513,2.790829,2.536155,2.09004,2.921703,2.421665,2.573592,2.691303,2.840363,2.106019
7,上海市,1996,2.38031,2.665189,2.286219,2.155635,2.088701,1.969162,2.438178,2.433489,2.280364,1.743317,2.536676
8,上海市,1997,2.17206,2.493046,1.944558,2.209223,2.259311,2.296127,2.47543,2.397106,1.802223,2.076488,1.999858
9,上海市,1998,1.955,2.274858,1.739989,1.758796,1.973592,2.030013,1.48451,1.549592,1.803605,2.247175,1.414169
10,上海市,1999,1.95579,2.297485,2.181448,1.665472,1.370578,1.705409,1.921993,2.166819,1.999599,1.619119,2.328797
11,上海市,2000,1.8105,1.590868,2.06636,1.649945,1.707428,1.319873,1.285473,1.746553,1.77496,1.343083,1.733717
12,上海市,2001,1.89929,2.120952,1.836894,1.942039,2.114855,1.521119,2.143401,2.208452,1.524918,2.151473,1.492383
13,上海市,2002,1.66409,1.905301,1.664174,1.582517,1.932709,1.726861,1.917582,1.781942,1.201341,1.192138,1.874765
14,上海市,2003,1.73891,1.556466,1.708343,1.409928,1.926194,1.507725,1.308897,1.263181,1.642195,1.693493,1.776056
15,上海市,2004,1.63875,1.402508,1.186357,1.776044,1.843332,1.742729,1.676785,1.279143,1.945327,1.696778,1.922516
16,上海市,2005,1.5916,1.850235,1.130211,1.526185,1.453943,1.271975,1.706927,1.658129,1.222317,1.223017,1.126168
17,上海市,2006,1.3775,1.074905,1.475371,1.104548,1.64968,1.44384,1.627089,1.414169,1.468263,1.566286,1.022449
18,上海市,2007,1.42852,1.100845,1.019505,1.035376,1.528572,1.636297,1.495602,1.24154,1.31178,1.699323,1.495459
19,上海市,2008,1.30071,1.263644,1.131673,0.972557,1.261419,1.012645,1.07292,1.240816,1.347813,1.487809,1.205762
20,上海市,2009,1.20931,1.069453,0.912545,1.144467,1.309441,1.020658,1.212805,1.042728,1.283211,0.97104,1.12617
21,上海市,2010,1.22717,1.144824,1.193371,1.42409,1.232346,1.006081,1.273971,1.093602,1.107162,1.428447,1.043448
22,上海市,2011,1.16339,1.297979,0.845084,1.212284,0.921786,0.896529,0.842455,0.83309,1.158675,0.950359,1.360697
