row_id,field_001,income,income_2,income_3,income_4,income_5,income_6,income_7,income_8,income_9,income_10,income_11,income_12,income_13,income_14,income_15,income_16,income_17,income_18,income_19,income_20,income_21,income_22,income_23,income_24,income_25,income_26,income_27,income_28,income_29,income_30,income_31,income_32
1,地区,辽宁,吉林,黑龙江,上海,江苏,浙江,安徽,福建,江西,山东,河南,湖北,湖南,广东,广西,海南,重庆,四川,贵州,云南,西藏,陕西,甘肃,青海,宁夏,新疆,北京,天津,河北,山西,内蒙古,全国
2,频度,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
3,单位,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元
4,2000,227.5,87.41,,410.63,409.14,,144.58,,128.62,392.9,195.04,164.92,111.57,798.61,74.33,31.52,73.94,194.63,77.43,153.11,5.07,84.63,51.66,11.69,18.44,64.53,372.79,123.78,152.9,81.88,122.65,5688.86
5,2001,256.5,,,458.28,523.84,,164.16,,147.68,488.34,226.7,183.97,124.45,1014.72,89.28,35.09,87.39,218.15,67.02,163.52,5.36,94.29,58.79,13.22,23.42,72.68,475,153.8,165.67,92.69,131.53,6962.76
6,2002,333,111.97,,554.7,565.3,,162,,187.04,495.03,242.24,191.01,148.61,1032.33,131.27,36.38,101.63,230.26,89.22,173.36,5.81,96.62,65.43,15.82,21.93,93.58,539.87,154.81,202.75,112.2,162.48,7406.16
7,2003,361.4,125.77,201.46,863.68,690.53,673.47,176.77,251.77,123.05,558.28,264.4,205.38,186.61,1109.5,146.46,40.54,119.37,254.19,93.44,184.43,6.54,143.13,72.24,19.63,24.41,105.24,588.96,177.56,255.46,147.6,106.54,8413.27
8,2004,411.5,130.51,,842.74,833.71,,204.83,,145.09,627.43,307.12,,218.7,1191.55,130.68,44.67,,303.55,,209.36,7.19,,82.34,20.52,,123.19,726.5,201.64,,170.71,144.04,9999.59
9,2005,528.4,,,1238.4,1107.27,,244.55,357.2,170.72,826.46,365.67,,267.87,1526.97,154.38,54.51,,361.65,,246.15,8.15,,91.96,,,142.66,886.13,270.5,,,206.98,12726.73
10,2006,626.21,,,1393.97,1389.13,1184.24,312.42,451.76,208.71,1035.79,471.8,,322.74,1850.44,182.21,65.75,,464.36,,299.39,8.85,,110.84,33.12,,174.54,1076.82,342.65,,,260.67,15233.58
11,2007,815.67,237.39,334.97,1975.48,1894.77,1535.35,401.88,594.02,281.86,1308.35,625.02,433.98,410.66,2415.47,282.68,87.99,294.46,628.95,211.85,378.64,11.67,355.5,142.05,43.29,58.79,220.65,1435.67,438.36,618.3,430.5,347.91,19252.12
12,2008,1017.1,311.07,420.21,2223.43,2278.71,1792.09,527.93,704.45,357.96,1533.53,742.27,537.21,486.31,2864.79,346.49,120.54,360.29,732.07,260.8,482.39,15.19,455.6,162.8,55.9,77.74,286.55,1775.58,546.26,748.89,566.49,464.45,23255.11
13,2009,1183.98,361.11,444.31,2368.45,2654.75,1983.81,629.32,778.14,430.02,1720.35,821.5,616.06,568.27,3130.61,417.68,151.24,435.62,886.67,311.71,548.11,18.51,532.8,176.04,70.17,90.74,301.13,1913.97,614.27,839.33,581.91,576.83,26157.44
14,2010,1516.65,439.31,556.97,2707.8,3312.61,2464.96,866.55,966.09,585.11,2149.9,1016.55,777.96,730.84,3803.47,533.87,237.1,621.56,1180.58,395.57,702.16,25.28,710.57,220.29,88.94,126.79,416.23,2251.59,776.65,1074.04,692.71,752.81,32701.49
15,2011,1974.85,624.19,741.85,3172.72,4124.62,2952.01,1108.31,1254.31,777.09,2603.13,1263.1,1067.11,915.4,4548.66,644.8,295.69,881.07,1537.42,518.14,881.95,45.83,933.84,284.04,119.85,177.13,593.41,2854.63,1004.51,1348.51,872.88,985.69,41106.74
16,2012,2317.19,760.57,837.8,3426.79,4782.59,3227.77,1305.09,1440.34,978.08,3050.2,1469.57,1324.44,1110.74,5073.88,762.46,350.8,970.17,1827.04,681.66,1063.9,70.07,1131.55,347.78,146.69,207.02,698.93,3124.75,1105.56,1560.59,1045.22,1119.87,47319.08
17,2013,2521.62,856.41,912.82,3797.16,5419.49,3545.66,1520.22,1723.28,1178.74,3533.49,1764.71,1604.85,1299.15,5767.94,875.74,411.63,1112.62,2103.51,839.67,1215.66,71.54,1256.24,417.73,175.05,237.49,826.34,3514.52,1310.66,1724.87,1136.89,1215.2,53890.88
18,2014,2330.57,884.4,977.4,4219.05,6006.05,3853.96,1692.52,1893.73,1381.13,3965.76,1951.46,1873.11,1438.52,6510.47,978.07,480.55,1281.83,2312.46,1026.7,1233.23,85.86,1335.68,490.26,199.39,250.33,887.79,3861.29,1486.88,1866.06,1134.34,1251.07,59139.91
19,2015,1650.45,867.12,880.34,4858.16,6610.12,4168.22,1799.89,1938.71,1517.03,4203.12,2101.17,2086.5,1527.52,7377.07,1031.65,514.31,1450.93,2353.51,1126.03,1210.54,92,1290.33,529.79,205.81,256.31,861.73,4263.91,1578.07,1934.29,1056.6,1320.75,62661.93
20,2016,1687.45,872.97,827.85,5625.9,6531.83,4540.09,1857.53,1962.72,1471.1,4212.59,2158.45,2122.93,1551.33,8098.63,1036.22,504.96,1438.45,2329.23,1120.44,1173.52,99.05,1204.39,525.97,176.48,246.55,869.18,4452.97,1624.22,1996.12,1036.67,1335.88,64691.69
21,2017,1812.42,854.03,901.91,5865.51,6484.33,4940.74,1970.68,2052.64,1515.01,4419.4,2329.31,2247.82,1759.13,8871.89,1057.69,543.56,1476.33,2430.32,1179.73,1233.85,122.7,1485.58,547.14,183.96,270.29,944.38,4676.68,1611.96,2199.35,1397.43,1286.91,68672.72
22,2018,1976.13,891.75,980.8,6285.04,7263.65,5586.63,2180.74,2237.42,1663.15,4897.92,2656.65,2463.52,1959.67,9737.51,1122.09,628.68,1603.03,2819.77,1266.02,1423.25,155.93,1774.29,610.47,205.49,298.3,1051.8,4988.83,1624.89,2555.82,1645.67,1399.86,75954.79
23,2019,1929.52,797.98,924.4,6216.29,7339.59,5898.75,2209.73,2208.98,1747.63,4849.29,2841.34,2530.82,2061.96,10063.95,1146.78,653.25,1541.22,2888.74,1204.02,1450.63,157.52,1846.11,577.92,198.7,267.48,1016.09,4822.98,1634.35,2630.73,1783.66,1539.69,76980.13
24,2020,1879.06,771.95,811.92,5841.88,7413.86,6261.75,2199.52,2184.72,1701.92,4757.62,2764.73,1923.45,2057.98,9881.95,1113.22,559.82,1430.72,2967.2,1086.04,1453.07,143.24,1752.14,567.93,213.27,263.87,910.19,4643.87,1500.14,2527.28,1625.99,1457.76,74668.06
25,2021,1970.87,809.41,870.18,6606.74,8171.3,7171.97,2389.9,2493.14,1929.33,5475.99,2842.56,2559.68,2245.99,10785.23,1191.09,742.93,1543.4,3334.86,1177.15,1514.21,142.17,2237.04,667.41,234.73,300.74,1093.24,5164.64,1621.89,2735.73,2094.72,1671.05,83789.27
26,2022,1664.39,570.63,793.37,6349.17,6803.22,6620.33,2246.7,2092.36,1788.91,4795.52,2590.47,2411.64,2004.46,9286.11,930.37,609.33,1270.94,3151.43,1021.76,1197.32,106.14,2682.85,582.79,255.84,306.83,1222.32,4867.07,1346.94,2242.89,2696.55,2134.4,76643.03
27,2023,1870.6,699.57,859.47,7109.1,7977,7124,2592.9,2341.76,2021.8,5229.6,2855.13,2672.62,2208.5,10242.55,1081.99,667.35,1476,3700.7,1221.87,1387.76,156.51,2693.61,698.5,282.94,353.16,1369.08,5357.1,1578.96,2577.7,2556.8,2331,
28,数据来源：,中国统计年鉴,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,数据说明：,2000-2006年与国家统计局数据不太一致，以国家统计局为准，2007之后一致,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
