row_id,stock_code,year,field_003,date,year_2,date_2,province,city,marketization_index,city_2,field_011,city_3,city_4,city_5,field_015,field_016
1,1.0,1997.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,6.183,8.277,6.355,6.887,4.748,3.502,,
2,1.0,1998.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,6.342,8.225,6.274,6.895,5.0,3.85,,
3,1.0,1999.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,5.964,7.433,6.296,7.186,5.804,4.169,,
4,1.0,2000.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,6.703,7.813,7.078,8.21,6.246,5.679,,更多数据请关注公众号
5,1.0,2001.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,7.773,7.868,9.098,9.771,6.451,6.153,,【众鲤数据网】
6,1.0,2002.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,8.246,7.959,9.85,10.058,7.212,6.557,,官网https://zldatas.com
7,1.0,2003.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,8.717,8.526,10.143,10.231,8.129,6.615,,
8,1.0,2004.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,8.983,9.575,10.285,10.168,8.273,6.771,,
9,1.0,2005.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,9.374,9.927,10.592,10.228,9.352,7.981,,
10,1.0,2006.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,9.638,9.872,10.98,10.102,9.253,8.002,,
11,1.0,2007.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,9.881,9.759,11.197,10.207,10.24,8.068,,
12,1.0,2008.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,9.257,9.673,11.1,10.335,7.931,8.159,,
13,1.0,2009.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,9.244,9.585,10.948,10.335,8.014,7.344,,
14,1.0,2010.0,平安银行,1991-04-03,1991.0,1987-12-22,广东,深圳市,9.835,10.124,11.858,10.335,10.793,7.713,,
