row_id,year,operating_revenue,province
1,2011,175737116905.37,安徽省 汇总
2,2011,577819234319.35,北京市 汇总
3,2011,70768938298.94,福建省 汇总
4,2011,34368890275.85,甘肃省 汇总
5,2011,710997370979.17,广东省 汇总
6,2011,59604587941.97,广西壮族自治区 汇总
7,2011,11178303458.07,贵州省 汇总
8,2011,3188858112.48,海南省 汇总
9,2011,48680270051.58,河北省 汇总
10,2011,119554813238.12,河南省 汇总
11,2011,34356068490.89,黑龙江省 汇总
12,2011,77979888745.37,湖北省 汇总
13,2011,144290568031.15,湖南省 汇总
14,2011,32712850675.04,吉林省 汇总
15,2011,203262551460.28,江苏省 汇总
16,2011,146627707143.71,江西省 汇总
17,2011,100880171589.04,辽宁省 汇总
18,2011,21957572501.69,内蒙古自治区 汇总
19,2011,8106605818.42,宁夏回族自治区 汇总
20,2011,12381860866.01,青海省 汇总
21,2011,265328747172.13,山东省 汇总
22,2011,38300920052.63,山西省 汇总
23,2011,31762056841.16,陕西省 汇总
24,2011,218630969860.98,上海市 汇总
25,2011,251018620375.51,四川省 汇总
26,2011,23591793586.25,天津市 汇总
27,2011,3804222060.07,西藏自治区 汇总
28,2011,51125828295.22,新疆维吾尔自治区 汇总
29,2011,80482530466.23,云南省 汇总
30,2011,233809153529.71,浙江省 汇总
31,2011,23671657798.28,重庆市 汇总
32,2011,3815980728940.67,总计
33,2012,180759899648.54,安徽省 汇总
34,2012,626910481768.75,北京市 汇总
35,2012,64052344097.03,福建省 汇总
36,2012,38359608180.79,甘肃省 汇总
37,2012,762128926379.13,广东省 汇总
38,2012,60311186210.7,广西壮族自治区 汇总
39,2012,14267460938.03,贵州省 汇总
40,2012,4093646927.22,海南省 汇总
41,2012,45102339082.09,河北省 汇总
42,2012,137354200946.33,河南省 汇总
43,2012,42854830574.3,黑龙江省 汇总
44,2012,88085301210.74,湖北省 汇总
45,2012,140559936821.79,湖南省 汇总
46,2012,33611950797.74,吉林省 汇总
47,2012,221774002013.58,江苏省 汇总
48,2012,186990840242.16,江西省 汇总
49,2012,105069356125.82,辽宁省 汇总
50,2012,24847080617.97,内蒙古自治区 汇总
51,2012,7487182492.14,宁夏回族自治区 汇总
52,2012,11280987597.67,青海省 汇总
53,2012,282633522255.61,山东省 汇总
54,2012,41773549731.24,山西省 汇总
55,2012,34939994879.99,陕西省 汇总
56,2012,227498968309.28,上海市 汇总
57,2012,214658670883.35,四川省 汇总
58,2012,28422278521.36,天津市 汇总
59,2012,4597984821.2,西藏自治区 汇总
60,2012,52491402735.04,新疆维吾尔自治区 汇总
61,2012,96151706904.69,云南省 汇总
62,2012,248484915276.46,浙江省 汇总
63,2012,24341411819.07,重庆市 汇总
64,2012,4051895968809.81,总计
65,2013,204267400653.01,安徽省 汇总
66,2013,675151248458.6,北京市 汇总
67,2013,70838752351.53,福建省 汇总
68,2013,47336914765.57,甘肃省 汇总
69,2013,896313859917.65,广东省 汇总
70,2013,58131970628.83,广西壮族自治区 汇总
71,2013,14961378871.72,贵州省 汇总
72,2013,13816742578.05,海南省 汇总
73,2013,55475534532.9,河北省 汇总
74,2013,130033376518.65,河南省 汇总
75,2013,43122260265.96,黑龙江省 汇总
76,2013,100710381186.5,湖北省 汇总
77,2013,134349251451.7,湖南省 汇总
78,2013,37611974982.86,吉林省 汇总
79,2013,243494339787.26,江苏省 汇总
80,2013,206833046489.82,江西省 汇总
81,2013,115806882698.91,辽宁省 汇总
82,2013,25124209828.42,内蒙古自治区 汇总
83,2013,9569819197.25,宁夏回族自治区 汇总
