row_id,year,province,province_2,id,field_005,income,income_2,social_consumption,gdp,population,population_2,population_3,primary_industry,primary_industry_2,tertiary_industry,tertiary_industry_2,secondary_industry,secondary_industry_2,field_019,income_3,income_4,field_022,field_023,field_024,tax_burden,field_026,field_027,social_consumption_2,industrial_structure,urbanization_rate,industrial_structure_2,industrial_structure_3,income_5,population_density,field_035,field_036
1,2000,110000,北京市,北京,443.0,344.9968,344.9968,1443.3,3277.8,1363.6,1057.4,306.2,79.3,2.4,2174.9,66.4,1023.7,31.2,25014.0,4533.0,10590.0,1.64,,,0.105252547440356,0.135151626090671,25014.0,0.440325828299469,2.12454820748266,0.77544734526254,2.12454820748266,2.64,2.33620119126406,831.463414634146,,
2,2000,120000,天津市,天津,187.05,133.6069,133.6069,736.6,1591.67,1001.14,724.83,276.31,73.69,4.6,723.23,45.5,794.75,49.9,16236.39,3598.0,7946.0,1.2,,,0.0839413320600376,0.117518078496171,16236.39,0.462784371132207,0.910009436929852,0.724004634716423,0.910009436929852,2.409,2.20844913841023,834.283333333333,,
3,2000,130000,河北省,河北,415.54,248.7621,248.7621,1613.9,4628.15,6674.27,1741.0,5382.4,824.7,17.82,1656.8,35.8,2146.7,46.38,6965.91,2484.0,5642.0,18.88,,,0.0537497920335339,0.0897853353931917,6965.91,0.348713848946123,0.771789257930777,0.260852497726343,0.771789257930777,2.1798,2.27133655394525,353.510063559322,,
4,2000,140000,山西省,山西,225.06,114.4762,114.4762,629.1,1845.72,3247.0,1165.31,2082.49,179.86,9.74,807.49,43.8,858.37,46.51,5722.0,1950.0,4715.0,15.67,,,0.0620225169581518,0.121936154996424,5722.0,0.340842598010532,0.940724862238895,0.358888204496458,0.940724862238895,2.3416,2.41794871794872,207.21123165284,,
5,2000,150000,内蒙古自治区,内蒙古,247.27,95.032,95.032,484.0,1539.12,2372.0,1001.06,1371.3,350.8,22.79,605.74,39.3,582.57,37.9,6501.99,2058.0,5152.0,118.3,,,0.0617443734081813,0.160656738915744,6501.99,0.314465408805031,1.03977204456117,0.422032040472175,1.03977204456117,2.1649,2.50340136054422,20.050718512257,,
6,2000,210000,辽宁省,辽宁,518.08,295.6274,295.6274,1847.6,4669.06,4184.0,1872.5,2311.5,491.73,10.53,1841.24,39.43,2336.09,50.03,11177.0,2338.0,5408.0,14.87,,,0.0633162563770866,0.110960236107482,11177.0,0.395711342325864,0.788171688590765,0.447538240917782,0.788171688590765,2.2888,2.31308810949529,281.371889710827,,
7,2000,220000,吉林省,吉林,260.67,103.8267,103.8267,810.9,1751.35,2681.7,1331.8,1349.9,395.32,21.4,680.3,35.7,675.73,42.9,6646.0,2029.0,4765.0,18.74,,,0.0592838096325692,0.148839466697119,6646.0,0.463014246152968,1.00676305625028,0.496625275012119,1.00676305625028,2.143,2.34844751108921,143.100320170758,,
8,2000,230000,黑龙江省,黑龙江,381.87,185.3379,185.3379,1094.0,2855.5,3807.0,1977.4,1829.6,375.53,13.15,846.5,29.65,1633.4,57.2,7515.46,2136.0,4981.0,47.07,,,0.0649055857117843,0.133731395552443,7515.46,0.383120294169147,0.518244153299865,0.519411610191752,0.518244153299865,2.165,2.33192883895131,80.8795411089866,,
9,2000,310000,上海市,上海,608.56,485.3777,485.3777,1722.3,4812.15,1608.63,1242.33,366.3,74.8,1.6,2521.6,52.4,2215.8,46.4,30307.0,5572.0,11781.0,0.63,,,0.100865039535343,0.126463223299357,30307.0,0.357906549047723,1.13800884556368,0.772290706999123,1.13800884556368,2.516,2.1143216080402,2553.38095238095,,
10,2000,320000,江苏省,江苏,591.28,448.3097,448.3097,2604.1,8553.69,7327.24,3040.81,4286.43,1048.34,12.26,3069.46,35.88,4435.89,51.86,11765.42,3591.0,6756.0,10.72,,,0.0524112634430287,0.0691257223490681,11765.42,0.304441708782993,0.691960350684981,0.415000736975996,0.691960350684981,2.2362,1.88137009189641,683.511194029851,,
11,2000,330000,浙江省,浙江,431.3,342.7745,342.7745,2298.8,6164.79,4679.91,1134.41,3545.5,630.97,10.2,2246.72,36.4,3287.1,53.3,13467.0,4332.0,9236.0,10.56,,,0.0556019750875537,0.0699618316276791,13467.0,0.372891858441245,0.683496090779106,0.242399960683005,0.683496090779106,2.26,2.1320406278855,443.173295454545,,
12,2000,340000,安徽省,安徽,323.47,178.7187,178.7187,1054.3,3125.33,6093.0,1003.9,5089.1,741.77,23.7,1321.33,42.3,1062.23,34.0,5147.0,1972.0,5277.0,14.01,,,0.0571839453753684,0.10349947045592,5147.0,0.337340376856204,1.24392080811124,0.164762842606269,1.24392080811124,2.186,2.67596348884381,434.903640256959,,
13,2000,350000,福建省,福建,324.18,234.1061,234.1061,1372.8,3764.54,3409.79,1432.0,1978.0,616.37,16.4,1525.83,40.5,1622.33,43.1,11193.99,3245.0,7285.0,12.4,,,0.0621871729348074,0.0861141069028354,11193.99,0.364666068098626,0.940517650539656,0.419967212057048,0.940517650539656,2.241,2.24499229583975,274.983064516129,,
14,2000,360000,江西省,江西,223.47,111.5536,111.5536,704.9,2003.07,4149.0,1148.73,2999.81,485.14,24.22,817.17,40.8,700.76,34.98,4851.25,2151.0,5116.0,16.69,,,0.0556913138332659,0.111563749644296,4851.25,0.351909818428712,1.16611964153205,0.276869125090383,1.16611964153205,2.1658,2.37842863784286,248.591971240264,,
15,2000,370000,山东省,山东,613.08,463.6788,463.6788,2545.9,8278.06,8998.0,3432.59,7035.9,1252.08,15.1,2905.79,35.1,4120.19,49.8,9259.57,2663.0,6417.0,15.81,,,0.0560129788863574,0.0740608306777192,9259.57,0.3075479037359,0.705256310995367,0.38148366303623,0.705256310995367,2.2,2.40968832144198,569.133459835547,,
16,2000,410000,河南省,河南,445.53,246.4694,246.4694,1786.7,5052.99,9488.0,1661.3,7826.7,1124.93,22.26,1645.59,32.57,2282.48,45.17,5449.73,2011.0,4735.0,16.7,,,0.0487769419690124,0.0881715578301164,5449.73,0.353592625356472,0.720965791595107,0.175094856661046,0.720965791595107,2.1031,2.35454997513675,568.14371257485,,
17,2000,420000,湖北省,湖北,368.77,214.345,214.345,1789.4,3545.39,5646.0,2285.11,3360.89,662.3,18.7,1450.34,40.8,1432.75,40.4,6121.17,2313.0,5512.0,18.59,,,0.0604573826856848,0.104013944869253,6121.17,0.504711752444724,1.01227708951317,0.404730782855119,1.01227708951317,2.219,2.3830523130134,303.711672942442,,
18,2000,430000,湖南省,湖南,347.83,177.0403,177.0403,1364.7,3551.49,6562.0,1952.21,5386.2,784.92,22.1,1473.39,41.5,1293.18,36.4,5590.0,2234.0,6274.0,21.18,,,0.0498495842590012,0.0979391748252142,5590.0,0.384261253727309,1.13935415023431,0.297502285888449,1.13935415023431,2.194,2.80841539838854,309.820585457979,,
