row_id,stock_code,field_002,province,city,date,date_2,field_007
1,000001.SZ,平安银行,广东省,深圳市,1987-12-22,1991-04-03,
2,000002.SZ,万科A,广东省,深圳市,1984-05-30,1991-01-29,
3,000004.SZ,ST国华,广东省,深圳市,1986-05-05,1991-01-14,
4,000005.SZ,ST星源,广东省,深圳市,1989-05-08,1990-12-10,
5,000006.SZ,深振业A,广东省,深圳市,1989-05-25,1992-04-27,
6,000007.SZ,全新好,广东省,深圳市,1983-03-11,1992-04-13,
7,000008.SZ,神州高铁,北京,北京市,1989-10-11,1992-05-07,
8,000009.SZ,中国宝安,广东省,深圳市,1990-10-08,1991-06-25,
9,000010.SZ,美丽生态,广东省,深圳市,1989-01-09,1995-10-27,更多数据请关注公众号
10,000011.SZ,深物业A,广东省,深圳市,1983-01-17,1992-03-30,【众鲤数据网】
11,000012.SZ,南玻A,广东省,深圳市,1984-09-10,1992-02-28,官网https://zldatas.com
12,000014.SZ,沙河股份,广东省,深圳市,1987-07-27,1992-06-02,
13,000016.SZ,深康佳A,广东省,深圳市,1980-10-01,1992-03-27,
14,000017.SZ,深中华A,广东省,深圳市,1984-08-24,1992-03-31,
15,000019.SZ,深粮控股,广东省,深圳市,1981-07-30,1992-10-12,
16,000020.SZ,深华发A,广东省,深圳市,1981-12-08,1992-04-28,
17,000021.SZ,深科技,广东省,深圳市,1985-07-04,1994-02-02,
18,000023.SZ,深天地A,广东省,深圳市,1984-11-16,1993-04-29,
19,000025.SZ,特力A,广东省,深圳市,1986-11-10,1993-06-21,
20,000026.SZ,飞亚达,广东省,深圳市,1990-03-30,1993-06-03,
21,000027.SZ,深圳能源,广东省,深圳市,1993-08-21,1993-09-03,
22,000028.SZ,国药一致,广东省,深圳市,1986-08-02,1993-08-09,
23,000029.SZ,深深房A,广东省,深圳市,1986-07-19,1993-09-15,
24,000030.SZ,富奥股份,吉林省,长春市,1988-10-06,1993-09-29,
25,000031.SZ,大悦城,广东省,深圳市,1993-10-08,1993-10-08,
