row_id,year,city,city_2,city_3,province,field_006,primary_industry,secondary_industry,tertiary_industry,primary_industry_2,secondary_industry_2,tertiary_industry_2,industrial_structure,field_014,industrial_structure_2
1,2023.0,北京市,110000.0,直辖市,北京市,43760.7,105.5,6525.6,37129.6,0.0024108389491027337,0.14912010091246258,0.8484690601384347,0.8484690601384347,2.846058221189332,5.689836949859016
2,2023.0,天津市,120000.0,直辖市,天津市,16737.3,268.5,5982.6,10486.2,0.01604201394490151,0.35744116434550377,0.6265168217095948,0.6265168217095948,2.6104748077646933,1.7527830709056262
3,2023.0,石家庄市,130100.0,地级市,河北省,7534.2,576.9,2309.2,4648.1,0.0765708369833559,0.3064957128825887,0.6169334501340554,0.6169334501340554,2.5403626131506996,2.0128615970899015
4,2023.0,唐山市,130200.0,地级市,河北省,9133.3,655.2,4660.0,3818.0,0.07173748809302224,0.5102208402220446,0.418030722739864,0.418030722739864,2.346271336756703,0.81931330472103
5,2023.0,秦皇岛市,130300.0,地级市,河北省,2001.01,259.95,640.41,1100.65,0.12990939575514365,0.32004337809406247,0.5500472261507939,0.5500472261507939,2.4201378303956504,1.71866460548711
6,2023.0,邯郸市,130400.0,地级市,河北省,4382.2,449.5,1807.2,2125.4,0.10257404956414587,0.4123956003833691,0.48500753046415046,0.48500753046415046,2.3823878417233355,1.176073483842408
7,2023.0,邢台市,130500.0,地级市,河北省,2586.1,349.6,934.9,1301.6,0.13518425428251035,0.36150960906384133,0.5033061366536483,0.5033061366536483,2.3681218823711383,1.3922344635789923
8,2023.0,保定市,130600.0,地级市,河北省,4012.2,466.9,1351.8,2193.5,0.11637007128258811,0.33692238672050245,0.5467075419969094,0.5467075419969094,2.4303374707143215,1.6226512797751147
9,2023.0,张家口市,130700.0,地级市,河北省,1842.7,321.8,464.1,1056.8,0.17463504639930538,0.2518586856243556,0.5735062679763391,0.5735062679763391,2.398871221577034,2.2770954535660417
10,2023.0,承德市,130800.0,地级市,河北省,1851.7,430.3,586.8,834.6,0.23238105524653022,0.316897985634822,0.45072095911864773,0.45072095911864773,2.2183399038721174,1.4222903885480573
11,2023.0,沧州市,130900.0,地级市,河北省,4440.1,372.4,1686.9,2380.8,0.08387198486520572,0.37992387558838764,0.5362041395464066,0.5362041395464066,2.4523321546812005,1.4113462564467367
12,2023.0,廊坊市,131000.0,地级市,河北省,3608.3,217.9,1153.8,2236.6,0.060388548624005764,0.31976276917107777,0.6198486822049164,0.6198486822049164,2.5594601335809104,1.9384642052348762
13,2023.0,衡水市,131100.0,地级市,河北省,1888.1,259.8,609.8,1018.5,0.13759864413961126,0.3229701816641068,0.539431174196282,0.539431174196282,2.4018325300566707,1.6702197441784192
14,2023.0,太原市,140100.0,地级市,山西省,5573.74,45.98,2341.68,3186.08,0.008249398070236502,0.4201272395196044,0.5716233624101591,0.5716233624101591,2.563373964339923,1.360595811554098
15,2023.0,大同市,140200.0,地级市,山西省,1871.5,114.0,795.2,962.4,0.06091370558375635,0.4248998129842373,0.5142399145070798,0.5142399145070798,2.4534330750734705,1.2102615694164989
16,2023.0,阳泉市,140300.0,地级市,山西省,1002.7,17.6,534.8,450.3,0.017552607958512018,0.5333599281938765,0.44908746384761145,0.44908746384761145,2.4315348558890992,0.8419970082273748
17,2023.0,长治市,140400.0,地级市,山西省,2806.2,102.7,1814.7,888.8,0.03659753403178676,0.6466752191575798,0.3167272468106336,0.3167272468106336,2.280129712778847,0.48977792472584997
18,2023.0,晋城市,140500.0,地级市,山西省,2333.3,81.2,1505.5,746.5,0.03480049714995928,0.6452235031929027,0.31993314190202715,0.31993314190202715,2.285046929241846,0.4958485552972434
19,2023.0,朔州市,140600.0,地级市,山西省,1539.37,103.4,726.6,709.4,0.06717033591664123,0.47201127734073034,0.46083787523467395,0.46083787523467395,2.3937065163021236,0.9763281034957335
20,2023.0,晋中市,140700.0,地级市,山西省,2090.9,158.1,1119.2,813.6,0.07561337223205318,0.5352718924864891,0.38911473528145774,0.38911473528145774,2.3135013630494043,0.7269478198713366
21,2023.0,运城市,140800.0,地级市,山西省,2329.9,346.0,958.1,1025.8,0.14850422764925533,0.4112193656380102,0.44027640671273444,0.44027640671273444,2.291772179063479,1.070660682600981
22,2023.0,忻州市,140900.0,地级市,山西省,1443.6,132.1,724.5,587.0,0.09150734275422555,0.5018703241895263,0.4066223330562483,0.4066223330562483,2.315114990302023,0.8102139406487232
23,2023.0,临汾市,141000.0,地级市,山西省,2312.5,178.0,1232.5,902.0,0.07697297297297297,0.532972972972973,0.3900540540540541,0.3900540540540541,2.313081081081081,0.7318458417849899
