row_id,province,code,year,digital_economy,digital_economy_2,digital_economy_3,digital_economy_4
1,北京市,110000,2000,676,144,649,592
2,北京市,110000,2001,1012,164,687,635
3,北京市,110000,2002,1707,164,905,679
4,北京市,110000,2003,2329,444,1027,822
5,北京市,110000,2004,3190,805,1064,848
6,北京市,110000,2005,4680,808,1162,986
7,北京市,110000,2006,5817,1066,1392,1173
8,北京市,110000,2007,7500,1533,1633,1545
9,北京市,110000,2008,11102,2832,2469,1981
10,北京市,110000,2009,11856,4167,3274,2507
11,北京市,110000,2010,13789,4510,4280,3812
12,北京市,110000,2011,17907,6333,5116,5137
13,北京市,110000,2012,23797,8227,6985,4895
14,北京市,110000,2013,30861,8430,10501,9859
15,北京市,110000,2014,37536,8880,12604,13005
16,北京市,110000,2015,44329,13412,12671,12855
17,北京市,110000,2016,51295,18822,13265,11344
18,北京市,110000,2017,53351,23522,13243,10930
19,北京市,110000,2018,64016,25166,13650,13854
20,北京市,110000,2019,74476,29007,13298,12769
21,北京市,110000,2020,86209,34733,16176,14640
22,北京市,110000,2021,104312,46128,16789,18081
23,北京市,110000,2022,106657,49454,16008,18746
24,北京市,110000,2023,71590,64706,6602,14317
25,天津市,120000,2000,62,20,121,116
26,天津市,120000,2001,95,10,137,107
27,天津市,120000,2002,299,10,205,139
28,天津市,120000,2003,425,39,259,197
29,天津市,120000,2004,572,70,280,230
30,天津市,120000,2005,599,69,343,242
31,天津市,120000,2006,552,118,573,308
32,天津市,120000,2007,602,173,839,626
33,天津市,120000,2008,672,287,783,924
34,天津市,120000,2009,981,333,1354,846
35,天津市,120000,2010,1347,282,1639,1501
36,天津市,120000,2011,2013,401,2041,1840
37,天津市,120000,2012,2701,602,2982,2102
38,天津市,120000,2013,4738,596,3145,3409
39,天津市,120000,2014,4588,696,4232,3572
40,天津市,120000,2015,6302,984,6866,5435
41,天津市,120000,2016,7698,1227,7678,7000
42,天津市,120000,2017,6440,1752,8701,6810
43,天津市,120000,2018,6991,1750,9226,8915
44,天津市,120000,2019,7445,1562,10614,9071
45,天津市,120000,2020,7630,1663,15363,12066
46,天津市,120000,2021,7535,2670,10274,16216
47,天津市,120000,2022,8338,4856,8257,10181
48,天津市,120000,2023,6672,6230,3735,7902
49,河北省,130000,2000,39,13,152,187
50,河北省,130000,2001,58,11,228,172
51,河北省,130000,2002,72,14,270,238
52,河北省,130000,2003,96,31,327,248
53,河北省,130000,2004,97,40,273,272
54,河北省,130000,2005,103,35,322,259
55,河北省,130000,2006,170,19,401,305
56,河北省,130000,2007,248,42,494,456
57,河北省,130000,2008,311,70,652,599
58,河北省,130000,2009,490,129,1040,663
59,河北省,130000,2010,616,131,1080,1186
60,河北省,130000,2011,797,227,1488,1301
61,河北省,130000,2012,1107,352,2190,1604
62,河北省,130000,2013,1292,375,1937,2476
63,河北省,130000,2014,1434,357,2490,2357
64,河北省,130000,2015,2077,662,3512,3144
65,河北省,130000,2016,2983,877,4271,3593
66,河北省,130000,2017,3431,1108,5749,3807
67,河北省,130000,2018,4694,1218,6851,6422
68,河北省,130000,2019,5413,1279,9296,6586
69,河北省,130000,2020,5957,1832,13107,10683
70,河北省,130000,2021,7102,2439,12035,13929
71,河北省,130000,2022,7681,3717,10337,13122
72,河北省,130000,2023,6857,4122,4647,9567
73,山西省,140000,2000,20,6,53,54
74,山西省,140000,2001,31,12,50,51
75,山西省,140000,2002,35,7,73,55
76,山西省,140000,2003,32,20,86,65
77,山西省,140000,2004,34,20,95,75
78,山西省,140000,2005,54,20,85,89
79,山西省,140000,2006,95,23,103,89
80,山西省,140000,2007,119,24,174,113
81,山西省,140000,2008,161,33,262,197
82,山西省,140000,2009,177,87,306,269
83,山西省,140000,2010,251,64,373,362
84,山西省,140000,2011,411,107,440,405
85,山西省,140000,2012,524,116,727,536
86,山西省,140000,2013,666,151,672,806
87,山西省,140000,2014,654,147,724,797
88,山西省,140000,2015,806,299,1009,857
89,山西省,140000,2016,974,357,1291,1043
90,山西省,140000,2017,1256,408,1646,1175
91,山西省,140000,2018,1695,451,1832,1773
92,山西省,140000,2019,1909,467,2756,1844
93,山西省,140000,2020,2212,597,4033,3186
94,山西省,140000,2021,2379,787,3691,4717
95,山西省,140000,2022,2730,1334,2895,3578
96,山西省,140000,2023,2312,1649,1556,2848
97,内蒙古自治区,150000,2000,19,4,29,29
98,内蒙古自治区,150000,2001,12,2,35,29
99,内蒙古自治区,150000,2002,22,1,46,35
100,内蒙古自治区,150000,2003,18,11,38,43
101,内蒙古自治区,150000,2004,17,15,37,41
102,内蒙古自治区,150000,2005,28,7,38,27
103,内蒙古自治区,150000,2006,28,4,47,34
104,内蒙古自治区,150000,2007,46,15,72,57
105,内蒙古自治区,150000,2008,35,11,67,88
