row_id,province,year,field_003,field_004,field_005,field_006,financial_development,field_008
1,上海,2000,9349.83,7254.26,16604.09,4551.15,3.64832844445909,
2,上海,2001,11247.9,8543.02,19790.92,5210.12,3.79855358417848,
3,上海,2002,14035.77,10550.94,24586.71,5741.03,4.28263046874864,
4,上海,2003,17318.38,13168.05,30486.43,6694.23,4.55413542707675,
5,上海,2004,19994.05,14972.01,34966.06,8072.83,4.33132618920502,
6,上海,2005,23320.86,16798.12,40118.98,9247.66,4.33828449575352,
7,上海,2006,26454.88,18603.92,45058.8,10572.24,4.26199178225239,
8,上海,2007,30315.53,21709.95,52025.48,12494.01,4.16403380499936,
9,上海,2008,35589.07,24166.12,59755.19,14069.86,4.2470351517357,
10,上海,2009,44620.27,29684.1,74304.37,15046.45,4.9383322976516,
11,上海,2010,52190.04,34154.17,86344.21,17165.98,5.02996100426541,
12,上海,2011,56186.48,37196.79,93383.27,19195.69,4.86480402632049,
13,上海,2012,63555.25,40982.48,104537.73,20181.72,5.17982263156956,
14,上海,2013,69256.32,44357.88,113614.2,21818.15,5.20732509401576,
15,上海,2014,73882.45,47915.81,121798.26,23567.6953,5.1680174259551,
16,上海,2015,103760.6,53387.21,157147.81,25123.45,6.25502508612472,
17,上海,2016,110510.96,59982.25,170493.21,28178.65,6.05043925099322,
18,上海,2017,112461.74,67182.01,179643.75,30632.99,5.86438836039185,
19,上海,2018,121112.33,73272.35,194384.68,32679.87,5.94814728455162,
20,上海,2019,132820.27,79843.0,212663.27,38155.32,5.57362040208286,
21,上海,2020,155865.06,84643.04,240508.1,38700.58,6.2145864480584,
22,上海,2021,175831.08,96032.13,271863.21,43214.85,6.29096734108761,
23,上海,2022,192293.06,103138.91,295431.97,44652.8,6.6162025673642,
24,上海,2023,204429.29,111766.72,316196.01,47218.66,6.6964206523438,
25,云南,2000,2465.68,1987.83,4453.51,1955.09,2.27790536497041,
26,云南,2001,2779.71,2173.45,4953.16,2138.31,2.31639004634501,
27,云南,2002,3121.28,2418.48,5539.76,2312.82,2.39524044240365,
28,云南,2003,3747.46,2955.57,6703.03,2556.02,2.62244818115664,
29,云南,2004,4404.36,3398.29,7802.65,3081.91,2.5317579033781,
30,云南,2005,5140.5,3987.58,9128.08,3461.73,2.63685498291317,
31,云南,2006,6131.25,4803.51,10934.76,3988.14,2.74181949480209,
32,云南,2007,7170.87,5671.66,12842.53,4772.52,2.6909326728856,
33,云南,2008,8418.94,6594.33,15013.27,5692.12,2.63755331932566,
34,云南,2009,11119.64,8779.63,19899.27,6169.75,3.22529600064832,
35,云南,2010,13411.49,10568.78,23980.27,7224.18,3.31944525191786,
36,云南,2011,15416.7,12114.59,27531.29,8893.12,3.09579652585369,
37,云南,2012,18008.04,13848.1,31856.14,10309.47,3.08998813712053,
38,云南,2013,20767.77,15782.46,36550.23,11832.31,3.0890189658655,
39,云南,2014,22456.26,17978.74,40435.0,12814.59,3.15538772602167,
40,云南,2015,25035.09,20842.86,45877.95,13619.17,3.36863039377583,
41,云南,2016,27726.1,23056.28,50782.38,14788.42,3.43392870908454,
42,云南,2017,13164.69,25398.93,38563.62,16376.34,2.35483752779925,
43,云南,2018,30554.0,28085.3,58639.3,17881.12,3.27939748740571,
44,云南,2019,32821.28,31201.01,64022.29,23223.75,2.75675935195651,
45,云南,2020,17675.53,34717.96,52393.49,24521.9,2.13659993719899,
46,云南,2021,36357.7,38646.5,75004.2,27100.0,2.76768265682657,
47,云南,2022,21730.61,42338.62,64069.23,28954.2,2.21277845701142,
48,云南,2023,24268.72,45632.18,69900.9,30021.0,2.32840011991606,
49,内蒙古,2000,1270.13,1340.74,2610.87,1401.01,1.86356271546955,
50,内蒙古,2001,1498.79,1470.75,2969.54,1713.81,1.73271249438386,
51,内蒙古,2002,1735.26,1649.78,3385.04,1940.94,1.74402093830824,
52,内蒙古,2003,2090.98,1924.13,4015.11,2388.38,1.68110183471642,
53,内蒙古,2004,2576.37,2239.76,4816.13,3041.07,1.58369587020358,
54,内蒙古,2005,3298.15,2588.57,5886.72,3905.03,1.50747113338438,
55,内蒙古,2006,4036.56,3205.19,7241.75,4944.25,1.46468119532791,
56,内蒙古,2007,4953.7,3767.74,8721.44,6423.18,1.3578071920762,
57,内蒙古,2008,6341.03,4527.86,10868.89,8496.2,1.27926484781432,
58,内蒙古,2009,8373.7,6292.52,14666.22,9740.25,1.50573342573343,
59,内蒙古,2010,10278.69,7919.47,18198.16,11672.0,1.55912954078136,
60,内蒙古,2011,12063.72,9727.7,21791.42,14359.88,1.51752103778026,
61,内蒙古,2012,13612.72,11284.2,24896.92,15880.5788,1.56775897865889,
62,内蒙古,2013,15205.69,12944.17,28149.86,16916.5029,1.6640472422938,
