row_id,province,year,field_003
1,安徽省,2010年,2587.61
2,安徽省,2011年,3302.99
3,安徽省,2012年,3961.01
4,安徽省,2013年,4349.69
5,安徽省,2014年,4664.1
6,安徽省,2015年,5239.01
7,安徽省,2016年,5522.95
8,安徽省,2017年,6203.81
9,安徽省,2018年,6572.15
10,安徽省,2019年,7392.22
11,安徽省,2020年,7473.59
12,安徽省,2021年,7591.05
13,安徽省,2022年,8379.78
14,安徽省,2023年,8643.57
15,北京市,2010年,2717.32
16,北京市,2011年,3245.23
17,北京市,2012年,3685.31
18,北京市,2013年,4173.66
19,北京市,2014年,4524.67
20,北京市,2015年,5737.7
21,北京市,2016年,6406.77
22,北京市,2017年,6824.53
23,北京市,2018年,7471.43
24,北京市,2019年,7408.19
25,北京市,2020年,7116.18
26,北京市,2021年,7205.12
27,北京市,2022年,7469.15
28,北京市,2023年,7971.25
29,福建省,2010年,1695.09
30,福建省,2011年,2198.18
31,福建省,2012年,2607.5
32,福建省,2013年,3068.8
33,福建省,2014年,3306.7
34,福建省,2015年,4001.58
35,福建省,2016年,4275.4
36,福建省,2017年,4684.15
37,福建省,2018年,4832.69
38,福建省,2019年,5077.93
39,福建省,2020年,5216.1
40,福建省,2021年,5204.72
41,福建省,2022年,5691.22
42,福建省,2023年,5859.39
43,甘肃省,2010年,1468.58
44,甘肃省,2011年,1791.24
45,甘肃省,2012年,2059.56
46,甘肃省,2013年,2309.62
47,甘肃省,2014年,2541.49
48,甘肃省,2015年,2958.31
49,甘肃省,2016年,3150.03
50,甘肃省,2017年,3304.44
51,甘肃省,2018年,3772.23
52,甘肃省,2019年,3951.6
53,甘肃省,2020年,4163.4
54,甘肃省,2021年,4032.56
55,甘肃省,2022年,4257.16
56,甘肃省,2023年,4521.82
57,广东省,2010年,5421.54
58,广东省,2011年,6712.4
59,广东省,2012年,7387.86
60,广东省,2013年,8411.0
61,广东省,2014年,9152.64
62,广东省,2015年,12827.8
63,广东省,2016年,13446.09
64,广东省,2017年,15037.48
65,广东省,2018年,15729.26
66,广东省,2019年,17297.85
67,广东省,2020年,17430.79
68,广东省,2021年,18247.01
69,广东省,2022年,18533.08
70,广东省,2023年,18527.03
71,广西壮族自治区,2010年,2007.59
72,广西壮族自治区,2011年,2545.28
73,广西壮族自治区,2012年,2985.23
74,广西壮族自治区,2013年,3208.67
75,广西壮族自治区,2014年,3479.79
76,广西壮族自治区,2015年,4065.51
77,广西壮族自治区,2016年,4441.7
78,广西壮族自治区,2017年,4908.55
79,广西壮族自治区,2018年,5310.74
80,广西壮族自治区,2019年,5850.96
81,广西壮族自治区,2020年,6179.47
82,广西壮族自治区,2021年,5806.54
83,广西壮族自治区,2022年,5893.32
84,广西壮族自治区,2023年,6101.37
85,贵州省,2010年,1631.48
86,贵州省,2011年,2249.4
87,贵州省,2012年,2755.68
88,贵州省,2013年,3082.66
89,贵州省,2014年,3542.8
90,贵州省,2015年,3939.5
91,贵州省,2016年,4262.36
92,贵州省,2017年,4612.52
93,贵州省,2018年,5029.68
94,贵州省,2019年,5948.74
95,贵州省,2020年,5739.5
96,贵州省,2021年,5590.01
97,贵州省,2022年,5851.36
98,贵州省,2023年,6203.7
99,海南省,2010年,581.34
100,海南省,2011年,778.8
101,海南省,2012年,911.67
102,海南省,2013年,1011.17
103,海南省,2014年,1099.74
104,海南省,2015年,1239.43
105,海南省,2016年,1376.48
106,海南省,2017年,1443.97
107,海南省,2018年,1691.3
108,海南省,2019年,1858.6
109,海南省,2020年,1972.46
110,海南省,2021年,1971.37
111,海南省,2022年,2097.37
112,海南省,2023年,2248.96
113,河北省,2010年,2820.24
114,河北省,2011年,3537.39
115,河北省,2012年,4079.44
116,河北省,2013年,4409.58
117,河北省,2014年,4677.3
118,河北省,2015年,5632.19
119,河北省,2016年,6049.53
120,河北省,2017年,6639.18
121,河北省,2018年,7726.21
122,河北省,2019年,8309.04
123,河北省,2020年,9022.79
124,河北省,2021年,8848.21
125,河北省,2022年,9305.64
126,河北省,2023年,9606.21
