row_id,year,province,province_2,id,field_005,gdp,field_007
1,2000,110000,北京市,北京,443.0,3277.8,0.13515162609067055
2,2000,120000,天津市,天津,187.05,1591.67,0.11751807849617069
3,2000,130000,河北省,河北,415.54,4628.15,0.08978533539319168
4,2000,140000,山西省,山西,225.06,1845.72,0.12193615499642416
5,2000,150000,内蒙古自治区,内蒙古,247.27,1539.12,0.16065673891574409
6,2000,210000,辽宁省,辽宁,518.08,4669.06,0.11096023610748201
7,2000,220000,吉林省,吉林,260.67,1751.35,0.1488394666971194
8,2000,230000,黑龙江省,黑龙江,381.87,2855.5,0.13373139555244265
9,2000,310000,上海市,上海,608.56,4812.15,0.12646322329935683
10,2000,320000,江苏省,江苏,591.28,8553.69,0.06912572234906805
11,2000,330000,浙江省,浙江,431.3,6164.79,0.06996183162767913
12,2000,340000,安徽省,安徽,323.47,3125.33,0.10349947045591987
13,2000,350000,福建省,福建,324.18,3764.54,0.08611410690283541
14,2000,360000,江西省,江西,223.47,2003.07,0.11156374964429601
15,2000,370000,山东省,山东,613.08,8278.06,0.07406083067771918
16,2000,410000,河南省,河南,445.53,5052.99,0.08817155783011642
17,2000,420000,湖北省,湖北,368.77,3545.39,0.10401394486925275
18,2000,430000,湖南省,湖南,347.83,3551.49,0.0979391748252142
19,2000,440000,广东省,广东,1080.32,10810.21,0.09993515389617778
20,2000,450000,广西壮族自治区,广西,258.49,2080.04,0.12427164862214189
21,2000,460000,海南省,海南,64.12,526.82,0.12171140047834175
22,2000,500000,重庆市,重庆,187.64,1822.06,0.10298233867161344
23,2000,510000,四川省,四川,452.0,3928.2,0.11506542436739474
24,2000,520000,贵州省,贵州,201.57,1029.92,0.19571423023147427
25,2000,530000,云南省,云南,414.11,2030.08,0.20398703499369483
26,2000,540000,西藏自治区,西藏,59.97,117.8,0.5090831918505943
27,2000,610000,陕西省,陕西,271.76,1804.0,0.1506430155210643
28,2000,620000,甘肃省,甘肃,188.23,1052.88,0.17877630879112527
29,2000,630000,青海省,青海,68.26,263.68,0.2588743932038835
30,2000,640000,宁夏回族自治区,宁夏,60.84,295.02,0.20622330689444787
31,2000,650000,新疆维吾尔自治区,新疆,190.95,1363.56,0.14003784211915868
32,2001,110000,北京市,北京,559.11,3861.5,0.14479088437135829
33,2001,120000,天津市,天津,234.67,1756.89,0.13357125374952328
34,2001,130000,河北省,河北,514.18,5062.9,0.10155839538604357
35,2001,140000,山西省,山西,289.5,2029.53,0.14264386335752613
36,2001,150000,内蒙古自治区,内蒙古,319.26,1713.81,0.18628669455773977
37,2001,210000,辽宁省,辽宁,635.43,5033.08,0.12625072520206315
38,2001,220000,吉林省,吉林,326.43,1900.85,0.17172843727805984
39,2001,230000,黑龙江省,黑龙江,478.27,3043.38,0.15715093087291102
40,2001,310000,上海市,上海,708.14,5257.66,0.1346872943476756
41,2001,320000,江苏省,江苏,729.64,9456.84,0.07715473667736791
