row_id,year,province,province_2,id,social_consumption,gdp,social_consumption_2,field_008,field_009
1,2000,110000,北京市,北京,1443.3,3277.8,0.440325828299469,数据来源：,中国统计年鉴
2,2000,120000,天津市,天津,736.6,1591.67,0.462784371132207,,
3,2000,130000,河北省,河北,1613.9,4628.15,0.348713848946123,,
4,2000,140000,山西省,山西,629.1,1845.72,0.340842598010532,,
5,2000,150000,内蒙古自治区,内蒙古,484.0,1539.12,0.314465408805031,,
6,2000,210000,辽宁省,辽宁,1847.6,4669.06,0.395711342325864,,
7,2000,220000,吉林省,吉林,810.9,1751.35,0.463014246152968,,
8,2000,230000,黑龙江省,黑龙江,1094.0,2855.5,0.383120294169147,,
9,2000,310000,上海市,上海,1722.3,4812.15,0.357906549047723,,
10,2000,320000,江苏省,江苏,2604.1,8553.69,0.304441708782993,,
11,2000,330000,浙江省,浙江,2298.8,6164.79,0.372891858441245,,
12,2000,340000,安徽省,安徽,1054.3,3125.33,0.337340376856204,,
13,2000,350000,福建省,福建,1372.8,3764.54,0.364666068098626,,
14,2000,360000,江西省,江西,704.9,2003.07,0.351909818428712,,
15,2000,370000,山东省,山东,2545.9,8278.06,0.3075479037359,,
16,2000,410000,河南省,河南,1786.7,5052.99,0.353592625356472,,
17,2000,420000,湖北省,湖北,1789.4,3545.39,0.504711752444724,,
18,2000,430000,湖南省,湖南,1364.7,3551.49,0.384261253727309,,
19,2000,440000,广东省,广东,4071.9,10810.21,0.376671683528812,,
20,2000,450000,广西壮族自治区,广西,859.2,2080.04,0.413068979442703,,
21,2000,460000,海南省,海南,172.5,526.82,0.327436316009263,,
22,2000,500000,重庆市,重庆,643.4,1822.06,0.353116801861629,,
23,2000,510000,四川省,四川,1523.7,3928.2,0.387887582098671,,
24,2000,520000,贵州省,贵州,343.7,1029.92,0.333715240018642,,
25,2000,530000,云南省,云南,583.2,2030.08,0.287279319041614,,
26,2000,540000,西藏自治区,西藏,42.9,117.8,0.364176570458404,,
27,2000,610000,陕西省,陕西,607.6,1804.0,0.336807095343681,,
28,2000,620000,甘肃省,甘肃,362.7,1052.88,0.344483701846364,,
29,2000,630000,青海省,青海,82.1,263.68,0.311362257281553,,
30,2000,640000,宁夏回族自治区,宁夏,90.2,295.02,0.305741983594333,,
31,2000,650000,新疆维吾尔自治区,新疆,374.5,1363.56,0.274648713661298,,
32,2001,110000,北京市,北京,1593.5,3861.5,0.412663472743752,,
33,2001,120000,天津市,天津,832.7,1756.89,0.47396251330476,,
34,2001,130000,河北省,河北,1778.3,5062.9,0.351241383396867,,
35,2001,140000,山西省,山西,679.9,2029.53,0.335003670800629,,
36,2001,150000,内蒙古自治区,内蒙古,537.3,1713.81,0.313511999579883,,
37,2001,210000,辽宁省,辽宁,2034.9,5033.08,0.404305117343654,,
38,2001,220000,吉林省,吉林,909.1,1900.85,0.478259725912092,,
39,2001,230000,黑龙江省,黑龙江,1198.9,3043.38,0.393937004251852,,
40,2001,310000,上海市,上海,1861.3,5257.66,0.354016805955501,,
41,2001,320000,江苏省,江苏,2869.0,9456.84,0.303378295498285,,
42,2001,330000,浙江省,浙江,2555.5,6927.7,0.368881446944874,,
43,2001,340000,安徽省,安徽,1142.8,3502.78,0.326255145912675,,
44,2001,350000,福建省,福建,1499.5,4072.85,0.36816970917171,,
45,2001,360000,江西省,江西,763.3,2175.68,0.350832843065157,,
46,2001,370000,山东省,山东,2834.9,9076.22,0.312343684926104,,
47,2001,410000,河南省,河南,1979.8,5533.01,0.357816089253408,,
48,2001,420000,湖北省,湖北,1975.2,3880.53,0.509002636237833,,
49,2001,430000,湖南省,湖南,1511.1,3831.9,0.394347451655837,,
50,2001,440000,广东省,广东,4515.3,12126.59,0.372347048923069,,
51,2001,450000,广西壮族自治区,广西,935.9,2279.34,0.410601314415576,,
52,2001,460000,海南省,海南,187.5,579.18,0.32373355433544,,
53,2001,500000,重庆市,重庆,699.3,2014.59,0.347117775825354,,
54,2001,510000,四川省,四川,1680.4,4293.49,0.391383233686348,,
55,2001,520000,贵州省,贵州,378.0,1133.27,0.333548051214627,,
56,2001,530000,云南省,云南,655.4,2159.0,0.303566465956461,,
57,2001,540000,西藏自治区,西藏,49.0,139.16,0.352112676056338,,
58,2001,610000,陕西省,陕西,665.1,2010.62,0.330793486586227,,
59,2001,620000,甘肃省,甘肃,395.4,1125.37,0.351351111190097,,
60,2001,630000,青海省,青海,90.4,300.13,0.30120281211475,,
61,2001,640000,宁夏回族自治区,宁夏,98.9,337.44,0.293089141773352,,
62,2001,650000,新疆维吾尔自治区,新疆,406.3,1491.6,0.272392062215071,,
63,2002,110000,北京市,北京,1744.8,4525.7,0.385531519985859,,
64,2002,120000,天津市,天津,941.4,1926.87,0.488564355664887,,
65,2002,130000,河北省,河北,1968.3,5518.9,0.356647157948142,,
66,2002,140000,山西省,山西,755.4,2324.8,0.32493117687543,,
67,2002,150000,内蒙古自治区,内蒙古,606.0,1940.94,0.312219852236545,,
68,2002,210000,辽宁省,辽宁,2258.4,5458.22,0.413761262829274,,
69,2002,220000,吉林省,吉林,1008.1,2043.09,0.493419281578394,,
70,2002,230000,黑龙江省,黑龙江,1320.0,3242.71,0.407066928587509,,
71,2002,310000,上海市,上海,2035.2,5795.02,0.351198097676971,,
72,2002,320000,江苏省,江苏,3215.8,10606.85,0.303181434638936,,
73,2002,330000,浙江省,浙江,2877.5,8040.66,0.357868632674432,,
74,2002,340000,安徽省,安徽,1228.7,3827.66,0.321005522956584,,
75,2002,350000,福建省,福建,1663.3,4467.55,0.372306969144162,,
76,2002,360000,江西省,江西,832.7,2450.48,0.339810975808821,,
77,2002,370000,山东省,山东,3181.9,10076.52,0.315773699650276,,
78,2002,410000,河南省,河南,2189.8,6035.48,0.362821184064896,,
79,2002,420000,湖北省,湖北,2198.4,4212.82,0.52183572998609,,
80,2002,430000,湖南省,湖南,1678.9,4151.54,0.404404148821883,,
81,2002,440000,广东省,广东,5013.6,13601.89,0.36859583484354,,
82,2002,450000,广西壮族自治区,广西,1025.5,2523.73,0.406342992316928,,
83,2002,460000,海南省,海南,204.4,642.74,0.318013504683076,,
84,2002,500000,重庆市,重庆,763.1,2279.8,0.334722344065269,,
85,2002,510000,四川省,四川,1850.1,4725.01,0.391554726868303,,
86,2002,520000,贵州省,贵州,416.2,1243.43,0.334719284559645,,
87,2002,530000,云南省,云南,711.3,2358.73,0.301560585569353,,
88,2002,540000,西藏自治区,西藏,53.2,162.04,0.328313996544063,,
89,2002,610000,陕西省,陕西,728.2,2253.39,0.323157553730158,,
90,2002,620000,甘肃省,甘肃,433.5,1232.03,0.35185831513843,,
91,2002,630000,青海省,青海,101.0,340.65,0.296492000587113,,
92,2002,640000,宁夏回族自治区,宁夏,108.8,377.16,0.288471736133206,,
93,2002,650000,新疆维吾尔自治区,新疆,442.9,1612.64,0.274642821708503,,
94,2003,110000,北京市,北京,1916.7,5267.2,0.363893529769137,,
95,2003,120000,天津市,天津,922.3,2257.77,0.408500422983741,,
96,2003,130000,河北省,河北,2177.9,6333.6,0.343864468864469,,
97,2003,140000,山西省,山西,729.3,2854.25,0.255513707628974,,
98,2003,150000,内蒙古自治区,内蒙古,726.8,2388.38,0.304306684865892,,
99,2003,210000,辽宁省,辽宁,2330.8,5906.29,0.394630131605458,,
100,2003,220000,吉林省,吉林,1110.3,2141.03,0.518582177736884,,
101,2003,230000,黑龙江省,黑龙江,1376.5,3609.73,0.381330459618863,,
102,2003,310000,上海市,上海,2220.6,6804.04,0.326364924368463,,
103,2003,320000,江苏省,江苏,3566.5,12442.87,0.286630013815141,,
104,2003,330000,浙江省,浙江,3157.1,9753.37,0.323693246539401,,
105,2003,340000,安徽省,安徽,1331.2,4307.77,0.309022997978072,,
106,2003,350000,福建省,福建,1740.4,4999.59,0.348108544900682,,
107,2003,360000,江西省,江西,923.2,2812.7,0.328225548405447,,
108,2003,370000,山东省,山东,3936.5,10903.23,0.36103980196694,,
109,2003,410000,河南省,河南,2426.4,6942.41,0.349503990689112,,
110,2003,420000,湖北省,湖北,2358.7,4757.45,0.495790812304911,,
111,2003,430000,湖南省,湖南,1816.3,4659.95,0.389768130559341,,
112,2003,440000,广东省,广东,5606.0,15979.77,0.35081856622467,,
113,2003,450000,广西壮族自治区,广西,857.7,2798.17,0.306521762437593,,
114,2003,460000,海南省,海南,191.6,713.96,0.268362373242198,,
115,2003,500000,重庆市,重庆,835.5,2615.57,0.31943324017327,,
116,2003,510000,四川省,四川,2091.1,5346.2,0.3911376304665,,
117,2003,520000,贵州省,贵州,458.8,1428.97,0.321070421352443,,
118,2003,530000,云南省,云南,782.5,2633.39,0.297145504463828,,
119,2003,540000,西藏自治区,西藏,58.3,185.97,0.313491423347852,,
120,2003,610000,陕西省,陕西,853.2,2587.72,0.329711097027499,,
121,2003,620000,甘肃省,甘肃,474.6,1399.94,0.339014529194108,,
122,2003,630000,青海省,青海,102.7,385.0,0.266753246753247,,
123,2003,640000,宁夏回族自治区,宁夏,120.8,442.61,0.272926504145862,,
124,2003,650000,新疆维吾尔自治区,新疆,421.2,1889.17,0.222955054336031,,
125,2004,110000,北京市,北京,2191.8,6252.5,0.350547780887645,,
126,2004,120000,天津市,天津,1052.7,2621.1,0.401625271832437,,
127,2004,130000,河北省,河北,2522.9,7588.6,0.332459215138497,,
128,2004,140000,山西省,山西,884.8,3495.99,0.253089968792817,,
129,2004,150000,内蒙古自治区,内蒙古,892.0,2942.35,0.303159039543222,,
130,2004,210000,辽宁省,辽宁,2642.8,6469.81,0.40848185649965,,
131,2004,220000,吉林省,吉林,1252.6,2455.21,0.510180391901304,,
132,2004,230000,黑龙江省,黑龙江,1555.4,4134.72,0.376180249206718,,
133,2004,310000,上海市,上海,2454.6,8101.55,0.302979059562676,,
134,2004,320000,江苏省,江苏,4159.7,14823.13,0.280622243750139,,
135,2004,330000,浙江省,浙江,3645.4,11482.11,0.317485200890777,,
136,2004,340000,安徽省,安徽,1503.1,5129.12,0.293052219484044,,
137,2004,350000,福建省,福建,1995.8,5712.08,0.349399868349183,,
138,2004,360000,江西省,江西,1059.9,3398.06,0.311913268158891,,
139,2004,370000,山东省,山东,4483.4,13308.08,0.336893075484968,,
140,2004,410000,河南省,河南,2808.2,8411.19,0.333864768243257,,
141,2004,420000,湖北省,湖北,2667.5,5546.78,0.480909644875045,,
142,2004,430000,湖南省,湖南,2069.8,5542.62,0.373433502567378,,
143,2004,440000,广东省,广东,6370.4,18658.34,0.3414237279415,,
144,2004,450000,广西壮族自治区,广西,973.4,3305.12,0.2945127559665,,
145,2004,460000,海南省,海南,220.2,802.68,0.274330991179549,,
146,2004,500000,重庆市,重庆,955.0,3059.54,0.312138426037901,,
147,2004,510000,四川省,四川,2384.0,6303.96,0.378174988419977,,
148,2004,520000,贵州省,贵州,517.6,1649.4,0.313811082817994,,
149,2004,530000,云南省,云南,884.9,3136.38,0.282140556947819,,
150,2004,540000,西藏自治区,西藏,63.7,217.93,0.292295691277016,,
151,2004,610000,陕西省,陕西,966.5,3141.56,0.307649702695476,,
152,2004,620000,甘肃省,甘肃,535.8,1653.61,0.324018359830915,,
153,2004,630000,青海省,青海,115.6,443.73,0.260518783945192,,
154,2004,640000,宁夏回族自治区,宁夏,137.8,519.92,0.265040775503924,,
155,2004,650000,新疆维吾尔自治区,新疆,482.1,2170.43,0.222121883682035,,
156,2005,110000,北京市,北京,2911.7,7149.77,0.407243869383211,,
157,2005,120000,天津市,天津,1201.6,3158.6,0.380421705819034,,
158,2005,130000,河北省,河北,2969.5,8773.4,0.338466273052636,,
159,2005,140000,山西省,山西,1410.7,4079.38,0.345812353838083,,
160,2005,150000,内蒙古自治区,内蒙古,1358.1,3523.7,0.38541873598774,,
161,2005,210000,辽宁省,辽宁,3014.4,7260.77,0.415162579175487,,
162,2005,220000,吉林省,吉林,1470.3,2776.53,0.529545872005705,,
163,2005,230000,黑龙江省,黑龙江,1773.8,4756.37,0.372931458233905,,
164,2005,310000,上海市,上海,2979.5,9197.13,0.323959757011155,,
165,2005,320000,江苏省,江苏,5735.5,18121.33,0.316505466210262,,
166,2005,330000,浙江省,浙江,4645.9,13028.33,0.356599809799107,,
167,2005,340000,安徽省,安徽,1776.7,5675.85,0.313028004616049,,
168,2005,350000,福建省,福建,2351.7,6415.47,0.366567063675771,,
169,2005,360000,江西省,江西,1244.9,3941.23,0.315865859135346,,
170,2005,370000,山东省,山东,6166.9,15947.51,0.386699867252004,,
171,2005,410000,河南省,河南,3380.9,10243.47,0.330054171096318,,
172,2005,420000,湖北省,湖北,2985.9,6469.66,0.461523480368366,,
