row_id,province,province_2,region,year,gdp,primary_industry,primary_industry_2,tertiary_industry,tertiary_industry_2,secondary_industry,secondary_industry_2,industrial_structure,industrial_structure_2
1,110000,北京市,北京,2000,3277.8,79.3,2.4,2174.9,66.4,1023.7,31.2,2.12454820748266,2.64
2,120000,天津市,天津,2000,1591.67,73.69,4.6,723.23,45.5,794.75,49.9,0.910009436929852,2.409
3,130000,河北省,河北,2000,4628.15,824.7,17.82,1656.8,35.8,2146.7,46.38,0.771789257930777,2.1798
4,140000,山西省,山西,2000,1845.72,179.86,9.74,807.49,43.8,858.37,46.51,0.940724862238895,2.3416
5,150000,内蒙古自治区,内蒙古,2000,1539.12,350.8,22.79,605.74,39.3,582.57,37.9,1.03977204456117,2.1649
6,210000,辽宁省,辽宁,2000,4669.06,491.73,10.53,1841.24,39.43,2336.09,50.03,0.788171688590765,2.2888
7,220000,吉林省,吉林,2000,1751.35,395.32,21.4,680.3,35.7,675.73,42.9,1.00676305625028,2.143
8,230000,黑龙江省,黑龙江,2000,2855.5,375.53,13.15,846.5,29.65,1633.4,57.2,0.518244153299865,2.165
9,310000,上海市,上海,2000,4812.15,74.8,1.6,2521.6,52.4,2215.8,46.4,1.13800884556368,2.516
10,320000,江苏省,江苏,2000,8553.69,1048.34,12.26,3069.46,35.88,4435.89,51.86,0.691960350684981,2.2362
11,330000,浙江省,浙江,2000,6164.79,630.97,10.2,2246.72,36.4,3287.1,53.3,0.683496090779106,2.26
12,340000,安徽省,安徽,2000,3125.33,741.77,23.7,1321.33,42.3,1062.23,34.0,1.24392080811124,2.186
13,350000,福建省,福建,2000,3764.54,616.37,16.4,1525.83,40.5,1622.33,43.1,0.940517650539656,2.241
14,360000,江西省,江西,2000,2003.07,485.14,24.22,817.17,40.8,700.76,34.98,1.16611964153205,2.1658
15,370000,山东省,山东,2000,8278.06,1252.08,15.1,2905.79,35.1,4120.19,49.8,0.705256310995367,2.2
16,410000,河南省,河南,2000,5052.99,1124.93,22.26,1645.59,32.57,2282.48,45.17,0.720965791595107,2.1031
17,420000,湖北省,湖北,2000,3545.39,662.3,18.7,1450.34,40.8,1432.75,40.4,1.01227708951317,2.219
18,430000,湖南省,湖南,2000,3551.49,784.92,22.1,1473.39,41.5,1293.18,36.4,1.13935415023431,2.194
19,440000,广东省,广东,2000,10810.21,986.32,9.12,4781.15,44.2,5042.75,46.7,0.948123543701353,2.3512
20,450000,广西壮族自治区,广西,2000,2080.04,557.38,26.8,791.78,38.1,730.88,35.1,1.08332421190893,2.113
21,460000,海南省,海南,2000,526.82,192.0,36.44,230.85,43.9,103.97,19.7,2.22035202462249,2.0754
22,500000,重庆市,重庆,2000,1822.06,280.45,15.4,766.98,42.1,774.63,42.5,0.990124317416057,2.267
23,510000,四川省,四川,2000,3928.2,945.58,24.07,1549.51,39.45,1433.11,36.48,1.08122195783994,2.1538
24,520000,贵州省,贵州,2000,1029.92,270.99,26.3,367.73,35.7,391.2,38.0,0.940005112474438,2.094
25,530000,云南省,云南,2000,2030.08,442.29,21.79,751.64,37.03,836.15,41.19,0.898929617891527,2.1526
26,540000,西藏自治区,西藏,2000,117.8,35.41,30.1,55.34,46.98,27.05,22.9,2.04584103512015,2.1684
27,610000,陕西省,陕西,2000,1804.0,258.22,14.31,763.2,42.31,782.58,43.38,0.975235758644484,2.28
28,620000,甘肃省,甘肃,2000,1052.88,194.1,18.44,437.13,41.52,421.65,40.05,1.0367129135539,2.231
29,630000,青海省,青海,2000,263.68,40.12,15.22,142.66,54.1,80.9,30.7,1.76341161928307,2.3892
30,640000,宁夏回族自治区,宁夏,2000,295.02,46.03,15.6,127.56,43.24,121.43,41.16,1.05048175903813,2.2764
31,650000,新疆维吾尔自治区,新疆,2000,1363.56,274.38,20.1,564.18,41.4,525.0,38.5,1.07462857142857,2.213
32,110000,北京市,北京,2001,3861.5,80.8,2.1,2653.6,68.7,1127.2,29.2,2.3541518807665,2.666
33,120000,天津市,天津,2001,1756.89,78.73,4.5,819.4,46.6,858.76,48.9,0.954166472588383,2.421
34,130000,河北省,河北,2001,5062.9,913.9,18.1,1855.4,36.6,2293.5,45.3,0.808981905384783,2.185
35,140000,山西省,山西,2001,2029.53,171.09,8.43,902.43,44.46,956.01,47.1,0.943954561144758,2.3601
