row_id,field_001,field_002,field_003,field_004,field_005,field_006,field_007,field_008,field_009,field_010,field_011,field_012,field_013,field_014,field_015,field_016,field_017,field_018,field_019,field_020,field_021,field_022,field_023,field_024,field_025,field_026,field_027,field_028,field_029,field_030,field_031,field_032
1,,,金融机构本外币各项存款余额,,金融机构本外币各项存款余额,金融机构本外币各项存款余额,,金融机构本外币各项存款余额,金融机构本外币各项存款余额,,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,,,,金融机构本外币各项存款余额,,,金融机构本外币各项存款余额,金融机构本外币各项存款余额,,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额,金融机构本外币各项存款余额
2,,,天津,,山西,内蒙古,,吉林,黑龙江,,江苏,浙江,安徽,福建,江西,山东,河南,湖北,,,,海南,,,贵州,云南,,陕西,甘肃,青海,宁夏,新疆
3,,,年,,年,年,,年,年,,年,年,年,年,年,年,年,年,,,,年,,,年,年,,年,年,年,年,年
4,,,亿元,,亿元,亿元,,亿元,亿元,,亿元,亿元,亿元,亿元,亿元,亿元,亿元,亿元,,,,亿元,,,亿元,亿元,,亿元,亿元,亿元,亿元,亿元
5,2000.0,11526.0,,3780.74,,,5880.0,,,9349.83,9027.65,,,,,,,,2874.75,19083.64,2269.07,,1982.21,4513.2,,,144.98,,,,,
6,2001.0,14109.2,2858.86,4053.75,,,6591.37,,,11247.9,,,,,,,,,3342.91,21714.85,2518.94,,2377.99,5256.78,,,214.02,,,,,
7,2002.0,17438.37,3358.89,4543.39,,,7600.11,,,14035.77,,11899.34,,,,,,,3923.17,25409.9,2784.14,891.93,2903.42,6075.03,,,284.29,,,,,
8,2003.0,20475.98,4362.6,5273.35,4751.62,2128.17,8942.57,3446.9,4976.7,17318.38,16183.43,15415.67,4275.02,5608.23,3308.32,12837.82,7779.11,6159.89,4669.0,29640.83,3175.34,1050.45,3512.82,7235.77,1917.4,3838.5,322.23,4729.97,2173.65,544.36,761.38,2710.12
9,2004.0,23781.35,5139.72,9249.94,5885.8,2615.9,10193.5,3804.1,5458.8,19994.05,19036.18,17855.05,5125.59,6450.6,3822.9,14904.94,8879.4,7204,5500.47,33252.01,3673.19,1159.31,4105.09,8462.11,2342,4474.1,363.29,5491.6,2528,607.5,851,3003
10,2005.0,28969.9,6090.5,10764.93,7151.17,3331.5,11966.95,4374.5,6256.4,23320.86,22821.57,21117.94,6068.79,7654.12,4510.09,17478,10126.7,8335.9,6498.23,38119.91,4262.3,1302.29,4784.76,9905.33,2793,5199.5,456.3,6549,2931.37,737.8,993.74,3458.9
11,2006.0,33793.31,6839.2,12551.62,8655.98,4075.3,13596.78,5071.8,7032.7,26454.88,26722.83,25005.92,7177.91,9260.17,5275.4,20006.6,11606.6,9711.2,7719.43,43262.2,5029.47,1560.3,5587.5,11802.14,3316,6192.7,545.74,7554.5,3341.3,903.72,1140.31,4068.9
12,2007.0,37700.25,8242.07,14355.59,10111.88,4986.1,15117.8,6433.34,7657.7,30315.53,31337.99,29030.34,8485.85,10372.29,5954.4,22414.4,12669.4,11211.1,9083.27,48955.03,5801.04,1873,6662.36,13980.36,3838.7,7215.6,643.36,8608.8,3765,1105.21,1288.19,4638.4
13,2008.0,43980.7,9954.16,17709.02,12827.6,6380.5,18223.21,6433.34,9077.5,35589.07,38063.38,35481.2,10386.99,12172.08,7261.96,27295.3,15340.1,13574.9,10895.49,56119.28,7075.02,2350.86,8102.0,18661.04,4750,8470.5,829.02,10927.6,4745.67,1389.58,1598.17,5424.38
14,2009.0,56960.12,13887.11,22361.37,15759.8,8414,22758.64,8405.7,11116.8,44620.27,50061.85,45112.01,13404.38,15097.82,9352.8,35170.7,19288.8,17678,13948.0,69691.46,9638.89,3175.7,11084.82,24976.45,5912.5,11174.1,1028.4,14043.44,5903.13,1791.04,2068.42,6877.16
15,2010.0,66584.6,16499.25,26099.0,18639.77,10325.3,27372.55,9702.55,12924.2,52190.04,60583.07,54482.29,16477.59,18753.23,11907.79,41653.7,23246.7,21769,16643.27,82019.4,11813.9,4217.16,13613.97,30299.67,7387.79,13476.2,1296.73,16590.54,7146.66,2326.96,2586.66,8898.6
16,2011.0,75001.91,17586.91,29563.77,21003.24,12132.48,30832.44,10961.95,14416.36,58186.48,67638.75,60893.14,19547.33,21571.6,14322.05,46986.51,26774.8,32902.8,19444.1,91590.15,13527.97,4510.03,16128.87,34971.21,8771.34,15429,1662.5,19348.66,8460.94,2834.81,2978.4,10442.8
17,2012.0,84837.31,20293.79,34257.16,24156.95,13672.99,35303.47,12812.13,16540.7,63555.25,78109,66679.08,23211.45,25057.75,16839.02,55386.41,31970.4,28257.85,23147.15,105099.55,15966.65,5109.7,19423.9,41576.8,10567.83,18061.48,2054.25,22843.39,10129.69,3538.4,3507.16,12423.53
18,2013.0,91660.54,23316.56,39444.45,26269.02,15263.75,39418.02,14885.94,18293.37,69256.32,88302.07,73732.36,26938.23,28938.81,19582.71,63357.88,37591.7,32902.83,26876.03,119685.15,18400.48,5952.5,22789.17,48122.05,13297.62,20829.34,2500.94,25736.72,12070.64,4110.74,3881.4,14247.54
19,2014.0,100095.54,24777.75,43764.02,26942.93,16290.58,42053.1,16526.3,19423.25,73882.45,96939.01,79241.9,30088.8,31858.43,21754.91,69151.92,41931.1,36494.82,30255.58,127881.47,20298.54,6427.88,25160.11,53935.75,15307.38,22528.01,3089.19,28288.72,13957.98,4541.35,4228.84,15216.98
