row_id,id,province,year,field_004,field_005,field_006,field_007,field_008,firm,firm_2,field_011,firm_3,income,index,index_2,field_016,digital_economy_index
1,1,北 京,2011,65.5,8459.2624,966.8,154.27,9.4695238,371,57,5090.4302,2.5266667,30704457.0,97.53,72.23,32.59,0.2466762164269124
2,1,北 京,2012,125.6,8464.9992,1076.8,156.9,11.437771,420,58,8527.0898,6.32,36765627.0,155.56,159.42,118.47,0.3059069122523387
3,1,北 京,2013,185.7,8472.4024,1186.8,159.53,13.406018,410,59,12345.3,7.5,42106311.0,193.86,247.5,229.57,0.3601746521471172
4,1,北 京,2014,265.5,8525.4576,1159.9,189.46,14.722246,397,60,16576.301,12.6,47965752.0,243.92,219.89,235.22,0.4076682341202463
5,1,北 京,2015,485.7,8564.4256,1580.5,181.73,16.787991,402,63,20064.6,17.1,54228650.0,268.39,234.17,379.48,0.4818099018454977
6,1,北 京,2016,645.7,8614.8592,1784.0,178.06,18.689208,390,64,21367.301,18.0,64160228.0,285.64877,263.73841,329.89713,0.5061005549924756
7,1,北 京,2017,537.5,8633.5816,1818.0,172.85,9.5548349,374,65,29441.5,19.0,78366516.0,316.11839,357.2373,326.01867,0.5214902713517083
8,1,北 京,2018,443.5,8639.1864,2059.9,186.11,22.97304,360,64,28884.801,20.7,97289178.0,353.86707,366.78169,420.18898,0.5611467083732027
9,1,北 京,2019,505.0,8643.48,2060.1,186.66,23.880994,373,58,36656.398,22.2,119800000.0,384.65586,402.06976,440.82605,0.60006867255025
10,1,北 京,2020,373.2,8683.6376,2084.1,178.43,26.81813,394,58,41128.199,22.8,157400000.0,397.00187,445.83295,436.02171,0.6163143935765445
11,1,北 京,2021,566.0,8765.5192,2030.8,181.49,28.755909,405,57,48096.0,23.5,203800000.0,432.92659,474.2983,434.34999,0.6783807791788242
12,1,北 京,2022,738.9,8847.4008,2114.5,179.8,30.002486,416,54,55063.801,24.2,250300000.0,468.85131,502.76365,432.67828,0.7355448972063063
13,2,天 津,2011,11.9,363.48393,569.5,105.72,7.3288235,360,51,1591.3,5.3466667,4059928.2,69.37,53.33,44.72,0.1035895568098453
14,2,天 津,2012,11.7,347.06165,461.7,97.8,9.1088,406,52,2283.1899,6.21,5542195.3,110.61,135.77,140.44,0.1366459274763385
15,2,天 津,2013,11.5,346.8235,353.9,89.88,10.888777,425,53,1984.5,5.4,7113918.4,146.54,197.52,229.67,0.160227324283985
16,2,天 津,2014,15.4,351.90753,397.7,89.12,12.434766,400,54,3347.1001,7.1,9068842.1,193.86,180.28,257.11,0.1784863368562361
17,2,天 津,2015,34.9,353.34568,470.2,88.54,13.704984,412,54,5217.0,9.1,10078453.0,211.89,195.46,398.62,0.2177629643958487
18,2,天 津,2016,35.4,355.00793,724.3,96.01,15.367966,413,53,4469.7998,8.4,11858459.0,225.41186,231.61467,339.14709,0.2166770759743333
19,2,天 津,2017,26.5,355.63988,795.3,101.49,17.106159,375,52,4395.7998,6.6,13519355.0,257.90373,310.1329,322.90548,0.2251564433897449
20,2,天 津,2018,26.7,355.87078,897.4,105.7,19.897296,325,47,5012.2998,6.6,16405911.0,295.34759,317.93839,386.10428,0.2442165645814262
21,2,天 津,2019,33.4,356.04765,1092.6,109.15,30.259601,310,43,5572.7002,7.3,20261151.0,323.8566,349.01278,402.11102,0.2657849640494892
22,2,天 津,2020,33.7,357.70183,1254.6,123.4,31.496392,320,40,6746.0,6.8,23749314.0,340.2899,373.90688,408.73769,0.2794024627111025
23,2,天 津,2021,30.3,361.07475,1352.5,127.1,27.167623,354,39,7840.8999,7.3,26583571.0,381.74545,404.55713,425.92056,0.2939144699394751
24,2,天 津,2022,21.8,364.44768,1420.4,132.8,28.99682,388,32,8935.7998,7.8,29417828.0,423.20101,435.20739,443.10342,0.3082614718756868
25,3,河 北,2011,29.3,958.2758,1462.7,70.29,2.5783898,172,38,1059.85,0.74,1021628.3,18.46,44.19,57.15,0.07045966463604532
26,3,河 北,2012,27.3,955.2459,1756.0,76.1,3.4295551,206,44,1633.73,2.08,1272830.7,65.46,108.15,133.9,0.1105213011533073
27,3,河 北,2013,25.3,954.5904,2049.3,81.91,4.2807203,238,50,1975.3,2.7,1342256.2,105.66,162.85,242.35,0.1519120280568985
28,3,河 北,2014,36.0,956.1261,2204.7,84.36,4.6525424,257,56,2748.1001,4.4,1499060.4,149.97,131.34,249.86,0.1692159532916655
29,3,河 北,2015,60.4,959.0811,2948.5,82.63,5.4639831,293,57,2303.5,6.6,1844661.0,172.78,151.45,375.2,0.2091015392724956
30,3,河 北,2016,74.9,963.5929,3841.1,95.33,6.25,332,57,3461.6001,8.4,2101821.9,191.54962,196.87416,321.45995,0.2269219119913382
31,3,河 北,2017,63.8,965.3082,4126.9,100.83,9.0810381,353,57,5283.7002,6.9,2378556.8,232.89192,273.45063,313.86534,0.2439803555317943
32,3,河 北,2018,86.8,965.935,4192.4,108.46,11.226165,366,56,4527.5,6.7,2641618.6,264.06173,267.9248,371.55034,0.2628381400000296
33,3,河 北,2019,138.4,966.415,4345.8,109.53,11.568856,336,55,4652.2998,7.1,3266655.9,284.38708,297.33108,387.38317,0.2788575235234793
34,3,河 北,2020,100.2,970.905,4598.2,111.73,11.81197,345,51,6119.8999,7.7,1704046.0,304.09539,318.41535,391.91855,0.2834583285768019
35,3,河 北,2021,81.3,980.06,5012.5,116.05,12.184322,389,50,6056.2998,7.5,4429647.1,335.68914,352.95139,406.84325,0.2974536940903873
36,3,河 北,2022,55.6,989.215,5321.7,117.7,13.254401,433,43,5992.6997,7.3,7155248.2,367.28288,387.48743,421.76795,0.3050328288495715
37,4,山 西,2011,6.0,429.5719,593.1,68.25,3.8257817,37,35,396.95999,1.1,317467.05,28.94,21.61,69.57,0.05322840902935361
38,4,山 西,2012,7.1,429.6954,737.4,76.9,3.8270581,43,39,523.17999,1.1,299441.5,75.2,86.48,163.5,0.09041917410568985
39,4,山 西,2013,8.2,429.4005,881.7,85.55,3.8283344,52,43,611.20001,1.8,277591.7,115.4,139.08,248.75,0.1255778079795541
40,4,山 西,2014,13.2,428.2648,996.8,91.35,4.32291,43,47,899.90002,3.7,227373.6,163.16,124.78,260.43,0.1443903668819429
41,4,山 西,2015,21.5,430.7452,1345.9,88.46,4.8864071,40,46,1057.1,6.1,241540.6,186.14,141.52,390.57,0.1791292416431899
42,4,山 西,2016,23.9,432.77155,1582.9,91.42,5.7740906,48,45,1301.7,8.1,239171.7,205.50537,189.37744,352.95835,0.1886659510224758
43,4,山 西,2017,24.4,433.54195,1840.1,98.53,6.8270581,55,42,1597.3,6.5,298861.6,243.02262,254.97938,324.92193,0.1960875120576414
44,4,山 西,2018,107.6,433.8234,1989.2,106.55,7.6247607,62,39,3372.3,6.3,286991.7,277.02884,249.7299,367.19445,0.220535133123869
45,4,山 西,2019,82.1,434.03905,2148.2,106.92,8.1608168,70,34,3479.6001,6.0,489207.1,305.61027,277.89084,375.06518,0.2238324043889164
46,4,山 西,2020,82.8,436.05555,2322.3,115.22,8.4192725,82,32,3251.0,6.5,692994.1,327.28716,291.36529,383.03569,0.2340010847683107
47,4,山 西,2021,34.9,440.1673,2478.7,118.55,9.4192725,107,30,5039.7998,6.6,709445.2,363.63076,331.72699,397.58149,0.2456900737860105
48,4,山 西,2022,30.8,444.27905,2760.2,118.95,10.137409,132,25,6828.5996,6.7,725896.3,399.97436,372.0887,412.12728,0.2590996168278368
49,5,内蒙古,2011,3.2,264.35195,420.2,97.67,0.24649197,28,38,119.6,1.04,242297.55,24.65,30.27,40.35,0.0559209416718442
50,5,内蒙古,2012,3.9,261.12258,548.7,102.7,0.27235841,32,42,119.6,1.04,253582.0,75.03,95.44,139.78,0.09288106937190342
51,5,内蒙古,2013,4.6,260.9434,677.2,107.73,0.29822485,35,46,298.89999,2.0,278410.7,116.37,138.84,260.45,0.132372329786779
