row_id,variable,n,min,max,mean,std,median,skewness,kurtosis,ks_statistic,ks_p_value
1,RESILIENCE,558,0.207764,0.773938,0.491882,0.09734,0.5006,-0.16996,-0.306978,0.049249,0.129096
2,URB,558,21.453287,89.583333,57.648441,14.075014,57.143765,0.251141,0.06183,0.052351,0.09062
3,GOV,558,9.693079,135.377664,27.482479,19.533844,22.55269,3.412049,13.399565,0.197751,0.0
4,INNO,558,0.302901,7.201846,2.111902,1.538119,1.371184,1.283778,0.65663,0.193896,0.0
5,EDU,558,9.894548,22.216878,16.246053,2.731899,16.452147,-0.199279,-0.715887,0.064147,0.019367
6,OPENPC,558,5612141.652614,2528686868.68687,303280174.929626,485200366.137898,95911167.52219,2.566495,6.543531,0.276399,0.0
7,FIN,558,1.753323,19.79653,6.757782,3.202527,6.422499,1.831524,4.214211,0.159224,0.0
8,DIG,558,0.55991,13.505555,1.917751,1.704133,1.450424,4.217672,20.754837,0.255219,0.0
9,PRI,558,13.84083,813.381701,158.434183,140.653194,131.325301,2.253483,6.51793,0.170705,0.0
10,INC,558,4609.0,88366.0,23635.114695,14258.043667,21318.0,1.554667,3.427529,0.094506,8.7e-05
11,SOC,558,5.476282,29.971801,13.786266,3.925013,13.643076,0.928141,2.140111,0.064278,0.019004
