row_id,field_001,resilience,urb,gov,inno,edu,openpc,fin,dig,pri,inc,soc
1,RESILIENCE,1.0,0.81831,-0.272572,0.631009,0.009184,0.585679,0.643291,0.544171,0.763995,0.834266,0.067485
2,URB,0.81831,1.0,-0.416701,0.697965,-0.13456,0.762271,0.726551,0.579305,0.779655,0.800324,0.157498
3,GOV,-0.272572,-0.416701,1.0,-0.418933,-0.508609,-0.254616,0.043171,-0.088496,-0.169812,-0.204764,-0.145001
4,INNO,0.631009,0.697965,-0.418933,1.0,0.188644,0.794665,0.570133,0.585466,0.688354,0.663514,-0.214613
5,EDU,0.009184,-0.13456,-0.508609,0.188644,1.0,-0.024094,-0.255546,-0.167754,-0.12083,-0.090009,-0.361005
6,OPENPC,0.585679,0.762271,-0.254616,0.794665,-0.024094,1.0,0.804413,0.773133,0.833447,0.755754,-0.203752
7,FIN,0.643291,0.726551,0.043171,0.570133,-0.255546,0.804413,1.0,0.778346,0.844626,0.773022,-0.045823
8,DIG,0.544171,0.579305,-0.088496,0.585466,-0.167754,0.773133,0.778346,1.0,0.775763,0.73434,0.044848
9,PRI,0.763995,0.779655,-0.169812,0.688354,-0.12083,0.833447,0.844626,0.775763,1.0,0.9409,0.01046
10,INC,0.834266,0.800324,-0.204764,0.663514,-0.090009,0.755754,0.773022,0.73434,0.9409,1.0,0.116373
11,SOC,0.067485,0.157498,-0.145001,-0.214613,-0.361005,-0.203752,-0.045823,0.044848,0.01046,0.116373,1.0
