row_id,variable,n,min,max,mean,variance,std,ks_statistic,ks_p_value,normality
1,PCGDP,558,7778.0,228167.0,54648.200717,1190930446.746,34509.860138,0.106423,6e-06,Non-normal
2,PCRS,558,2362.885463,68823.744292,20738.096303,177404292.19559,13319.32026,0.119255,0.0,Non-normal
3,FSR,558,6.400357,95.086355,47.853511,403.423365,20.085402,0.136144,0.0,Non-normal
4,TIG,558,29.791708,85.267369,48.927578,88.778242,9.422221,0.112107,1e-06,Non-normal
5,RUUR,558,1.2,4.6,3.307527,0.440302,0.663553,0.089756,0.000232,Non-normal
6,HBTP,558,20.59,89.26,52.649534,252.072189,15.876781,0.048007,0.147842,Normal
7,IPR,558,20.0,78.0,47.403226,180.280564,13.42686,0.066083,0.014591,Non-normal
8,URIR,558,1.76387,4.211401,2.61614,0.206622,0.454557,0.079279,0.001693,Non-normal
9,GCR,558,18.1,49.8,39.256093,19.798051,4.4495,0.075453,0.003292,Non-normal
10,WEI,558,5.236999,58.414554,12.253179,29.150733,5.399142,0.193916,0.0,Non-normal
11,SDEI,558,3e-06,0.048291,0.003907,3.4e-05,0.005825,0.251345,0.0,Non-normal
12,EPES,558,0.845368,6.81411,2.900496,1.089424,1.043755,0.073705,0.004412,Non-normal
13,UGPR,558,29.79,100.0,92.541398,90.531666,9.514813,0.216551,0.0,Non-normal
14,UWPR,558,67.57,100.0,97.202527,14.932084,3.864205,0.23455,0.0,Non-normal
15,PCURA,558,4.04,28.0,16.016505,28.078501,5.298915,0.044119,0.220925,Normal
16,REPC,558,26.754386,41274.906367,1733.919021,17443683.338576,4176.56358,0.341362,0.0,Non-normal
