row_id,model,params_json,depth,iterations,l2_leaf_reg,learning_rate,train_r2,train_mae,train_rmse,field_010,val_r2,val_mae,val_rmse,field_014,test_r2,test_mae,test_rmse,field_018
1,CatBoost,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",6,500,3,0.05,0.9956850227604163,0.005150179638573973,0.006451841844035242,1.178302344245679,0.4797299520890337,0.03045427776468922,0.03558607613271655,5.343842914361142,0.6968253026822534,0.02393497336083234,0.03018223952183592,4.412250538335032
2,CatBoost,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",6,500,5,0.05,0.9927275470142375,0.006610421598704817,0.008375966262737925,1.511882445437968,0.4766148489063885,0.03045335854041387,0.03569245248484194,5.336569009459061,0.7020741433520379,0.02320433509870726,0.02991982736414473,4.277099965735567
3,CatBoost,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",6,300,3,0.05,0.987639661032387,0.00873750084768494,0.01091967338932253,2.005022960910964,0.4407648920151136,0.03174165980593555,0.03689460843054059,5.552254781881089,0.684637393553549,0.02469499266721249,0.0307829390998463,4.542238990435431
4,CatBoost,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",6,300,5,0.05,0.9832260093970804,0.01009571808678752,0.01272074819483074,2.328465891693675,0.4364256811060491,0.0313909576103242,0.03703746796778296,5.487104356151548,0.6852366839983386,0.02405714381987724,0.03075367644556832,4.422379138130942
5,CatBoost,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",6,500,3,0.03,0.9884089941580347,0.008350041176036356,0.01057438261656247,1.919944620345837,0.4111485610404854,0.03242905548487457,0.03785894973437024,5.652113978395505,0.695925661644711,0.02378498823673978,0.0302269877606454,4.381269197471234
6,CatBoost,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",6,300,3,0.03,0.9718700074102726,0.01309158782498294,0.01647324915484282,3.029285651366564,0.3881815624328848,0.03287815365798928,0.03859019488081115,5.711871530074538,0.6918498914718194,0.0242168942306954,0.03042889260822013,4.447191934773851
7,CatBoost,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",6,500,5,0.03,0.9840730722573333,0.009823900802262621,0.0123953976331347,2.260784587030759,0.3509383303396443,0.03404437336957664,0.03974739518566291,5.938115729374167,0.6842959236379205,0.02421148208008026,0.03079960024408514,4.448078578552868
8,CatBoost,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",6,300,5,0.03,0.966790256134564,0.01424372684223769,0.0178989362507901,3.297881417338588,0.329742487207406,0.03416046948805788,0.04039117960980113,5.93643774946309,0.6784527688394152,0.02429656708225098,0.03108331803899238,4.44912311121302
9,CatBoost,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",4,500,3,0.05,0.9879137036460771,0.008782394161389605,0.01079794417012691,2.01678704386095,0.3250876387845874,0.03419981820492699,0.04053119259684587,5.917497847805024,0.6138228793449598,0.0257642977258818,0.03406420478850716,4.691002397822381
10,CatBoost,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",4,500,3,0.03,0.9754465567081899,0.01243534531454597,0.01539042669139786,2.881677192135443,0.3212722537463413,0.03431491540356109,0.04064559572255466,5.929937445945471,0.6314104485991028,0.02498786178616115,0.03327947717877491,4.531160635160676
11,CatBoost,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",4,300,3,0.03,0.954890813774408,0.01671317885303007,0.02086060762987812,3.903185631203998,0.3018400316523615,0.03466018806083972,0.04122333874663962,5.953173610617921,0.6260796786692278,0.02525062476236378,0.03351926747725599,4.568394285996296
12,CatBoost,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",4,500,5,0.05,0.984921592457094,0.009665685094329551,0.01206069116947108,2.229785653607331,0.2800676078060584,0.03493709025810801,0.04186118794340875,6.032379323061316,0.6080058694970251,0.02601373949802978,0.03431980148043823,4.72607393814042
13,CatBoost,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.05}",4,300,3,0.05,0.9740537229025501,0.01282567338428641,0.01582092909557168,2.966471243496659,0.2766948035763834,0.03535562524810348,0.04195913089963337,6.096752333910032,0.6058486378436634,0.0261227380122523,0.03441410669676756,4.737825654674619
14,CatBoost,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",4,500,5,0.03,0.9689376140060217,0.01391878159027953,0.01731058976153682,3.236556618760896,0.2495605216108797,0.03554453705664402,0.04273891846957208,6.123508736177513,0.6088293982167964,0.02599241960009718,0.03428373180491094,4.701265513240657
15,CatBoost,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.05}",4,300,5,0.05,0.9709666160306721,0.0133836464191731,0.01673567706696491,3.118261225152791,0.2436179838339053,0.03578897052749522,0.04290780405586189,6.167498827189963,0.6044594339198993,0.02626332039406336,0.0344747003736843,4.752868698207034
16,CatBoost,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",4,300,5,0.03,0.9505174068849707,0.01747365838890561,0.02184845258448949,4.09579991575008,0.2201726104691386,0.03620303292856833,0.04356773012201217,6.201653496879193,0.6020835941786125,0.02646065804074252,0.03457808261090697,4.789650125657956
