row_id,indicator,entropy,redundancy,weight
1,REPC,0.849727,0.150273,0.391477
2,PCGDP,0.962033,0.037967,0.098907
3,PCRS,0.9622,0.0378,0.098473
4,HBTP,0.978527,0.021473,0.05594
5,RUUR,0.978605,0.021395,0.055736
6,IPR,0.978898,0.021102,0.054974
7,EPES,0.979692,0.020308,0.052905
8,FSR,0.980472,0.019528,0.050872
9,TIG,0.981888,0.018112,0.047183
10,PCURA,0.982502,0.017498,0.045585
11,URIR,0.992408,0.007592,0.019778
12,GCR,0.996087,0.003913,0.010193
13,UGPR,0.997816,0.002184,0.00569
14,SDEI,0.998301,0.001699,0.004426
15,UWPR,0.998363,0.001637,0.004264
16,WEI,0.998619,0.001381,0.003597
