row_id,field_001,pc1,pc2,pc3,pc4
1,PCGDP,0.335215,-0.151613,0.12467,0.029264
2,PCRS,0.331437,-0.169923,0.140597,0.038265
3,FSR,0.202345,-0.42433,-0.338677,0.093651
4,TIG,0.254232,-0.211317,0.425135,0.016163
5,RUUR,0.176953,0.071746,0.321393,0.233887
6,HBTP,0.243579,0.311081,0.206513,-0.089682
7,IPR,0.332035,-0.177338,0.055607,0.070976
8,URIR,0.277751,0.092392,-0.26328,-0.109289
9,GCR,0.266083,0.157792,-0.184409,0.202171
10,WEI,0.237527,0.14886,0.349369,-0.189133
11,SDEI,0.28015,0.206443,0.044705,-0.283979
12,EPES,-0.114067,-0.051525,0.232045,0.741959
13,UGPR,0.275862,0.061571,-0.38217,0.272311
14,UWPR,0.259527,0.119828,-0.239696,0.217839
15,PCURA,0.107679,0.555823,-0.144943,0.047124
16,REPC,0.142844,-0.402623,-0.120308,-0.278031
