row_id,admincode,region,zone,year,pcgdp,pcrs,fsr,tig,ruur,hbtp,ipr,hesp,gcr,wei,sdei,epes,ugpr,uwpr,pcura,ptvp
1,110000,北京,东部,1990,,,111.25977149729407,,0.4,,,,,,,,,,,
2,110000,北京,东部,1991,,,113.29802883200941,,0.4,,,,,,,,,,,
3,110000,北京,东部,1992,6468.0,,111.86228045720658,44.79019994367784,0.3,,,,,,,,,,,
4,110000,北京,东部,1993,8030.0,,103.83998024447463,47.18191022612217,0.4,,,,,,,,,,,
5,110000,北京,东部,1994,10280.0,,101.3396934943672,49.599930422682206,0.4,,,,,,,,,,,
6,110000,北京,东部,1995,12762.0,,74.65025906735751,53.13942751615882,0.4,,,,,,,,,,,
7,110000,北京,东部,1996,14495.0,,80.50146705788211,56.89787842145763,0.6,,,,,,,,,,,
8,110000,北京,东部,1997,16949.0,,80.05720823798627,59.779991501817676,0.7,,,,,,,,,,,
9,110000,北京,东部,1998,19625.0,,81.74789796209205,62.6091591160674,0.7,,,,,,,,,,,
10,110000,北京,东部,1999,22054.0,,78.57484726484417,64.55177911442857,0.6,,,,,,,,,,,
11,110000,北京,东部,2000,25014.0,10581.378299120235,77.87810383747178,66.35243150893892,0.8,,,2054.985337243402,,,,,,,,
12,110000,北京,东部,2001,28097.0,11505.415162454872,81.23088479905564,68.71940955587206,1.2,,,2429.6028880866425,,,,,,,,
13,110000,北京,东部,2002,32231.0,12261.419536191144,84.9828917004854,70.88848133990322,1.4,,,2780.744905130007,,,,,,,,
14,110000,北京,东部,2003,36583.0,13164.148351648353,80.6396298312466,70.7529617253949,1.4,,,3121.5659340659345,,,,,,,,
15,110000,北京,东部,2004,42402.0,14680.509042196922,82.87950305027387,70.26629348260695,1.3,,,3345.6128600133957,,15.683806477409036,0.0030547780887644946,,99.75,100.0,9.45,22.75
16,110000,北京,东部,2005,47182.0,18931.729518855656,86.85640313329743,72.10691208145683,2.1,,,3565.0195058517556,,14.127528042742455,0.002657416990685054,,106.8,100.0,10.55,17.64
17,110000,北京,东部,2006,53438.0,20582.76077451593,86.14401159742144,74.25420293311078,2.0,,,3534.041224234853,44.4,12.510075116251341,0.002098485751758674,,113.84,123.36,7.4,22.19
18,110000,北京,东部,2007,63629.0,22883.054892601427,90.49045165201576,75.89851805668793,1.8,,,3449.8806682577565,36.2,10.341662270394705,0.0014550860869982254,1.7932706880872993,100.0,100.0,5.6,21.56
19,110000,北京,东部,2008,68541.0,26230.942970073404,93.77478576423091,77.66885914789513,1.8,69.91,,6750.0,37.2,9.587576504050588,0.0010412169540594764,1.8103496674815878,100.0,100.0,6.21,24.67
20,110000,北京,东部,2009,71059.0,28547.84946236559,87.38622988139021,77.88371353936547,1.4,71.7,,6410.0,47.7,10.914974924230092,0.0009208659860939936,2.330374196441275,100.0,100.0,6.15,24.75
