row_id,year,region,resilience,weight_method,gi_star_z,p_value,gi_bin,class_95
1,2007,上海,0.492164,Fixed Distance Band,1.678602,0.09323,1,Not Significant
2,2007,云南,0.281703,Fixed Distance Band,-2.637215,0.008359,-3,Cold Spot
3,2007,内蒙古,0.379536,Fixed Distance Band,2.003705,0.045102,2,Hot Spot
4,2007,北京,0.594626,Fixed Distance Band,2.170206,0.029991,2,Hot Spot
5,2007,吉林,0.351074,Fixed Distance Band,1.822973,0.068307,1,Not Significant
6,2007,四川,0.332237,Fixed Distance Band,-2.638421,0.008329,-3,Cold Spot
7,2007,天津,0.460004,Fixed Distance Band,2.63134,0.008505,3,Hot Spot
8,2007,宁夏,0.344211,Fixed Distance Band,1.332931,0.182554,0,Not Significant
9,2007,安徽,0.338756,Fixed Distance Band,3.039328,0.002371,3,Hot Spot
10,2007,山东,0.433115,Fixed Distance Band,2.877747,0.004005,3,Hot Spot
11,2007,山西,0.390598,Fixed Distance Band,1.879136,0.060226,1,Not Significant
12,2007,广东,0.413715,Fixed Distance Band,-1.373646,0.169552,0,Not Significant
13,2007,广西,0.247748,Fixed Distance Band,-2.350212,0.018763,-2,Cold Spot
14,2007,新疆,0.362631,Fixed Distance Band,-1.007731,0.313584,0,Not Significant
15,2007,江苏,0.488651,Fixed Distance Band,2.823795,0.004746,3,Hot Spot
16,2007,江西,0.303346,Fixed Distance Band,0.134008,0.893397,0,Not Significant
17,2007,河北,0.387241,Fixed Distance Band,2.63134,0.008505,3,Hot Spot
18,2007,河南,0.333588,Fixed Distance Band,1.887643,0.059074,1,Not Significant
19,2007,浙江,0.482942,Fixed Distance Band,1.396609,0.162531,0,Not Significant
20,2007,海南,0.329509,Fixed Distance Band,-2.361536,0.018199,-2,Cold Spot
21,2007,湖北,0.350573,Fixed Distance Band,0.510258,0.609871,0,Not Significant
22,2007,湖南,0.307334,Fixed Distance Band,-0.877164,0.380398,0,Not Significant
23,2007,甘肃,0.302952,Fixed Distance Band,-0.398146,0.690523,0,Not Significant
24,2007,福建,0.391066,Fixed Distance Band,0.543887,0.586519,0,Not Significant
25,2007,西藏,0.261496,Fixed Distance Band,-0.738153,0.460422,0,Not Significant
26,2007,贵州,0.207764,Fixed Distance Band,-2.549487,0.010788,-2,Cold Spot
27,2007,辽宁,0.374684,Fixed Distance Band,2.404215,0.016207,2,Hot Spot
28,2007,重庆,0.373144,Fixed Distance Band,-2.621462,0.008755,-3,Cold Spot
29,2007,陕西,0.372413,Fixed Distance Band,0.420397,0.674195,0,Not Significant
30,2007,青海,0.380146,Fixed Distance Band,-1.311458,0.189703,0,Not Significant
31,2007,黑龙江,0.31122,Fixed Distance Band,-0.489364,0.624584,0,Not Significant
32,2007,上海,0.492164,Queen Contiguity,2.757162,0.005831,3,Hot Spot
33,2007,云南,0.281703,Queen Contiguity,-3.085331,0.002033,-3,Cold Spot
34,2007,内蒙古,0.379536,Queen Contiguity,-0.44591,0.655662,0,Not Significant
35,2007,北京,0.594626,Queen Contiguity,2.590674,0.009579,3,Hot Spot
36,2007,吉林,0.351074,Queen Contiguity,-0.348167,0.727715,0,Not Significant
37,2007,四川,0.332237,Queen Contiguity,-2.18425,0.028944,-2,Cold Spot
38,2007,天津,0.460004,Queen Contiguity,2.590674,0.009579,3,Hot Spot
39,2007,宁夏,0.344211,Queen Contiguity,-0.464913,0.641994,0,Not Significant
40,2007,安徽,0.338756,Queen Contiguity,0.86737,0.38574,0,Not Significant
41,2007,山东,0.433115,Queen Contiguity,0.891767,0.372518,0,Not Significant
42,2007,山西,0.390598,Queen Contiguity,0.170371,0.864718,0,Not Significant
43,2007,广东,0.413715,Queen Contiguity,-1.053615,0.292059,0,Not Significant
44,2007,广西,0.247748,Queen Contiguity,-2.361536,0.018199,-2,Cold Spot
45,2007,新疆,0.362631,Queen Contiguity,-1.081363,0.279536,0,Not Significant
46,2007,江苏,0.488651,Queen Contiguity,2.446626,0.01442,2,Hot Spot
47,2007,江西,0.303346,Queen Contiguity,0.096888,0.922815,0,Not Significant
48,2007,河北,0.387241,Queen Contiguity,2.141086,0.032267,2,Hot Spot
49,2007,河南,0.333588,Queen Contiguity,0.196679,0.844078,0,Not Significant
50,2007,浙江,0.482942,Queen Contiguity,1.675376,0.093861,1,Not Significant
51,2007,海南,0.329509,Queen Contiguity,-1.436809,0.150772,0,Not Significant
52,2007,湖北,0.350573,Queen Contiguity,-1.025051,0.305339,0,Not Significant
53,2007,湖南,0.307334,Queen Contiguity,-1.969225,0.048927,-2,Cold Spot
54,2007,甘肃,0.302952,Queen Contiguity,-0.514197,0.607114,0,Not Significant
55,2007,福建,0.391066,Queen Contiguity,0.822884,0.410574,0,Not Significant
56,2007,西藏,0.261496,Queen Contiguity,-1.328757,0.183928,0,Not Significant
57,2007,贵州,0.207764,Queen Contiguity,-2.57696,0.009967,-3,Cold Spot
58,2007,辽宁,0.374684,Queen Contiguity,0.161841,0.871431,0,Not Significant
59,2007,重庆,0.373144,Queen Contiguity,-1.475245,0.140147,0,Not Significant
60,2007,陕西,0.372413,Queen Contiguity,-0.617726,0.536756,0,Not Significant
61,2007,青海,0.380146,Queen Contiguity,-1.198823,0.230597,0,Not Significant
62,2007,黑龙江,0.31122,Queen Contiguity,-0.452455,0.650941,0,Not Significant
63,2007,上海,0.492164,4-Nearest Neighbors,2.446626,0.01442,2,Hot Spot
64,2007,云南,0.281703,4-Nearest Neighbors,-2.402624,0.016278,-2,Cold Spot
65,2007,内蒙古,0.379536,4-Nearest Neighbors,2.302175,0.021325,2,Hot Spot
66,2007,北京,0.594626,4-Nearest Neighbors,2.629801,0.008543,3,Hot Spot
67,2007,吉林,0.351074,4-Nearest Neighbors,1.565969,0.117356,0,Not Significant
68,2007,四川,0.332237,4-Nearest Neighbors,-1.64032,0.100939,0,Not Significant
69,2007,天津,0.460004,4-Nearest Neighbors,2.629801,0.008543,3,Hot Spot
70,2007,宁夏,0.344211,4-Nearest Neighbors,-0.561047,0.574765,0,Not Significant
71,2007,安徽,0.338756,4-Nearest Neighbors,1.838036,0.066057,1,Not Significant
72,2007,山东,0.433115,4-Nearest Neighbors,3.229378,0.001241,3,Hot Spot
73,2007,山西,0.390598,4-Nearest Neighbors,1.485608,0.137383,0,Not Significant
74,2007,广东,0.413715,4-Nearest Neighbors,-1.053615,0.292059,0,Not Significant
75,2007,广西,0.247748,4-Nearest Neighbors,-2.014492,0.043958,-2,Cold Spot
76,2007,新疆,0.362631,4-Nearest Neighbors,-1.125604,0.260333,0,Not Significant
77,2007,江苏,0.488651,4-Nearest Neighbors,2.446626,0.01442,2,Hot Spot
78,2007,江西,0.303346,4-Nearest Neighbors,-0.073806,0.941165,0,Not Significant
79,2007,河北,0.387241,4-Nearest Neighbors,2.629801,0.008543,3,Hot Spot
80,2007,河南,0.333588,4-Nearest Neighbors,-0.30321,0.76173,0,Not Significant
81,2007,浙江,0.482942,4-Nearest Neighbors,2.189504,0.02856,2,Hot Spot
82,2007,海南,0.329509,4-Nearest Neighbors,-2.014492,0.043958,-2,Cold Spot
83,2007,湖北,0.350573,4-Nearest Neighbors,-0.807884,0.419157,0,Not Significant
84,2007,湖南,0.307334,4-Nearest Neighbors,-1.793802,0.072845,-1,Not Significant
85,2007,甘肃,0.302952,4-Nearest Neighbors,-0.633221,0.52659,0,Not Significant
86,2007,福建,0.391066,4-Nearest Neighbors,0.384555,0.700567,0,Not Significant
87,2007,西藏,0.261496,4-Nearest Neighbors,-1.198823,0.230597,0,Not Significant
88,2007,贵州,0.207764,4-Nearest Neighbors,-2.554901,0.010622,-2,Cold Spot
89,2007,辽宁,0.374684,4-Nearest Neighbors,2.030824,0.042273,2,Hot Spot
90,2007,重庆,0.373144,4-Nearest Neighbors,-1.617138,0.105848,0,Not Significant
91,2007,陕西,0.372413,4-Nearest Neighbors,-0.269853,0.787273,0,Not Significant
92,2007,青海,0.380146,4-Nearest Neighbors,-1.311458,0.189703,0,Not Significant
93,2007,黑龙江,0.31122,4-Nearest Neighbors,1.073922,0.282858,0,Not Significant
94,2008,上海,0.495281,Fixed Distance Band,1.786076,0.074087,1,Not Significant
95,2008,云南,0.325324,Fixed Distance Band,-2.521591,0.011683,-2,Cold Spot
96,2008,内蒙古,0.385044,Fixed Distance Band,2.077185,0.037784,2,Hot Spot
97,2008,北京,0.608347,Fixed Distance Band,2.269516,0.023237,2,Hot Spot
98,2008,吉林,0.369655,Fixed Distance Band,1.912742,0.055781,1,Not Significant
99,2008,四川,0.29181,Fixed Distance Band,-2.818555,0.004824,-3,Cold Spot
100,2008,天津,0.475049,Fixed Distance Band,2.664794,0.007704,3,Hot Spot
101,2008,宁夏,0.348018,Fixed Distance Band,0.908927,0.363389,0,Not Significant
102,2008,安徽,0.363299,Fixed Distance Band,3.332953,0.000859,3,Hot Spot
103,2008,山东,0.444896,Fixed Distance Band,3.012626,0.00259,3,Hot Spot
104,2008,山西,0.417941,Fixed Distance Band,1.997721,0.045747,2,Hot Spot
105,2008,广东,0.456763,Fixed Distance Band,-0.914352,0.360532,0,Not Significant
106,2008,广西,0.272804,Fixed Distance Band,-2.023307,0.043041,-2,Cold Spot
107,2008,新疆,0.354718,Fixed Distance Band,-1.368448,0.171172,0,Not Significant
108,2008,江苏,0.515005,Fixed Distance Band,2.99541,0.002741,3,Hot Spot
109,2008,江西,0.343718,Fixed Distance Band,0.478816,0.632069,0,Not Significant
110,2008,河北,0.415089,Fixed Distance Band,2.664794,0.007704,3,Hot Spot
111,2008,河南,0.330158,Fixed Distance Band,1.881348,0.059925,1,Not Significant
112,2008,浙江,0.492655,Fixed Distance Band,1.572653,0.115799,0,Not Significant
113,2008,海南,0.332967,Fixed Distance Band,-1.851733,0.064064,-1,Not Significant
114,2008,湖北,0.361015,Fixed Distance Band,0.711371,0.476854,0,Not Significant
115,2008,湖南,0.321949,Fixed Distance Band,-0.660995,0.508616,0,Not Significant
116,2008,甘肃,0.314714,Fixed Distance Band,-0.811041,0.417342,0,Not Significant
117,2008,福建,0.399243,Fixed Distance Band,0.849685,0.3955,0,Not Significant
