row_id,year,baseline_matrix,alternative_matrix,spearman_z_correlation,field_005,field_006,field_007,field_008
1,2007,Fixed Distance Band,Queen Contiguity,0.887,45.1613,74.1935,44.4444,57.1429
2,2007,Fixed Distance Band,4-Nearest Neighbors,0.9091,61.2903,83.871,70.0,66.6667
3,2008,Fixed Distance Band,Queen Contiguity,0.8753,38.7097,70.9677,40.0,50.0
4,2008,Fixed Distance Band,4-Nearest Neighbors,0.9194,61.2903,77.4194,63.6364,50.0
5,2009,Fixed Distance Band,Queen Contiguity,0.8489,54.8387,77.4194,25.0,75.0
6,2009,Fixed Distance Band,4-Nearest Neighbors,0.8899,58.0645,77.4194,50.0,50.0
7,2010,Fixed Distance Band,Queen Contiguity,0.8418,54.8387,74.1935,25.0,66.6667
8,2010,Fixed Distance Band,4-Nearest Neighbors,0.9083,70.9677,77.4194,55.5556,50.0
9,2011,Fixed Distance Band,Queen Contiguity,0.8208,54.8387,70.9677,25.0,40.0
10,2011,Fixed Distance Band,4-Nearest Neighbors,0.8891,70.9677,80.6452,62.5,25.0
11,2012,Fixed Distance Band,Queen Contiguity,0.8481,58.0645,61.2903,22.2222,28.5714
12,2012,Fixed Distance Band,4-Nearest Neighbors,0.8962,61.2903,64.5161,50.0,14.2857
13,2013,Fixed Distance Band,Queen Contiguity,0.8448,61.2903,70.9677,40.0,50.0
14,2013,Fixed Distance Band,4-Nearest Neighbors,0.895,54.8387,77.4194,70.0,33.3333
15,2014,Fixed Distance Band,Queen Contiguity,0.8438,58.0645,74.1935,40.0,66.6667
16,2014,Fixed Distance Band,4-Nearest Neighbors,0.8859,58.0645,83.871,70.0,66.6667
17,2015,Fixed Distance Band,Queen Contiguity,0.8376,58.0645,77.4194,25.0,75.0
18,2015,Fixed Distance Band,4-Nearest Neighbors,0.8786,64.5161,80.6452,50.0,75.0
19,2016,Fixed Distance Band,Queen Contiguity,0.8622,51.6129,70.9677,22.2222,50.0
20,2016,Fixed Distance Band,4-Nearest Neighbors,0.8903,58.0645,67.7419,36.3636,25.0
21,2017,Fixed Distance Band,Queen Contiguity,0.8757,54.8387,70.9677,55.5556,28.5714
22,2017,Fixed Distance Band,4-Nearest Neighbors,0.8954,54.8387,77.4194,63.6364,25.0
23,2018,Fixed Distance Band,Queen Contiguity,0.9027,58.0645,74.1935,44.4444,40.0
24,2018,Fixed Distance Band,4-Nearest Neighbors,0.9039,70.9677,87.0968,77.7778,33.3333
25,2019,Fixed Distance Band,Queen Contiguity,0.8414,48.3871,70.9677,40.0,40.0
26,2019,Fixed Distance Band,4-Nearest Neighbors,0.8754,48.3871,74.1935,54.5455,25.0
27,2020,Fixed Distance Band,Queen Contiguity,0.8775,61.2903,74.1935,37.5,40.0
28,2020,Fixed Distance Band,4-Nearest Neighbors,0.8577,48.3871,70.9677,40.0,40.0
29,2021,Fixed Distance Band,Queen Contiguity,0.9079,58.0645,70.9677,33.3333,40.0
30,2021,Fixed Distance Band,4-Nearest Neighbors,0.8823,58.0645,67.7419,41.6667,25.0
31,2022,Fixed Distance Band,Queen Contiguity,0.8846,64.5161,74.1935,33.3333,50.0
32,2022,Fixed Distance Band,4-Nearest Neighbors,0.8671,58.0645,77.4194,44.4444,33.3333
33,2023,Fixed Distance Band,Queen Contiguity,0.865,64.5161,90.3226,75.0,50.0
34,2023,Fixed Distance Band,4-Nearest Neighbors,0.8748,70.9677,87.0968,62.5,0.0
35,2024,Fixed Distance Band,Queen Contiguity,0.8737,67.7419,87.0968,62.5,50.0
36,2024,Fixed Distance Band,4-Nearest Neighbors,0.8797,70.9677,83.871,50.0,0.0
