row_id,admincode,region,zone,year,pcgdp,pcrs,fsr,tig,ruur,hbtp,ipr,hesp,gcr,wei,sdei,epes,ugpr,uwpr,pcura,ptvp,resilience_score,er,sdr,eer,ir
1,310000,上海,东部,2007,63951,18765.988372093,95.0863554691797,55.1437645103931,4.2,69.98,64,2349.32170542636,37.6,17.596030655268,0.0038652969632028,0.918558175351106,100.0,100.0,4.5,12.41,0.469494,0.15224,0.131753,0.088157,0.097345
2,310000,上海,东部,2008,69154,21378.7949556282,90.9337990377498,56.4914115113951,4.2,69.98,64,4371.0,37.8,15.3919336309667,0.0030680543994937,0.966876387860844,100.0,100.0,4.63,12.51,0.490255,0.151657,0.149052,0.091396,0.098149
3,310000,上海,东部,2009,72363,23408.1447963801,84.9698125198602,59.9991106819799,4.3,72.19,64,4393.0,38.0,14.6431293830674,0.0024068756987498,1.13591892027495,100.0,100.0,4.48,12.76,0.49423,0.150459,0.149404,0.096119,0.098248
4,310000,上海,东部,2010,79396,26863.2218844985,87.0019891670628,57.8613929915045,4.4,74.4,64,4300.0,38.2,13.8567935965706,0.0019988389876865,1.43238194429727,100.0,100.0,4.04,8.82,0.491858,0.154374,0.148771,0.103314,0.085399
5,310000,上海,东部,2011,85897,30500.0,87.6100927742357,58.541107562832,3.5,75.48,66,3556.0,38.2,10.7025592587595,0.0011999180397507,1.31855893411803,99.87,100.0,4.04,11.79,0.52444,0.159645,0.167618,0.103499,0.093678
6,310000,上海,东部,2012,89613,32681.9508128387,89.4763887361915,61.0266784319616,3.1,46.12,68,3481.0,38.3,10.2904400720937,0.001071079903875,1.31882734786163,100.0,100.0,4.08,11.91,0.509711,0.166723,0.144734,0.104006,0.094248
7,310000,上海,东部,2013,95746,34955.0653594771,90.745504691285,63.7214974939774,4.0,47.33,71,3421.0,38.4,9.60877603526963,0.0009300080589206,1.24607771479549,100.0,100.0,4.11,12.11,0.499295,0.173797,0.127382,0.103185,0.094931
8,310000,上海,东部,2014,102827,37711.7957032833,93.1371155127309,65.3131405867874,4.1,48.44,71,3348.0,38.4,8.75194896675083,0.0007443667935638,1.57044667955738,100.0,100.0,4.11,11.97,0.512259,0.181545,0.125641,0.110535,0.094537
9,310000,上海,东部,2015,109186,47216.0292921074,89.1455465181634,68.2590099304497,4.0,50.85,73,3330.0,38.5,8.33663108565478,0.0006352512366571,1.68535877872459,100.0,100.0,4.27,12.36,0.530903,0.18825,0.132983,0.113393,0.096278
10,310000,上海,东部,2016,121369,51026.3477908391,92.5883155512261,70.9418810854218,4.1,53.37,74,3327.0,38.6,7.38645564961354,0.0002174858634188,1.94263861227298,100.0,100.0,4.37,12.7,0.552024,0.200029,0.134623,0.119736,0.097637
