row_id,indicator,std,conflict,c_value,weight
1,EPES,0.17487,17.867693,3.124526,0.123002
2,FSR,0.226478,11.628117,2.633509,0.103673
3,PCURA,0.221157,11.079765,2.450365,0.096463
4,RUUR,0.195163,10.656556,2.079761,0.081873
5,HBTP,0.231204,8.777702,2.02944,0.079892
6,IPR,0.231498,7.26832,1.682599,0.066238
7,PTVP,0.154811,9.650887,1.494062,0.058816
8,TIG,0.169844,8.751251,1.486349,0.058513
9,HESP,0.167055,7.917193,1.322603,0.052067
10,PCRS,0.200408,6.380986,1.278804,0.050342
11,GCR,0.140363,8.802405,1.23553,0.048639
12,UGPR,0.135519,7.239565,0.981101,0.038623
13,UWPR,0.119155,8.060127,0.960407,0.037808
14,PCGDP,0.156586,5.984193,0.937042,0.036888
15,SDEI,0.120626,7.151002,0.862595,0.033958
16,WEI,0.10153,8.307638,0.843478,0.033205
