row_id,year,withnewrenewableenergypower,withoutnewrenewableenergypower
1,2010,56360.0518416869,56360.0518416869
2,2011,65193.3422266796,65193.3422266796
3,2012,67502.6133745123,67502.6133745123
4,2013,66749.3756967212,66749.3756967212
5,2014,64853.27604008,64853.27604008
6,2015,66074.8099511172,66074.8099511172
7,2016,68526.1246722212,68526.1246722212
8,2017,70451.5573926521,70451.5573926521
9,2018,71502.002859988,71502.002859988
10,2019,74096.3310809087,74096.3310809087
11,2020,72633.3242520406,72633.3242520406
12,2021,78473.416,75270.4571052797
13,2022,76147.756,76543.6725411807
14,2023,77751.046,77816.8879770818
15,2024,74155.613,79090.1034129828
16,2025,75245.457,80363.3188488839
17,2026,77784.454,81636.5342847849
18,2027,79947.171,82909.749720686
19,2028,81753.207,84182.965156587
20,2029,83222.159,85456.1805924881
21,2030,84373.627,86729.3960283891
22,2031,85227.209,88002.6114642902
23,2032,85802.502,89275.8269001912
24,2033,86119.106,90549.0423360923
25,2034,86196.619,91822.2577719933
26,2035,86054.638,93095.4732078943
27,2036,85712.763,94368.6886437954
28,2037,85190.592,95641.9040796965
29,2038,84507.722,92772.6469573056
30,2039,83683.753,89989.4675485864
31,2040,82738.283,87289.7835221288
32,2041,81690.91,84671.090016465
33,2042,80561.233,82130.957315971
34,2043,79368.849,81794.3329046123
35,2044,78133.357,79971.9621253082
36,2045,76874.356,78149.5913460042
37,2046,75611.444,76327.2205667002
38,2047,74364.219,79392.0162
39,2048,73152.279,78082.42995
40,2049,71995.224,76809.89295
41,2050,70912.65,75594.9852
42,2051,69924.157,74458.2825
43,2052,69049.344,73420.36485
44,2053,68307.807,72501.8112
45,2054,67719.146,70357.04121
46,2055,67302.959,69073.52892
47,2056,67078.84462,69010.54300466
48,2057,66974.95138,68320.4375746133
49,2058,66731.62992,67637.2331988672
50,2059,66415.67403,66960.8608668785
51,2060,65589.38462,66291.2522582097
52,2061,65496.637709,66284.6231329839
