row_id,year,field_002,year_2,field_004,field_005,field_006,price,year_3,field_009,field_010,field_011,field_012,year_4,field_014,field_015,field_016,field_017
1,2000.0,19.0,3.0,,,0.04,,,0.05,1500.0,5.0,2.0,50.0,2000.0,50.0,100.0,300.0
2,2001.0,23.5,4.5,,,0.06,,,0.09,1510.0,4.85,1.95,49.0,2100.0,52.0,96.0,320.0
3,2002.0,42.0,8.5,,,0.07,,,0.14,1520.0,4.7,1.9,48.0,2200.0,54.0,92.0,340.0
4,2003.0,52.0,10.0,,,0.09,,,0.19,1530.0,4.55,1.85,47.0,2300.0,56.0,88.0,360.0
5,2004.0,62.0,10.0,,,0.1,5.0,1.0,0.2,1540.0,4.4,1.8,46.0,2400.0,58.0,84.0,380.0
6,2005.0,70.0,8.0,,,0.1,4.8,1.2,0.3,1550.0,4.25,1.75,45.0,2500.0,60.0,80.0,400.0
7,2006.0,80.0,10.0,,,0.2,4.6,1.5,0.4,1560.0,4.1,1.7,44.0,2600.0,62.0,76.0,420.0
8,2007.0,100.0,20.0,,,0.3,4.4,1.8,0.5,1570.0,3.95,1.65,43.0,2700.0,64.0,72.0,440.0
9,2008.0,140.0,40.0,,,0.4,4.2,2.1,0.6,1580.0,3.8,1.6,42.0,2800.0,66.0,68.0,460.0
10,2009.0,300.0,160.0,,,0.5,4.0,2.5,0.7,1590.0,3.65,1.55,41.0,2900.0,68.0,64.0,480.0
11,2010.0,800.0,500.0,560.6,3092.7,0.6,3.8,3.0,0.8,1600.0,3.5,1.5,40.0,3000.0,70.0,60.0,500.0
12,2011.0,3300.0,2500.0,1226.2,7306.4,0.7,3.6,3.5,0.9,1610.0,3.35,1.45,39.0,3100.0,72.0,56.0,520.0
13,2012.0,4198.0,898.0,1962.1,12177.0,0.8,3.4,4.0,1.0,1620.0,3.2,1.4,38.0,3200.0,74.0,52.0,540.0
14,2013.0,16137.0,12119.0,,,1.0,3.2,4.5,1.1,1630.0,3.05,1.35,37.0,3300.0,76.0,48.0,560.0
15,2014.0,28050.0,11733.0,,,1.2,3.0,5.0,1.2,1640.0,2.9,1.3,36.0,3400.0,78.0,44.0,580.0
16,2015.0,43180.0,15130.0,5195.3,34715.3,1.5,2.8,5.5,1.3,1650.0,2.75,1.25,35.0,3500.0,80.0,40.0,600.0
17,2016.0,77420.0,34240.0,6395.1,47541.0,1.8,2.6,6.0,1.4,1660.0,2.6,1.2,34.0,3600.0,82.0,36.0,620.0
18,2017.0,130200.0,52780.0,8582.9,60581.1,2.0,2.4,6.5,1.5,1670.0,2.45,1.15,33.0,3700.0,84.0,32.0,640.0
19,2018.0,174460.0,44260.0,8530.3,58691.2,2.2,2.2,7.0,1.6,1680.0,2.3,1.1,32.0,3800.0,86.0,28.0,660.0
20,2019.0,204680.0,30220.0,11007.7,75804.6,2.4,2.0,7.5,1.7,1690.0,2.15,1.05,31.0,3900.0,88.0,24.0,680.0
21,2020.0,253430.0,48750.0,15632.4,93897.0,2.6,1.8,8.0,1.8,1700.0,2.0,1.0,30.0,4000.0,90.0,20.0,700.0
22,2021.0,306560.0,53130.0,18919.0,136398.5,2.8,1.6,8.5,1.9,1710.0,1.85,0.95,29.0,4100.0,92.0,16.0,720.0
23,2022.0,392610.0,87410.0,27790.8,193190.1,3.0,1.4,9.0,2.0,1720.0,1.7,0.9,28.0,4200.0,94.0,12.0,740.0
24,,,,,,3.2,1.2,9.5,2.1,1730.0,1.55,0.85,27.0,4300.0,96.0,8.0,760.0
25,,,,,,,,,,,,,,,,,
