row_id,field_001,energy_consumption,population
1,88683.21463,32373.05912135,8548.83895236655
2,94595.4289386667,33230.3301961067,8619.89922049956
3,100507.643247333,34087.6012708633,8690.95948863257
4,106419.857556,34944.87234562,8762.01975676558
5,112332.071864667,35802.1434203767,8833.0800248986
6,118244.286173333,36659.4144951333,8904.14029303161
7,124156.500482,37516.68556989,8975.20056116462
8,130068.714790667,38373.9566446467,9046.26082929764
9,135980.929099333,39231.2277194033,9117.32109743064
10,141893.143408,40088.49879416,9188.38136556366
11,147805.357716667,40945.7698689167,9259.44163369668
12,153717.572025333,41803.0409436733,9330.50190182968
13,159629.786334,42660.31201843,9401.5621699627
14,165542.000642667,43517.5830931867,9472.62243809572
15,171454.214951333,44374.8541679433,9543.68270622872
16,177366.42926,45232.1252427,9614.74297436174
17,184461.0864304,46260.850532408,9700.01529612135
18,191555.7436008,47289.575822116,9785.28761788097
19,198650.4007712,48318.301111824,9870.55993964058
20,205745.0579416,49347.026401532,9955.8322614002
21,212839.715112,50375.75169124,10041.1045831598
22,219934.3722824,51404.476980948,10126.3769049194
23,227029.0294528,52433.202270656,10211.649226679
24,234123.6866232,53461.927560364,10296.9215484387
25,241218.3437936,54490.652850072,10382.1938701983
26,248313.000964,55519.37813978,10467.4661919579
27,255407.6581344,56548.103429488,10552.7385137175
28,262502.3153048,57576.828719196,10638.0108354771
29,269596.9724752,58605.554008904,10723.2831572367
30,276691.6296456,59634.279298612,10808.5554789964
31,283786.286816,60663.00458832,10893.827800756
32,290880.9439864,61691.729878028,10979.1001225156
33,297975.6011568,62720.455167736,11064.3724442752
34,305070.2583272,63749.180457444,11149.6447660348
35,312164.9154976,64777.905747152,11234.9170877944
36,319259.572668,65806.63103686,11320.189409554
37,326354.2298384,66835.356326568,11405.4617313137
38,333448.8870088,67864.081616276,11490.7340530733
39,340543.5441792,68892.806905984,11576.0063748329
40,347638.2013496,69921.532195692,11661.2786965925
41,354732.85852,70950.2574854,11746.5510183521
