row_id,year,carbon_emissions,gdp,energy_consumption,field_005,field_006,field_007,field_008,field_009
1,2010.0,56360.0518416869,41383.87,23539.3144312995,1148.04562581014,17982.69376957,3748.35740683927,959.190952,238.979026677749
2,2011.0,65193.3422266796,45952.65,26860.0258116624,1205.1268300005,21012.3296579981,3748.18741971255,1246.41308,248.208815777003
3,2012.0,67502.6133745123,50660.2,27999.2181084627,1372.08810917275,21174.771511905,4295.95060317638,1504.36858,265.795804060668
4,2013.0,66749.3756967212,55580.11,28203.1042748867,1469.90698360846,21223.4736145658,4094.58021702459,1654.891856,271.916223463368
5,2014.0,64853.27604008,60359.43,28170.5057646771,1472.45179199036,20543.2360041818,4426.0775239611,1698.284052,366.217384260405
6,2015.0,66074.8099511172,65552.0,29033.6080683821,1566.16086537802,20859.1083777441,4476.00445506871,2193.58332,326.078248177631
7,2016.0,68526.1246722212,70665.7068288913,29947.9766182135,1706.30588207097,21450.1924546188,4588.35373224246,2295.722588,376.50411325651
8,2017.0,70451.5573926521,75752.2014922828,30669.8864567355,1862.64285859489,21061.4687090589,4514.00928121297,3158.993712,496.073511587589
9,2018.0,71502.002859988,80827.711934712,31373.1266491435,2033.68690323234,20652.0869884072,4712.83835222466,3669.68384,697.740101906704
10,2019.0,74096.3310809087,85556.1338740509,32227.5053853735,2070.42768534482,21069.3223528219,4731.9630939091,3827.959204,857.411766324154
11,2020.0,72633.3242520406,88683.2146287334,31437.9975544481,2180.60458621815,20292.6690914873,4699.90418961837,3707.412596,963.068886012948
12,,,,,,,,,
13,2021.0,78473.416,88683.21463,32373.05912135,,,,,
14,2022.0,76147.756,94595.4289386667,33230.3301961067,,,,,
15,2023.0,77751.046,100507.643247333,34087.6012708633,,,,,
16,2024.0,74155.613,106419.857556,34944.87234562,,,,,
17,2025.0,75245.457,112332.071864667,35802.1434203767,,,,,
18,2026.0,77784.454,118244.286173333,36659.4144951333,,,,,
19,2027.0,79947.171,124156.500482,37516.68556989,,,,,
20,2028.0,81753.207,130068.714790667,38373.9566446467,,,,,
21,2029.0,83222.159,135980.929099333,39231.2277194033,,,,,
22,2030.0,84373.627,141893.143408,40088.49879416,,,,,
23,2031.0,85227.209,147805.357716667,40945.7698689167,,,,,
24,2032.0,85802.502,153717.572025333,41803.0409436733,,,,,
25,2033.0,86119.106,159629.786334,42660.31201843,,,,,
26,2034.0,86196.619,165542.000642667,43517.5830931867,,,,,
27,2035.0,86054.638,171454.214951333,44374.8541679433,,,,,
28,2036.0,85712.763,177366.42926,45232.1252427,,,,,
29,2037.0,85190.592,184461.0864304,46260.850532408,,,,,
30,2038.0,84507.722,191555.7436008,47289.575822116,,,,,
31,2039.0,83683.753,198650.4007712,48318.301111824,,,,,
32,2040.0,82738.283,205745.0579416,49347.026401532,,,,,
33,2041.0,81690.91,212839.715112,50375.75169124,,,,,
34,2042.0,80561.233,219934.3722824,51404.476980948,,,,,
35,2043.0,79368.849,227029.0294528,52433.202270656,,,,,
36,2044.0,78133.357,234123.6866232,53461.927560364,,,,,
37,2045.0,76874.356,241218.3437936,54490.652850072,,,,,
38,2046.0,75611.444,248313.000964,55519.37813978,,,,,
39,2047.0,74364.219,255407.6581344,56548.103429488,,,,,
40,2048.0,73152.279,262502.3153048,57576.828719196,,,,,
41,2049.0,71995.224,269596.9724752,58605.554008904,,,,,
42,2050.0,70912.65,276691.6296456,59634.279298612,,,,,
43,2051.0,69924.157,283786.286816,60663.00458832,,,,,
44,2052.0,69049.344,290880.9439864,61691.729878028,,,,,
45,2053.0,68307.807,297975.6011568,62720.455167736,,,,,
46,2054.0,67719.146,305070.2583272,63749.180457444,,,,,
47,2055.0,67302.959,312164.9154976,64777.905747152,,,,,
48,2056.0,67078.84462,319259.572668,65806.63103686,,,,,
49,2057.0,66974.95138,326354.2298384,66835.356326568,,,,,
50,2058.0,66731.62992,333448.8870088,67864.081616276,,,,,
51,2059.0,66415.67403,340543.5441792,68892.806905984,,,,,
52,2060.0,65589.38462,347638.2013496,69921.532195692,,,,,
53,2061.0,65496.637709,354732.85852,70950.2574854,,,,,
