row_id,field_001,field_002,field_003,field_004,field_005,energy_consumption,field_007,field_008,field_009,field_010,field_011,field_012,population,field_014,field_015,field_016,field_017,field_018,field_019
1,,,,,,,,,,,,,,,,,,,
2,2000.0,13556.0,2193.89686642786,85232150.48,136999618971.258,0.53,1.12,146964.0,68.5,22.0,2.2,7.3,134.492481002789,35.877,731993935.0,216252544.0,807417.2368,3346525.8,12.6797199043056
3,2001.0,14808.0,2359.57238508918,85006860.79,169873522766.816,0.7,1.12,155547.0,68.0,21.2,2.4,8.4,135.473048750848,37.093,739359562.0,226290339.0,800529.1555,3529081.3,12.742981982665
4,2002.0,16540.0,2557.8916119735,84781571.09,202747426562.375,0.99,1.3,169577.0,68.5,21.0,2.3,8.2,136.383779609948,38.425,747567965.0,234270258.0,793448.8666,3796157.1,12.7849342939932
5,2003.0,19105.8,2797.17665915912,126171718.03,235621330357.934,1.62,1.56,197083.0,70.2,20.1,2.3,7.4,137.235919250104,39.776,755273046.0,242580168.0,818239.3002,4424412.6,12.8055826110544
6,2004.0,22033.1,3061.83317270117,160176791.525,268495234153.492,1.66,1.52,230281.0,70.2,19.9,2.3,7.6,138.053436689892,41.144,762251057.0,251247617.0,864479.5989,5113216.6,12.8262305311048
7,2005.0,25002.6,3390.71615949399,194181865.02,301369137949.051,1.18,1.18,261369.0,72.4,17.8,2.4,7.4,138.867766063821,42.522,769371812.0,260252253.0,901769.085,5824625.1,12.8522049534502
8,2006.0,28657.3,3800.76579592557,260415005.55,334243041744.61,0.76,1.15,286467.0,72.4,17.5,2.7,7.4,139.645342881819,43.868,774287037.0,269647598.0,940300.2025,6437470.3,12.8888306349812
9,2007.0,32815.5,4319.03139754429,326648146.1,342573982177.0,0.61,1.01,311442.0,72.5,17.0,3.0,7.5,140.376588050196,45.199,776045127.0,279417210.0,969728.9275,6993182.8,12.8828499568842
10,2008.0,34668.8,4711.64344920235,401977542.95,390966877665.0,0.3,0.58,320611.0,71.5,16.7,3.4,8.4,141.097705219827,46.539,776378230.0,289614409.0,987719.575,7199604.7,12.9088234363038
11,2009.0,37146.5,5128.9041276874,439642241.375,359238436559.0,0.51,0.77,336126.0,71.6,16.4,3.5,8.5,141.801244134798,47.88,775599063.0,300215888.0,1017352.598,7719071.4,12.9294708011995
12,2010.0,42071.6,5647.06872715225,477306939.8,474347228702.0,0.69,1.25,360648.0,69.2,17.4,4.0,9.4,142.487743405,49.226,774058132.0,311285309.0,1065645.775,8474922.7,12.7960801051446
13,2011.0,47130.2,6152.69687273613,490625696.1,540167515628.0,0.76,1.26,387043.0,70.2,16.8,4.6,8.4,143.268509836432,50.511,778323480.0,320885462.0,1112586.85,9282553.7,12.6413860958174
14,2012.0,49875.5,6591.66249406498,503944452.38,593857571482.0,0.49,0.75,402138.0,68.5,17.0,4.8,9.7,144.243669001474,51.765,778937997.0,329831324.0,1113082.918,9540539.7,12.4973437431264
15,2013.0,54316.4,7056.42309150833,559522937.95,655897281624.0,0.47,1.14,416913.0,67.4,17.1,5.3,10.2,145.207643927049,53.013,779042510.0,339050281.0,1136038.588,9979128.0,12.39590801698
16,2014.0,57944.6,7532.78530126065,587312180.73,653847619827.0,0.36,0.91,428334.0,65.8,17.3,5.6,11.3,146.125816729087,54.259,780062420.0,348525737.0,1149171.233,10021043.4,12.3136452727788
17,2015.0,58145.7,8016.44559491162,615101423.51,652212458371.0,0.19,0.04,434113.0,63.8,18.4,5.8,12.0,146.977949259981,55.5,780709584.0,358247976.0,1147403.83,9859281.2,12.2356431912321
18,2016.0,61331.6,8516.52874232698,625043926.645,594520851399.0,0.25,0.81,441492.0,62.2,18.7,6.1,13.0,147.822641376791,56.736,780524312.0,368117713.0,1107003.366,9860914.0,12.0845010177659
19,2017.0,66044.5,9053.22872457598,634986429.78,654156803837.0,0.46,1.12,455827.0,60.6,18.9,6.9,13.6,148.720043543977,57.96,778674707.0,378089414.0,1116767.24,10089273.2,11.9333575516526
20,2018.0,71661.3,9619.20947506207,646074064.09,731318634577.0,0.52,1.27,471925.0,59.0,18.9,7.6,14.5,149.417194545073,59.152,776278514.0,388398439.0,1147167.921,10567262.0,11.7822140748875
21,2019.0,75034.3,10155.510883076,733763093.545,715302940183.0,0.55,0.78,487488.0,57.7,19.0,8.0,15.3,149.948179684945,60.308,775321104.0,398976116.0,1163215.195,10762824.0,11.6275626557139
22,2020.0,77790.6,10358.1699972413,821452123.0,757458883661.0,1.0,1.68,498314.0,56.9,18.8,8.4,15.9,150.305542803154,61.428,751446327.0,409712858.0,1186285.181,10944686.2,11.6062593401724
23,2021.0,85342.5,11223.255347703,920026377.76,942314815525.0,0.65,1.17,525896.0,55.9,18.6,8.8,16.7,150.439753691066,62.512,780370660.0,420459351.0,1249816.68081524,12271300.2319048,11.5956076824016
24,2022.0,87752.5,11560.2421221288,1039629806.8688,769699283036.0,0.97,1.2,541000.0,56.2,17.9,8.4,17.5,152.213203575472,63.56,781831676.0,431038314.0,1271032.2550755,12677930.2278788,11.6621287346752
25,2023.0,92070.6,11781.9376221441,1164385383.69306,883957806125.85,0.45,0.97,572500.0,57.4,17.4,8.8,16.2,153.004897169157,65.453948051948,783732015.649351,437719484.237154,1292247.82933576,13084560.2238528,11.5918832172677
