row_id,province,year,field_003,field_004,income,government_intervention
1,安徽省,2010年,13249.8,2587.61,1149.4,0.1952942685927335
2,安徽省,2011年,16284.9,3302.99,1463.56,0.2028253167044317
3,安徽省,2012年,18341.7,3961.01,1792.72,0.21595653619893468
4,安徽省,2013年,20584.0,4349.69,2075.08,0.21131412747765252
5,安徽省,2014年,22519.7,4664.1,2218.44,0.2071119952752479
6,安徽省,2015年,23831.2,5239.01,2454.3,0.21983827923058846
7,安徽省,2016年,26307.7,5522.95,2672.79,0.2099366345214519
8,安徽省,2017年,29676.2,6203.81,2812.45,0.20905001314184432
9,安徽省,2018年,34010.9,6572.15,3048.67,0.19323658003757618
10,安徽省,2019年,36845.5,7392.22,3182.71,0.20062748503887856
11,安徽省,2020年,38061.5,7473.59,3216.01,0.19635563495921077
12,安徽省,2021年,42565.2,7591.05,3498.19,0.1783393476360971
13,安徽省,2022年,44607.7,8379.78,3589.14,0.1878550115787185
14,安徽省,2023年,47050.6,8643.57,3939.16,0.18370796546696536
15,北京市,2010年,14964.0,2717.32,2353.93,0.18159048382785353
16,北京市,2011年,17188.8,3245.23,3006.28,0.18879910174066836
17,北京市,2012年,19024.7,3685.31,3314.93,0.19371185879409397
18,北京市,2013年,21134.6,4173.66,3661.11,0.197479961768853
19,北京市,2014年,22926.0,4524.67,4027.16,0.19735976620430953
20,北京市,2015年,24779.1,5737.7,4723.86,0.2315540112433462
21,北京市,2016年,27041.2,6406.77,5081.26,0.23692624587666228
22,北京市,2017年,29883.0,6824.53,5430.79,0.2283749958170197
23,北京市,2018年,33106.0,7471.43,5785.92,0.22568205159185648
24,北京市,2019年,35445.1,7408.19,5817.1,0.20900462969493666
25,北京市,2020年,35943.3,7116.18,5483.89,0.1979834906644632
26,北京市,2021年,41045.6,7205.12,5932.31,0.17553940008186017
27,北京市,2022年,41540.9,7469.15,5714.36,0.17980231530852725
28,北京市,2023年,43760.7,7971.25,6181.1,0.182155449981376
29,福建省,2010年,15002.5,1695.09,1151.49,0.11298716880519913
30,福建省,2011年,17917.7,2198.18,1501.51,0.12268204066370124
31,福建省,2012年,20190.7,2607.5,1776.17,0.12914361562501547
32,福建省,2013年,22503.8,3068.8,2119.45,0.1363680800575903
33,福建省,2014年,24942.1,3306.7,2362.21,0.13257504380144414
34,福建省,2015年,26819.5,4001.58,2544.24,0.14920412386509815
35,福建省,2016年,29609.4,4275.4,2654.83,0.14439333454916342
36,福建省,2017年,33842.4,4684.15,2809.03,0.13841069191310307
37,福建省,2018年,38687.8,4832.69,3007.41,0.12491508951142219
38,福建省,2019年,42326.6,5077.93,3052.93,0.11997018423402779
39,福建省,2020年,43608.6,5216.1,3079.04,0.11961172796191578
40,福建省,2021年,49566.1,5204.72,3383.4,0.10500563893467511
41,福建省,2022年,51765.1,5691.22,3339.21,0.10994318565983646
42,福建省,2023年,54355.1,5859.39,3592.04,0.10779834826906767
43,甘肃省,2010年,3943.7,1468.58,353.58,0.37238633770317214
44,甘肃省,2011年,4816.9,1791.24,450.12,0.3718657227677552
45,甘肃省,2012年,5393.1,2059.56,520.4,0.38188796795905877
46,甘肃省,2013年,6014.5,2309.62,607.27,0.38400864577271593
47,甘肃省,2014年,6518.4,2541.49,672.67,0.3898947594501718
48,甘肃省,2015年,6556.6,2958.31,743.86,0.4511957416953909
49,甘肃省,2016年,6907.9,3150.03,786.97,0.45600399542552733
50,甘肃省,2017年,7336.7,3304.44,815.73,0.4503986806057219
51,甘肃省,2018年,8104.1,3772.23,871.05,0.4654717982255895
52,甘肃省,2019年,8718.3,3951.6,850.49,0.45325350125597885
53,甘肃省,2020年,8979.7,4163.4,874.55,0.4636457788122097
54,甘肃省,2021年,10225.5,4032.56,1001.86,0.39436311182827244
55,甘肃省,2022年,11121.4,4257.16,907.65,0.3827899365187836
56,甘肃省,2023年,11863.8,4521.82,1003.58,0.3811443213810078
57,广东省,2010年,45944.6,5421.54,4517.04,0.11800168028451657
58,广东省,2011年,53072.8,6712.4,5514.84,0.12647533199680439
59,广东省,2012年,57007.7,7387.86,6229.18,0.12959407237969608
60,广东省,2013年,62503.4,8411.0,7081.47,0.13456867946383716
61,广东省,2014年,68173.0,9152.64,8065.08,0.13425608378683643
62,广东省,2015年,74732.4,12827.8,9366.78,0.1716497797474723
63,广东省,2016年,82163.2,13446.09,10390.35,0.16365100190839696
64,广东省,2017年,91648.7,15037.48,11320.35,0.16407739553316086
65,广东省,2018年,99945.2,15729.26,12105.26,0.15737884360629625
66,广东省,2019年,107986.9,17297.85,12654.53,0.16018470758953168
67,广东省,2020年,111151.6,17430.79,12923.85,0.15681996480482513
68,广东省,2021年,124719.5,18247.01,14105.04,0.14630438704452792
69,广东省,2022年,129513.6,18533.08,13260.88,0.14309755886640477
70,广东省,2023年,135673.2,18527.03,13850.78,0.13655629851731954
71,广西壮族自治区,2010年,8552.4,2007.59,771.99,0.23473995603573267
72,广西壮族自治区,2011年,10299.9,2545.28,947.72,0.2471169623006049
73,广西壮族自治区,2012年,11303.6,2985.23,1166.06,0.2640955093952369
74,广西壮族自治区,2013年,12448.4,3208.67,1317.6,0.25775762346968284
75,广西壮族自治区,2014年,13587.8,3479.79,1422.28,0.25609664552024614
76,广西壮族自治区,2015年,14797.8,4065.51,1515.16,0.2747374609739286
77,广西壮族自治区,2016年,16116.6,4441.7,1556.27,0.2755978308079868
78,广西壮族自治区,2017年,17790.7,4908.55,1615.13,0.27590538877053744
79,广西壮族自治区,2018年,19627.8,5310.74,1681.45,0.2705723514606833
80,广西壮族自治区,2019年,21237.1,5850.96,1811.89,0.2755065427953911
81,广西壮族自治区,2020年,22120.9,6179.47,1716.94,0.2793498456211094
82,广西壮族自治区,2021年,25209.1,5806.54,1800.15,0.23033507741252168
83,广西壮族自治区,2022年,26186.1,5893.32,1687.72,0.22505527741817224
84,广西壮族自治区,2023年,27202.4,6101.37,1783.8,0.2242952827691674
85,贵州省,2010年,4519.0,1631.48,533.73,0.3610267758353618
86,贵州省,2011年,5615.6,2249.4,773.08,0.4005627181423178
87,贵州省,2012年,6742.2,2755.68,1014.05,0.40872118892942955
88,贵州省,2013年,7973.1,3082.66,1206.41,0.38663255195595186
89,贵州省,2014年,9173.1,3542.8,1366.67,0.3862162191625514
90,贵州省,2015年,10541.0,3939.5,1503.38,0.37373114505265154
91,贵州省,2016年,11792.4,4262.36,1561.34,0.36144974729486784
92,贵州省,2017年,13605.4,4612.52,1613.84,0.33902127096594004
93,贵州省,2018年,15353.2,5029.68,1726.85,0.327598155433395
94,贵州省,2019年,16769.3,5948.74,1767.47,0.3547399116242181
95,贵州省,2020年,17860.4,5739.5,1786.8,0.32135338514254996
96,贵州省,2021年,19458.6,5590.01,1969.39,0.2872770908492903
97,贵州省,2022年,20010.4,5851.36,1886.41,0.29241594370927115
98,贵州省,2023年,20913.3,6203.7,2078.37,0.2966389809355769
99,海南省,2010年,2020.5,581.34,270.99,0.287720861172977
100,海南省,2011年,2463.8,778.8,340.12,0.31609708580241896
101,海南省,2012年,2789.4,911.67,409.44,0.32683372768337277
102,海南省,2013年,3115.9,1011.17,481.01,0.3245194004942392
103,海南省,2014年,3449.0,1099.74,555.31,0.31885763989562194
104,海南省,2015年,3734.2,1239.43,627.7,0.3319131273097317
105,海南省,2016年,4090.2,1376.48,637.51,0.3365312209671899
106,海南省,2017年,4497.5,1443.97,674.11,0.32106058921623126
107,海南省,2018年,4910.7,1691.3,752.67,0.34441118374162544
108,海南省,2019年,5330.8,1858.6,814.14,0.34865311022735795
109,海南省,2020年,5566.2,1972.46,816.06,0.3543638388846969
110,海南省,2021年,6504.1,1971.37,921.16,0.30309650835626756
111,海南省,2022年,6889.6,2097.37,832.43,0.3044255109150023
112,海南省,2023年,7551.2,2248.96,900.71,0.29782815976268673
113,河北省,2010年,18003.6,2820.24,1331.85,0.1566486702659468
114,河北省,2011年,21384.7,3537.39,1737.77,0.16541686345845394
115,河北省,2012年,23077.5,4079.44,2084.28,0.17677131405048208
116,河北省,2013年,24259.6,4409.58,2295.62,0.18176639351019802
117,河北省,2014年,25208.9,4677.3,2446.62,0.18554161427115026
118,河北省,2015年,26398.4,5632.19,2649.18,0.213353460815807
119,河北省,2016年,28474.1,6049.53,2849.87,0.21245728574388656
120,河北省,2017年,30640.8,6639.18,3233.83,0.21667776298268976
121,河北省,2018年,32494.6,7726.21,3513.86,0.23776904470281218
122,河北省,2019年,34978.6,8309.04,3738.99,0.23754638550427978
123,河北省,2020年,36013.8,9022.79,3826.46,0.2505370163659486
124,河北省,2021年,40397.1,8848.21,4167.62,0.21903082151936648
125,河北省,2022年,41988.0,9305.64,4056.3,0.2216261789082595
126,河北省,2023年,43944.1,9606.21,4286.6,0.21860067676889502
127,河南省,2010年,22655.0,3416.14,1381.32,0.15078967115427058
128,河南省,2011年,26318.7,4248.82,1721.76,0.16143730503406323
129,河南省,2012年,28961.9,5006.4,2040.33,0.17286158711962957
130,河南省,2013年,31632.5,5582.31,2415.45,0.1764738797123212
131,河南省,2014年,34574.8,6028.69,2739.26,0.1743665906961139
132,河南省,2015年,37084.1,6799.35,3016.05,0.18334946783122688
133,河南省,2016年,40249.3,7453.74,3153.47,0.18518930764013286
134,河南省,2017年,44824.9,8215.52,3407.22,0.18328027502571115
135,河南省,2018年,49935.9,9217.73,3766.02,0.18459124597734294
136,河南省,2019年,53717.8,10163.93,4041.89,0.1892097219171299
137,河南省,2020年,54259.4,10372.67,4168.84,0.19116816625322064
138,河南省,2021年,58071.4,9784.29,4353.92,0.16848724156813855
139,河南省,2022年,58220.1,10646.75,4250.35,0.1828706924240941
140,河南省,2023年,59132.4,11052.54,4518.1,0.1869117438155732
141,黑龙江省,2010年,8308.3,2253.27,755.58,0.2712071061468652
142,黑龙江省,2011年,9935.0,2794.08,997.55,0.2812360342224459
143,黑龙江省,2012年,11015.8,3171.52,1163.17,0.28790646162784367
144,黑龙江省,2013年,11849.1,3369.18,1277.4,0.2843405828290756
