dataset_id,数据集编号,field_en,英文字段,field_cn,中文字段,definition_en,中文含义,unit,单位,frequency,频率,source,来源,notes,备注
opponent_features,opponent_features,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
submission,submission,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
PANEL_ANALYSIS_DATA,PANEL_ANALYSIS_DATA,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
SHAP_TOP6_DEPENDENCE_NATIONAL,SHAP_TOP6_DEPENDENCE_NATIONAL,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
RESILIENCE_PANEL_EN,RESILIENCE_PANEL_EN,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
中国省级数据库6.0版,中国省级数据库6.0版,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
SPEARMAN_CRITIC_CRITERION_RESULTS,SPEARMAN_CRITIC_CRITERION_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
REGIONAL_RESILIENCE_MULTI_METHOD_RESULTS,REGIONAL_RESILIENCE_MULTI_METHOD_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
DATA _PANEL_ANALYSIS,DATA _PANEL_ANALYSIS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
SPEARMAN_CRITIC_RESULTS,SPEARMAN_CRITIC_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
data for res,data for res,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
PANEL_ANALYSIS_DATA - 副本 - 副本,PANEL_ANALYSIS_DATA - 副本 - 副本,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
RESILIENCE_PANEL_EN_INTERPOLATED,RESILIENCE_PANEL_EN_INTERPOLATED,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
DESCRIPTIVE_STATISTICS_RESULTS,DESCRIPTIVE_STATISTICS_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
2007-20024各省份指标变化表,2007-20024各省份指标变化表,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
PANEL_ANALYSIS_DATA - 副本,PANEL_ANALYSIS_DATA - 副本,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
DESCRIPTIVE_STATISTICS_KS,DESCRIPTIVE_STATISTICS_KS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
全国-中部-东部_数据汇总,全国-中部-东部_数据汇总,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
MODEL_COMPARE_RESULTS,MODEL_COMPARE_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
URIR_REPC_INTERPOLATED,URIR_REPC_INTERPOLATED,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
数字经济,数字经济,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
数字经济综合指数_CRITIC_Spearman_EWM,数字经济综合指数_CRITIC_Spearman_EWM,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
碳排放综合指数_CRITIC_Spearman_EWM,碳排放综合指数_CRITIC_Spearman_EWM,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
耦合协调度计算结果,耦合协调度计算结果,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
碳排放,碳排放,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round3,round3,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round2,round2,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round4,round4,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round9,round9,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round8,round8,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round5,round5,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round6,round6,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round7,round7,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round10,round10,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
round1,round1,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
数据集  基于光伏发电,数据集  基于光伏发电,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
指标频数,指标频数,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
导入数据,导入数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
无光伏发电引入数据,无光伏发电引入数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
主成分分析数据集,主成分分析数据集,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
解题数据,解题数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
总表,总表,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
data,data,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
数据,数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
初始数据,初始数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
数据预处理后结果,数据预处理后结果,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
初步数据,初步数据,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
降维结果,降维结果,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
ML_SHAP_Multi_Target_Metrics,ML_SHAP_Multi_Target_Metrics,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
ML_SHAP_Multi_Target_Result,ML_SHAP_Multi_Target_Result,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
SHAP_DROP_ONE_RESULTS,SHAP_DROP_ONE_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
DESCRIPTIVE_AND_PEARSON_RESULTS,DESCRIPTIVE_AND_PEARSON_RESULTS,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
TABLE_A4_LEAVE_ONE_INDICATOR_OUT,TABLE_A4_LEAVE_ONE_INDICATOR_OUT,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
INDICATOR_SYSTEM_EN,INDICATOR_SYSTEM_EN,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
RESILIENCE_PANEL_EN,RESILIENCE_PANEL_EN,entity_id,entity_id,个体编号,个体编号,Stable identifier,稳定个体编号,,,,,,,,
