source_path,stage,error
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/opponent_features.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round1.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round10.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round2.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round3.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round4.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round5.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round6.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round7.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round8.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/scores/round9.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/kaggriculture/submission.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/catboost_info/learn_error.tsv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/catboost_info/time_left.tsv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/resilience_output/INDICATOR_SYSTEM_EN.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/resilience_output/RESILIENCE_PANEL_EN.csv,read,RuntimeError('cannot read csv')
/workspace/scratch/dfefa1726aab/Yile-Wang-Lab-Data-Hub/source_snapshots/the-data-of-Spatiotemporal-Evolution-and-Influencing-Factors-of-Regional-Resilience-in-China/two_indicators_output/URBAN_RURAL_INDICATORS.csv,read,RuntimeError('cannot read csv')
